0	Index      	 *	Score 	Summary	Detail	
1	31427 18823	 * 	208.04	DCR|3VULN|2ASPD|1AART|1CDMG	18CGEN|2MBVNT|3AART|4AME|578VULN|68ASPD|8BPWR|9CDMG|aRCR
2	31427 13834	 * 	207.71	DCR|3ASPD|2VULN|1MDPS|1AART	18CGEN|2MBVNT|3AART|4AME|58VULN|678ASPD|8BPWR|9RCR|aMDPS
3	31427 13835	 * 	205.13	DCR|3ASPD|2VULN|1AART|1CDMG	18CGEN|2MBVNT|3AART|4AME|58VULN|678ASPD|8BPWR|9RCR|aCDMG
4	31618 61431	 * 	204.02	DCR|5VULN|2ASPD	1aCGEN|2MBVNT|3ERES|4aASPD|5689aVULN|7RCR|aBPWR
5	31618 61441	 * 	202.68	DCR|4VULN|3ASPD	1aCGEN|2MBVNT|3ERES|49aASPD|568aVULN|7RCR|aBPWR
6	31616 61431	   	202.68	DCR|4VULN|3ASPD	1aCGEN|2MBVNT|3ERES|45aASPD|689aVULN|7RCR|aBPWR
7	51242 21151	 * 	199.62	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	15AME|2MBVNT|359VULN|4NUKE|5BPWR|6DMG|7RCR|8CDMG|aAART
8	51241 21151	   	199.52	DCR|3VULN|1AART|1DMG|1NUKE|1CDMG	1AME|2MBVNT|359VULN|4NUKE|6DMG|7RCR|8CDMG|aAART
9	51242 21141	 * 	199.38	DCR|2VULN|2DMG|1AART|1NUKE|1CDMG	15AME|2MBVNT|35VULN|4NUKE|5BPWR|69DMG|7RCR|8CDMG|aAART
10	51241 21141	   	199.28	DCR|2VULN|2DMG|1AART|1NUKE|1CDMG	1AME|2MBVNT|35VULN|4NUKE|69DMG|7RCR|8CDMG|aAART
11	31427 13833	   	197.19	DCR|3ASPD|2VULN|1AART|1DUR	18CGEN|2MBVNT|3AART|4AME|58VULN|678ASPD|8BPWR|9RCR|aDUR
12	11413 41262	 * 	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2AELBLL|3AART|4ASPD|5ZMB|6RCR|7LIT|8DMG|9VULN|aCDMG
13	11413 41263	 * 	193.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2AELBLL|3aAART|4ASPD|5ZMB|6RCR|7LIT|8DMG|9VULN
14	31427 18123	   	193.62	DCR|3VULN|1AART|1ASPD|1CDMG	1CGEN|2MBVNT|3AART|4AME|578VULN|6ASPD|9CDMG|aRCR
15	41427 18123	   	193.52	DCR|3VULN|1AART|1ASPD|1CDMG	1ERES|2MBVNT|3AART|4AME|578VULN|6ASPD|9CDMG|aRCR
16	51225 21144	 * 	193.43	DCR|3VULN|2DMG|1CDMG	1AME|2MBVNT|34aVULN|5CGEN|69DMG|7RCR|8CDMG
17	51242 21145	 * 	193.43	DCR|3VULN|2DMG|1NUKE|1CDMG	15AME|2MBVNT|35aVULN|4NUKE|5BPWR|69DMG|7RCR|8CDMG
18	51241 21145	   	193.33	DCR|3VULN|2DMG|1NUKE|1CDMG	1AME|2MBVNT|35aVULN|4NUKE|69DMG|7RCR|8CDMG
19	51225 21231	 * 	193.23	DCR|4VULN|2DMG	1aAME|2MBVNT|3489VULN|5aCGEN|6aDMG|7RCR|aBPWR
20	33316 21254	 * 	193.14	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1CGEN|2FEWX|3TLV|4ASPD|5ZMB|69DMG|7RCR|8VULN|aAART
21	51612 61231	   	192.66	DCR|4VULN|2ASPD	1aAME|2MBVNT|3CGEN|4aASPD|5RCVC|689aVULN|7RCR|aBPWR
22	31312 61231	   	192.56	DCR|4VULN|2ASPD	1aCGEN|2MBVNT|3TLV|4aASPD|5RCVC|689aVULN|7RCR|aBPWR
23	31612 61431	   	192.56	DCR|4VULN|2ASPD	1aCGEN|2MBVNT|3ERES|4aASPD|5RCVC|689aVULN|7RCR|aBPWR
24	51412 61231	   	192.56	DCR|4VULN|2ASPD	1aAME|2MBVNT|3ERES|4aASPD|5RCVC|689aVULN|7RCR|aBPWR
25	41612 61431	   	192.46	DCR|4VULN|2ASPD	1aERES|2MBVNT|3CGEN|4aASPD|5RCVC|689aVULN|7RCR|aBPWR
26	41312 61231	   	192.36	DCR|4VULN|2ASPD	1aERES|2MBVNT|3TLV|4aASPD|5RCVC|689aVULN|7RCR|aBPWR
27	56223 32341	   	192.16	DCR|3VULN|2ASPD|1CDMG	1AME|2aCGEN|3CDMG|4TLV|5aASPD|6RCR|7BASFIG|89aVULN|aBPWR
28	11413 41216	 * 	191.87	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1FEWX|2AELBLL|3AART|49ASPD|5ZMB|6RCR|7LIT|8DMG|aVULN
29	12516 21142	 * 	191.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2DUST|3RCVC|4ASPD|5ZMB|6DMG|7RCR|8CDMG|9aVULN
