0	Index      	 *	Score 	Summary	Detail	
1	14245 32333	 * 	227.32	DCR|1SPLARM|2VULN|2DMG|1ASPD|1CDMG|1DUR	14VULN|24DMG|3RMIN|4BPWR|5CDMG|6LIT|7DUR|8SPLARM|9ASPD|aRCR
2	14321 21364	 * 	222.77	DCR|3VULN|1SPLARM|1AART|1DMG|1CDMG	136VULN|2DMG|4AART|5CDMG|7AME|8ERES|9SPLARM|aRCR
3	14241 12125	 * 	221.22	DCR|3VULN|2DMG|1AART|1ASPD	14aVULN|24DMG|3RMIN|4BPWR|5SPLJET|6ASPD|7RCR|8LIT|9AART
4	14241 12122	 * 	219.04	DCR|3DMG|2VULN|1AART|1ASPD	14VULN|24aDMG|3RMIN|4BPWR|5SPLJET|6ASPD|7RCR|8LIT|9AART
5	14322 11453	   	219.02	DCR|3VULN|2DMG|1AART|1ASPD	139VULN|27DMG|4AART|5ERES|6LHND|8RCR|aASPD
6	24313 12453	   	219.02	DCR|3VULN|2DMG|1AART|1ASPD	1BEXP|26DMG|379VULN|4AART|5ERES|8RCR|aASPD
7	14241 12124	 * 	217.61	DCR|2VULN|2DMG|2ASPD|1AART	14VULN|24DMG|3RMIN|4BPWR|5SPLJET|6aASPD|7RCR|8LIT|9AART
8	14243 35312	 * 	217.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	14VULN|24DMG|3RMIN|4BPWR|5ERES|6ASPD|7BELT|8RCR|9AART|aCDMG
9	14331 12266	 * 	217.51	DCR|2VULN|2DMG|2ASPD|2CDMG	13VULN|2aDMG|4AME|5AIRARM|6aASPD|7RCR|8FEWX|9aCDMG|aBPWR
10	14243 35313	 * 	217.36	DCR|2VULN|2AART|2DMG|1ASPD	14VULN|24DMG|3RMIN|4BPWR|5ERES|6ASPD|7BELT|8RCR|9aAART
11	14322 12453	 * 	217.28	DCR|4VULN|1AART|1ASPD|1DMG	1379VULN|2DMG|4AART|5ERES|6LHND|8RCR|aASPD
12	14241 12113	 * 	214.69	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG	14VULN|24DMG|3RMIN|4BPWR|5SPLJET|6ASPD|7RCR|8LIT|9CDMG|aMDPS
13	14241 12263	   	214.69	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG	14VULN|24DMG|3RMIN|4BPWR|5SPLJET|6ASPD|7RCR|8FEWX|9CDMG|aMDPS
14	14322 31253	   	213.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	139VULN|2DMG|4AART|5ERES|6ZMB|7RCR|8AME|aASPD
15	14322 31264	   	213.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	13aVULN|2DMG|4AART|5ERES|6ZMB|7RCR|8AME|9ASPD
16	14322 31453	   	213.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	139VULN|2DMG|4AART|5ERES|6ZMB|7RCR|8MLV|aASPD
17	14241 12114	 * 	213.69	DCR|3VULN|2DMG|1ASPD|1CDMG	14aVULN|24DMG|3RMIN|4BPWR|5SPLJET|6ASPD|7RCR|8LIT|9CDMG
18	14321 23164	 * 	213.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	136VULN|2DMG|4AART|5CDMG|7ERES|8ASPD|9VENFST|aRCR
19	14522 31253	   	213.52	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	19VULN|23DMG|4AART|5ERES|6ZMB|7RCR|8AME|aASPD
20	14243 24222	   	212.94	DCR|3DMG|2VULN|1AART|1ASPD	14VULN|247DMG|3RMIN|4BPWR|5ERES|6LWND|8ASPD|9AART|aRCR
21	14243 53222	   	212.94	DCR|3DMG|2VULN|1AART|1ASPD	14VULN|246DMG|3RMIN|4BPWR|5ERES|7ASPD|8LHND|9AART|aRCR
22	14243 53122	   	212.84	DCR|3DMG|2VULN|1AART|1ASPD	14VULN|246DMG|3RMIN|4BPWR|5ERES|7ASPD|8LEGI|9AART|aRCR
23	12121 42113	   	211.39	DCR|3VULN|2DMG|1AART|1ZMB	15aVULN|2CGEN|3aBASFIG|4BEXP|6ZMB|7RCR|8AART|9aDMG|aBPWR
24	12161 42113	   	211.39	DCR|3VULN|2DMG|1AART|1ZMB	15aVULN|2CGEN|3aBASFIG|4FEWX|6ZMB|7RCR|8AART|9aDMG|aBPWR
25	31225 23362	 * 	210.66	DCR|1SPLARM|2VULN|1MDPS|2DMG|1ASPD|1NUKE	1MDPS|27LIT|3NUKE|47DMG|57VULN|6RCR|7BPWR|8SPLARM|9RPLT|aASPD
26	31225 23335	   	210.56	DCR|1SPLARM|2VULN|1MDPS|2DMG|1ASPD|1NUKE	1MDPS|27LIT|3NUKE|47DMG|57VULN|6RCR|7BPWR|8SPLARM|9CANARM|aASPD
27	14324 31313	   	210.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	13aVULN|2DMG|4AART|5CGEN|6ZMB|7RCR|8CDMG|9AELBLL
28	14324 31343	   	210.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	13aVULN|2DMG|4AART|5CGEN|6ZMB|7RCR|8CDMG|9RCVC
29	14322 31366	   	209.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	13aVULN|2DMG|4AART|5ERES|6ZMB|7RCR|8CDMG|9LHND
