0	Index      	 *	Score 	Summary	Detail	
1	62311 33616	 * 	227.34	DCR|4VULN|2DMG|1ASPD|1CDMG	1DUST|2CDMG|359aVULN|47DMG|6ASPD|8RCR
2	62311 33613	 * 	227.15	DCR|3VULN|3DMG|1ASPD|1CDMG	1DUST|2CDMG|359VULN|47aDMG|6ASPD|8RCR
3	33113 24141	 * 	223.96	DCR|3VULN|2AART|2CDMG|3DUR	17aVULN|2LIT|379DUR|47CDMG|58AART|6RCR|7BPWR
4	62311 33653	 * 	223.53	DCR|3DMG|2VULN|2ASPD|1CDMG	1DUST|2CDMG|35VULN|47aDMG|69ASPD|8RCR
5	33113 24116	 * 	219.80	DCR|2VULN|2AART|1MDPS|2CDMG|1DMG|2DUR	17VULN|2LIT|37DUR|47CDMG|58AART|6RCR|7BPWR|9MDPS|aDMG
6	31211 32513	 * 	217.12	DCR|3VULN|2DMG|1AART|1ASPD	125VULN|2BPWR|3RPLT|48DMG|6ASPD|7CGEN|9RCR|aAART
7	31216 52113	   	217.12	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|2BPWR|3RPLT|46DMG|5ASPD|7CGEN|9RCR|aAART
8	31256 52113	   	217.12	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|2BPWR|3RPLT|4CGEN|5ASPD|67DMG|9RCR|aAART
9	31211 34513	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	125VULN|2BPWR|3RPLT|48DMG|6ASPD|7TLV|9RCR|aAART
10	31211 35513	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	125VULN|2BPWR|3RPLT|48DMG|6ASPD|7ERES|9RCR|aAART
11	31216 54113	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|2BPWR|3RPLT|46DMG|5ASPD|7TLV|9RCR|aAART
12	31216 55113	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|2BPWR|3RPLT|46DMG|5ASPD|7ERES|9RCR|aAART
13	31216 62113	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|2BPWR|3RPLT|47DMG|5ASPD|6ERES|9RCR|aAART
14	56211 12113	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	1ASPD|2TLV|3RPLT|47DMG|568VULN|9RCR|aAART
15	33113 24143	   	216.47	DCR|2VULN|2AART|2CDMG|3DUR|1ZMB	17VULN|2LIT|379DUR|47CDMG|58AART|6RCR|7BPWR|aZMB
