0	Index      	 *	Score 	Summary	Detail	
1	63223 12232	 * 	219.22	DCR|3VULN|2DMG|1AART|1ASPD	125FEWX|29BPWR|349VULN|6AART|79DMG|8RCR|aASPD
2	12224 36141	 * 	218.96	DCR|3VULN|3ASPD|1AART|1DUR	17MLV|2RCVC|3AART|467ASPD|567VULN|67BPWR|8FEWX|9RCR|aDUR
3	52571 11432	 * 	213.54	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1CDMG	1AART|29SPLJET|3MBVNT|49DMG|5CDMG|6ASPD|7MDPS|89VULN|9BPWR|aRCR
4	21871 11432	   	213.34	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|1CDMG	19TSLFST|2MBVNT|3AART|49DMG|5CDMG|6ASPD|7MDPS|89VULN|9BPWR|aRCR
5	12224 36142	   	210.65	DCR|3VULN|3ASPD|1AART	17MLV|2RCVC|3AART|467ASPD|567VULN|67BPWR|8FEWX|9RCR|aAME
6	12224 36143	   	210.55	DCR|3VULN|3ASPD|1AART|1MSE	17MLV|2RCVC|3AART|467ASPD|567VULN|67BPWR|8FEWX|9RCR|aMSE
7	63223 12234	   	209.49	DCR|3VULN|2DMG|1AART|1ZMB	125FEWX|29BPWR|349VULN|6AART|79DMG|8RCR|aZMB
8	14234 12312	 * 	208.97	DCR|4VULN|1AART|1ASPD|2ZMB	1MLV|24ZMB|348aVULN|4BPWR|5RPLT|6ASPD|7AART|9RCR
9	23224 12412	 * 	205.95	DCR|3VULN|1SPLARM|2DMG|1CDMG	1TSLFST|25DMG|3BEXP|469VULN|7SPLARM|8RCR|aCDMG
10	23314 12412	   	205.95	DCR|3VULN|1SPLARM|2DMG|1CDMG	1TSLFST|25DMG|369VULN|4FEWX|7SPLARM|8RCR|aCDMG
11	23354 12412	   	205.95	DCR|3VULN|1SPLARM|2DMG|1CDMG	1TSLFST|25DMG|369VULN|4BEXP|7SPLARM|8RCR|aCDMG
