0	Index      	 *	Score 	Summary	Detail	
1	46132 32163	 * 	226.06	DCR|3VULN|2ASPD|1AART|1DMG|1DUR	1DMG|29aVULN|3DUR|48ASPD|5AART|6BELT|7RCR
2	33576 13311	 * 	222.38	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1DUR|2aVULN|3MBVNT|4DMG|59ASPD|6CDMG|7AART|8RCR
3	24113 51447	 * 	220.00	DCR|3DMG|2VULN|3CDMG|1ASPD	1MBVNT|289CDMG|3RMIN|4ASPD|578DMG|68VULN|8BPWR|aRCR
4	46151 33311	 * 	219.93	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB|1DUR	1aDMG|26VULN|3DUR|4RPLT|5ZMB|7AART|8RCR|9ASPD
5	33521 44138	 * 	218.98	DCR|3VULN|1AART|1ASPD|1NUKE|2DUR	15DUR|248VULN|3MBVNT|6RCR|7AART|9ASPD|aNUKE
6	33521 44158	 * 	218.98	DCR|3VULN|1AART|1DMG|1NUKE|2DUR	15DUR|248VULN|3MBVNT|6RCR|7AART|9DMG|aNUKE
7	33521 44738	   	218.98	DCR|3VULN|1AART|1DMG|1NUKE|2DUR	15DUR|249VULN|3MBVNT|6RCR|7AART|8DMG|aNUKE
8	46151 33313	   	218.59	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|26VULN|3DUR|4RPLT|5ZMB|7AART|8RCR|9ASPD|aCDMG
9	24434 43316	 * 	218.17	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1MBVNT|2CDMG|3ZMB|4DMG|5AART|6VULN|7DUR|8RCR|9ASPD|aNUKE
10	43613 33314	 * 	218.02	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD	15DMG|2ASPD|3DUST|47VULN|6LIT|8AART|9RCR|aMDPS
11	46633 33311	 * 	217.12	DCR|3VULN|2DMG|1AART|1ASPD	15DMG|27aVULN|3FEWX|4ASPD|6LIT|8AART|9RCR
12	43613 33311	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	15DMG|2ASPD|3DUST|47aVULN|6LIT|8AART|9RCR
13	24434 43361	 * 	216.26	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2CDMG|3ZMB|4DMG|5AART|69aVULN|7DUR|8RCR
14	24434 43311	 * 	215.70	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1MBVNT|2CDMG|3ZMB|4aDMG|5AART|6VULN|7DUR|8RCR|9ASPD
15	24134 35166	 * 	215.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2CDMG|3RMIN|4DMG|5AART|6ASPD|78aVULN|9RCR
16	24334 35166	   	215.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|2CDMG|3AME|4DMG|5AART|6ASPD|78aVULN|9RCR
17	33521 44745	 * 	215.68	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|2DUR	15DUR|24VULN|3MBVNT|6RCR|7AART|8DMG|9ASPD|aSPLARM
18	24134 35161	 * 	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1MBVNT|2CDMG|3RMIN|4aDMG|5AART|6ASPD|78VULN|9RCR
19	24334 35161	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1MBVNT|2CDMG|3AME|4aDMG|5AART|6ASPD|78VULN|9RCR
20	33576 24133	 * 	215.05	DCR|3ASPD|2VULN|1AART|1DMG|1DUR	1DUR|28VULN|3MBVNT|4DMG|569ASPD|7AART|aRCR
21	46132 11133	   	215.05	DCR|3ASPD|2VULN|1AART|1DMG|1DUR	1DMG|28VULN|3DUR|479ASPD|5AART|6MBVNT|aRCR
22	62261 22163	   	214.94	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|2DUR	1MDPS|29DUR|3AME|49VULN|5ASPD|6LWND|79DMG|8RCR|9BPWR|aAART
23	46132 32153	   	214.43	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2VULN|3DUR|48ASPD|5AART|6BELT|7RCR|9CDMG|aZMB
24	24443 43771	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2CDMG|3ZMB|4MLV|5DMG|6RCR|7aVULN|8ASPD|9AART
25	24434 43317	 * 	214.18	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2CDMG|3ZMB|4DMG|5aAART|6VULN|7DUR|8RCR|9ASPD
26	24431 43771	   	214.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2CDMG|3ZMB|4DMG|5TLV|6RCR|7aVULN|8ASPD|9AART
27	24134 37166	 * 	213.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1MBVNT|2CDMG|3RMIN|4DMG|57AART|6ASPD|8aVULN|9RCR
28	24443 43776	   	213.87	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1MBVNT|2CDMG|3ZMB|4MLV|5DMG|6RCR|7VULN|8ASPD|9AART|aNUKE
29	28134 13745	 * 	213.84	DCR|3VULN|3DMG|3DUR	1MBVNT|2RPLT|3RMIN|48aDMG|58aDUR|6RCR|78aVULN|8aBPWR|9DMSP
30	43121 43226	   	213.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	17DMG|2ASPD|3MLV|46VULN|5CDMG|8RPLT|9AART|aRCR
31	22632 36262	 * 	213.46	DCR|2VULN|2AART|2DMG|1ASPD	1MBVNT|2RMIN|39VULN|4ASPD|57AART|69SNIFST|89DMG|9BPWR|aRCR
32	33522 13831	   	213.40	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	17DUR|24VULN|3MBVNT|5AART|6CDMG|8RCR|9ASPD|aDMG
33	33521 33831	   	213.40	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	15DUR|24VULN|3MBVNT|6CDMG|7AART|8RCR|9ASPD|aDMG
34	43511 33342	 * 	213.05	ACR|2SPLARM|3VULN|2DMG|1ASPD|1ZMB|1DUR	1aDMG|2ASPD|3RCR|46aVULN|5DUR|7ZMB|8RCVC|9aSPLARM|aBPWR
35	22633 17431	 * 	212.74	DCR|3VULN|2DMG|2ASPD|1AAC	1MBVNT|2RMIN|36aVULN|4aASPD|5aDMG|7RCR|8RCVC|9AAC|aBPWR
36	46132 11733	 * 	212.26	DCR|3ASPD|2DMG|1VULN|1AART|1DUR	18DMG|2VULN|3DUR|479ASPD|5AART|6MBVNT|aRCR
37	22633 17311	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1MBVNT|2RMIN|36VULN|4ASPD|59DMG|7RCR|8DUR|aAART
38	22615 43137	   	211.34	DCR|3VULN|2ASPD|1AART|2ZMB	1MBVNT|2RMIN|38aVULN|4AART|5AELBLL|6aZMB|7RCR|9aASPD|aBPWR
39	22615 43437	   	211.34	DCR|3VULN|2ASPD|1AART|2ZMB	1MBVNT|2RMIN|39aVULN|4AART|5AELBLL|6aZMB|7RCR|8aASPD|aBPWR
40	33522 13836	   	211.17	DCR|3VULN|1AART|1ASPD|1CDMG|2DUR	17DUR|24aVULN|3MBVNT|5AART|6CDMG|8RCR|9ASPD
41	33521 33836	   	211.17	DCR|3VULN|1AART|1ASPD|1CDMG|2DUR	15DUR|24aVULN|3MBVNT|6CDMG|7AART|8RCR|9ASPD
42	24134 37161	 * 	211.13	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG	1MBVNT|2CDMG|3RMIN|4aDMG|57AART|6ASPD|8VULN|9RCR
