0	Index      	 *	Score 	Summary	Detail	
1	22321 16426	 * 	234.78	DCR|3VULN|1SPLARM|1AART|1ASPD|1DMG	1BEXP|24LIT|348VULN|4BPWR|5DMG|6RCR|7AART|9SPLARM|aASPD
2	22321 16515	 * 	221.88	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|24LIT|349VULN|4BPWR|5DMG|6RCR|7AART|8ASPD|aCDMG
3	52321 15215	   	221.88	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|24LIT|349VULN|4BPWR|5DMG|6RCR|7ASPD|8AART|aCDMG
4	34212 53613	 * 	220.12	DCR|3VULN|2ASPD|1AART|1DMG	139MLV|2DMG|459VULN|6RMIN|79ASPD|8RCR|9BPWR|aAART
5	15312 53611	 * 	218.09	DCR|3VULN|2DMG|2ASPD	1RCVC|29DMG|3MLV|459VULN|6RMIN|79ASPD|8RCR|9BPWR|aCGEN
6	15312 53612	   	218.09	DCR|3VULN|2DMG|2ASPD	1RCVC|29DMG|3MLV|459VULN|6RMIN|79ASPD|8RCR|9BPWR|aRPLT
7	15312 53613	   	218.09	DCR|3VULN|2DMG|2ASPD	1RCVC|29DMG|3MLV|459VULN|6RMIN|79ASPD|8RCR|9BPWR|aLHND
8	15541 23231	 * 	215.27	DCR|4VULN|2DMG|1AART	1RCVC|27DMG|3579VULN|4AART|67AELBLL|7BPWR|8CGEN|aRCR
9	32121 15215	   	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MLV|29VULN|3LIT|4ZMB|5DMG|6RCR|7ASPD|8AART|aCDMG
10	32121 16515	   	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MLV|29VULN|3LIT|4ZMB|5DMG|6RCR|7AART|8ASPD|aCDMG
11	31337 35313	 * 	214.01	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1MLV|2ZMB|35AART|4MBVNT|6RCR|7ASPD|8aVULN|9DMG
12	34323 35511	   	212.32	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2DMG|3AART|47VULN|5ASPD|6RCVC|8RCR|9ZMB|aCDMG
13	31311 65531	   	211.97	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	16MLV|2ZMB|3AART|4DMG|567VULN|6BPWR|8RCR|9RPLT|aASPD
14	31366 21126	   	211.96	DCR|2VULN|2AART|1DMG|2SPLREG|1ZMB	19MLV|2ZMB|35AART|49SPLREG|6RCR|7RMIN|89VULN|9BPWR|aDMG
