0	Index      	 *	Score 	Summary	Detail	
1	33512 22364	 * 	217.03	DCR|3DMG|2VULN|1AART|1CDMG	1BELT|29TLV|39VULN|459DMG|6RCR|7LEGI|8AART|9BPWR|aCDMG
2	33512 22366	   	209.09	DCR|3DMG|2VULN|1AART|1DUR	1BELT|29TLV|39VULN|459DMG|6RCR|7LEGI|8AART|9BPWR|aDUR
3	31123 25531	 * 	205.96	DCR|3VULN|1AART|1DMG|2DUR	1BELT|239VULN|4DMG|5RMIN|6RCR|79TLV|89DUR|9BPWR|aAART
4	33515 33162	 * 	205.69	DCR|2SPLARM|2VULN|2CDMG|1ASPD|1DMG	1BELT|2TLV|3aVULN|4DMG|5BEXP|6aCDMG|7RCR|8ASPD|9aSPLARM|aBPWR
5	31623 33134	 * 	203.15	DCR|2VULN|2ASPD|1AART|1CDMG	1BELT|29VULN|39LHND|4ERES|5RMIN|6CDMG|7RCR|89ASPD|9BPWR|aAART
6	31663 12243	 * 	202.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BELT|29VULN|3LHND|4DMG|5RMIN|6ASPD|7CDMG|8AART|aRCR
7	31143 21151	   	202.74	DCR|3VULN|1AART|1DMG|1ZMB	1BELT|239VULN|4ZMB|5RMIN|6RCR|7LWND|8DMG|aAART
8	31143 22151	   	202.74	DCR|3VULN|1AART|1DMG|1ZMB	1BELT|239VULN|4ZMB|5RMIN|6RCR|7LHND|8DMG|aAART
9	31123 21111	   	202.50	DCR|2VULN|2DMG|1AART|1ZMB	1BELT|23VULN|48DMG|5RMIN|6RCR|7LWND|9ZMB|aAART
10	31123 22111	   	202.50	DCR|2VULN|2DMG|1AART|1ZMB	1BELT|23VULN|48DMG|5RMIN|6RCR|7LHND|9ZMB|aAART
11	31123 25533	 * 	202.24	DCR|3VULN|1ASPD|1DMG|2DUR	1BELT|239VULN|4DMG|5RMIN|6RCR|79TLV|89DUR|9BPWR|aASPD
12	31123 25534	 * 	202.24	DCR|3VULN|1DMG|1NUKE|2DUR	1BELT|239VULN|4DMG|5RMIN|6RCR|79TLV|89DUR|9BPWR|aNUKE
13	33512 22363	   	201.11	DCR|3DMG|2VULN|1AART	1BELT|29TLV|39VULN|459DMG|6RCR|7LEGI|8AART|9BPWR|aRCVC
14	33512 22361	   	200.78	DCR|3DMG|2VULN|1AART	1BELT|29TLV|39VULN|459DMG|6RCR|7LEGI|8AART|9BPWR|aFEWX
15	33512 22362	   	200.78	DCR|3DMG|2VULN|1AART	1BELT|29TLV|39VULN|459DMG|6RCR|7LEGI|8AART|9BPWR|aAME
16	33512 22365	   	200.78	DCR|3DMG|2VULN|1AART	1BELT|29TLV|39VULN|459DMG|6RCR|7LEGI|8AART|9BPWR|aBEXP
17	31123 25551	   	200.62	DCR|3VULN|1AART|1DMG|1DUR	1BELT|239VULN|4DMG|5RMIN|6RCR|7TLV|8DUR|aAART
18	31123 24165	 * 	199.97	DCR|3VULN|2DMG|2DUR	1BELT|23aVULN|4aDMG|5RMIN|6RCR|7SNIFST|8LWND|9aDUR|aBPWR
19	31123 24365	   	199.97	DCR|3VULN|2DMG|2DUR	1BELT|23aVULN|4aDMG|5RMIN|6RCR|7SNIFST|8LHND|9aDUR|aBPWR
20	31143 21153	   	199.03	DCR|3VULN|1ASPD|1DMG|1ZMB	1BELT|239VULN|4ZMB|5RMIN|6RCR|7LWND|8DMG|aASPD
21	31143 21154	   	199.03	DCR|3VULN|1DMG|1NUKE|1ZMB	1BELT|239VULN|4ZMB|5RMIN|6RCR|7LWND|8DMG|aNUKE
22	31143 22153	   	199.03	DCR|3VULN|1ASPD|1DMG|1ZMB	1BELT|239VULN|4ZMB|5RMIN|6RCR|7LHND|8DMG|aASPD
23	31143 22154	   	199.03	DCR|3VULN|1DMG|1NUKE|1ZMB	1BELT|239VULN|4ZMB|5RMIN|6RCR|7LHND|8DMG|aNUKE
24	11621 24522	 * 	198.94	DCR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|2DMG|3RMIN|4CDMG|5ASPD|6LHND|78aVULN|9RCR
25	11623 14522	   	198.94	DCR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|2DMG|3RMIN|4CDMG|58aVULN|6LHND|7ASPD|9RCR
26	31123 21113	 * 	198.78	DCR|2VULN|2DMG|1ASPD|1ZMB	1BELT|23VULN|48DMG|5RMIN|6RCR|7LWND|9ZMB|aASPD
27	31123 21114	 * 	198.78	DCR|2VULN|2DMG|1NUKE|1ZMB	1BELT|23VULN|48DMG|5RMIN|6RCR|7LWND|9ZMB|aNUKE
28	31123 22113	   	198.78	DCR|2VULN|2DMG|1ASPD|1ZMB	1BELT|23VULN|48DMG|5RMIN|6RCR|7LHND|9ZMB|aASPD
29	31123 22114	   	198.78	DCR|2VULN|2DMG|1NUKE|1ZMB	1BELT|23VULN|48DMG|5RMIN|6RCR|7LHND|9ZMB|aNUKE
30	31663 12263	 * 	198.58	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1BELT|2VULN|3LHND|4DMG|5RMIN|6ASPD|7CDMG|89AART|aRCR
31	41262 33325	 * 	198.32	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB|1DUR	1MDPS|2DUR|36DMG|46VULN|5RCVC|6BPWR|7AART|8BELT|9ZMB|aRCR
32	31121 14314	 * 	197.72	DCR|3VULN|1ASPD|1DMG|1NUKE	1BELT|239VULN|4DMG|5LIT|6ASPD|7DUST|8RCR|aNUKE
33	31121 28815	   	197.72	DCR|3VULN|1ASPD|1DMG|1NUKE	1BELT|239VULN|4DMG|5LIT|6MBVNT|7ASPD|8RCR|aNUKE
34	33512 23536	 * 	197.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1BELT|2TLV|39VULN|45DMG|6RCR|7CDMG|8LIT|aASPD
35	32134 33124	 * 	197.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1BELT|2DUR|35VULN|4LWND|69CDMG|7RCR|8ASPD|aAART
36	32154 33124	   	197.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1BELT|2DUR|35VULN|4LHND|69CDMG|7RCR|8ASPD|aAART
37	64312 26211	 * 	197.35	DCR|3VULN|2DMG|1CDMG	1RPLT|2RMIN|36DMG|4RCVC|568VULN|6BPWR|7CDMG|9DUST|aRCR
38	64312 24311	   	197.35	DCR|3VULN|2DMG|1CDMG	1RPLT|2RMIN|36DMG|4RCVC|567VULN|6BPWR|8CDMG|9DUST|aRCR
39	31123 25553	   	196.90	DCR|3VULN|1ASPD|1DMG|1DUR	1BELT|239VULN|4DMG|5RMIN|6RCR|7TLV|8DUR|aASPD
40	33512 21364	   	196.75	DCR|3DMG|1AART|1VULN|1CDMG	1BELT|29TLV|3VULN|459DMG|6RCR|79LWND|8AART|9BPWR|aCDMG
41	31143 25531	   	196.23	DCR|3VULN|1AART|2DUR|1ZMB	1BELT|239VULN|4ZMB|5RMIN|6RCR|79TLV|89DUR|9BPWR|aAART
42	31313 12243	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1BELT|29VULN|3AAC|4DMG|5LWND|6ASPD|7CDMG|8AART|aRCR
43	31323 52243	   	195.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1BELT|29VULN|3AAC|4DUST|5ASPD|6DMG|7CDMG|8AART|aRCR
44	32134 33164	   	195.44	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	1BELT|29DUR|35VULN|4LWND|6CDMG|7RCR|8ASPD|aAART
45	33512 23532	   	195.43	DCR|3VULN|2DMG|1CDMG	1BELT|2TLV|39aVULN|45DMG|6RCR|7CDMG|8LIT
46	31123 21325	   	194.64	DCR|2VULN|1AART|1ASPD|1DMG	1BELT|23VULN|4DMG|5RMIN|6RCR|7LWND|8AART|9LIT|aASPD
47	31123 22323	   	194.64	DCR|2VULN|1AART|1ASPD|1DMG	1BELT|23VULN|4DMG|5RMIN|6RCR|7LHND|8AART|9RPLT|aASPD
48	31123 22355	   	194.64	DCR|2VULN|1AART|1ASPD|1DMG	1BELT|23VULN|4DMG|5RMIN|6RCR|7LHND|8AART|9LIT|aASPD
49	31123 21331	 * 	194.54	DCR|2VULN|1AART|1DMG|1NUKE|1SELL	1BELT|23VULN|4DMG|5RMIN|6RCR|7LWND|8AART|9NUKE|aSELL
50	31123 21332	 * 	194.54	DCR|2VULN|1AART|1DMG|1NUKE	1BELT|23VULN|4DMG|5RMIN|6RCR|7LWND|8AART|9NUKE|aAELBLL
51	31123 21333	   	194.54	DCR|2VULN|1AART|1DMG|1NUKE	1BELT|23VULN|4DMG|5RMIN|6RCR|7aLWND|8AART|9NUKE
52	31123 21334	   	194.54	DCR|2VULN|1AART|1DMG|1NUKE	1BELT|23VULN|4DMG|5RMIN|6RCR|7LWND|8AART|9NUKE|aBEXP
53	31123 21336	   	194.54	DCR|2VULN|1AART|1DMG|1NUKE	1BELT|23VULN|4DMG|5RMIN|6RCR|7LWND|8AART|9NUKE|aRCVC
54	11122 14524	 * 	194.04	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG	1CGEN|2DMG|38VULN|4ERES|5CDMG|6LEGI|7ASPD|9RCR|aNUKE
55	31121 28818	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1BELT|239VULN|4DMG|5LIT|6MBVNT|7ASPD|8RCR|aCDMG
56	64312 24223	   	193.54	DCR|3VULN|2DMG|1ZMB	1RPLT|2RMIN|36DMG|4RCVC|567VULN|6BPWR|8BEXP|9RCR|aZMB
57	32134 33334	 * 	193.41	DCR|3VULN|1AART|1CDMG|2DUR	1BELT|29DUR|359VULN|4LWND|6CDMG|7RCR|89AME|9BPWR|aAART
58	32154 33334	   	193.41	DCR|3VULN|1AART|1CDMG|2DUR	1BELT|29DUR|359VULN|4LHND|6CDMG|7RCR|89AME|9BPWR|aAART
59	32134 33234	   	193.21	DCR|3VULN|1AART|1CDMG|2DUR	1BELT|29DUR|359VULN|4LWND|6CDMG|7RCR|89TLV|9BPWR|aAART
60	32134 33534	   	193.21	DCR|3VULN|1AART|1CDMG|2DUR	1BELT|29DUR|359VULN|4LWND|6CDMG|7RCR|89ERES|9BPWR|aAART
61	32154 33234	   	193.21	DCR|3VULN|1AART|1CDMG|2DUR	1BELT|29DUR|359VULN|4LHND|6CDMG|7RCR|89TLV|9BPWR|aAART
62	32123 33132	   	192.92	DCR|2VULN|2ASPD|1CDMG|2DUR	1BELT|29DUR|39VULN|4ERES|5RMIN|6CDMG|7RCR|89ASPD|9BPWR|aMLV
63	32123 33133	   	192.92	DCR|2VULN|2ASPD|1CDMG|2DUR	1BELT|29DUR|39VULN|4ERES|5RMIN|6CDMG|7RCR|89ASPD|9BPWR|aRPLT
64	32123 33134	   	192.92	DCR|2VULN|2ASPD|1CDMG|2DUR	1BELT|29DUR|39VULN|4ERES|5RMIN|6CDMG|7RCR|89ASPD|9BPWR|aDMSP
65	32123 33135	   	192.92	DCR|2VULN|2ASPD|1CDMG|2DUR	1BELT|29DUR|39VULN|4ERES|5RMIN|6CDMG|7RCR|89ASPD|9BPWR|aAME
66	32123 33131	   	192.82	DCR|2VULN|2ASPD|1CDMG|2DUR	1BELT|29DUR|39VULN|4ERES|5RMIN|6CDMG|7RCR|89ASPD|9BPWR|aDUST
67	32123 33136	   	192.82	DCR|2VULN|2ASPD|1CDMG|2DUR	1BELT|29DUR|39VULN|4aERES|5RMIN|6CDMG|7RCR|89ASPD|9BPWR
68	31312 24683	 * 	192.68	DCR|3DMG|2VULN|1MDPS|1AART|1AAC	1BELT|27VULN|3AAC|457DMG|6MDPS|7BPWR|8MBVNT|9AART|aRCR
69	31143 25532	   	192.51	DCR|3VULN|1NUKE|2DUR|1ZMB	1BELT|239VULN|4ZMB|5RMIN|6RCR|79TLV|89DUR|9BPWR|aNUKE
70	31123 23645	   	192.41	DCR|3VULN|1AART|1DMG	1BELT|23aVULN|4DMG|5RMIN|6RCR|7LIT|8RPLT|9AART
71	31123 25131	   	192.41	DCR|3VULN|1AART|1DMG	1BELT|239VULN|4DMG|5RMIN|6RCR|79TLV|89FEWX|9BPWR|aAART
72	62345 23311	   	192.41	DCR|3VULN|1AART|1DMG	1RPLT|2CGEN|3RMIN|478VULN|5BEXP|6RCR|9AART|aDMG
73	63345 23311	   	192.41	DCR|3VULN|1AART|1DMG	1RPLT|2AME|3RMIN|478VULN|5BEXP|6RCR|9AART|aDMG
74	31123 25151	   	192.31	DCR|3VULN|1AART|1DMG	1BELT|239VULN|4DMG|5RMIN|6RCR|7TLV|8FEWX|aAART
75	31126 16211	   	192.25	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|23VULN|4DMG|5RPLT|6RCVC|7CDMG|8RCR|9ZMB|aAART
76	31146 13221	   	192.25	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1BELT|23VULN|4ZMB|5RPLT|6RCVC|7CDMG|8RCR|9ASPD|aAART
77	31123 21132	   	192.17	DCR|2VULN|2DMG|1AART	1BELT|23VULN|48DMG|5RMIN|6RCR|7LWND|9AART|aAELBLL
