0	Index      	 *	Score 	Summary	Detail	
1	12522 24143	 * 	215.94	DCR|3VULN|2ASPD|1DMG|1NUKE	14ASPD|2LEGI|348VULN|4BPWR|5DUST|6RCR|7SPLJET|9DMG|aNUKE
2	12522 22221	 * 	215.69	DCR|2VULN|2DMG|2ASPD|1NUKE	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|89DMG|aNUKE
3	12522 21321	   	215.59	DCR|2VULN|2DMG|2ASPD|1NUKE	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|89DMG|aNUKE
4	14316 42122	 * 	211.79	DCR|3DMG|2VULN|2ASPD|2RMIN	17ASPD|28CGEN|367DMG|47VULN|59RMIN|7BPWR|aRCR
5	16116 36123	 * 	211.29	DCR|1SPLARM|2VULN|2DMG|2ASPD|1AAC	1aASPD|2AAC|3CGEN|4aVULN|5RMIN|6SPLARM|7LIT|8aDMG|9RCR|aBPWR
6	12526 22315	 * 	211.17	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7LWND|8DMG|9RCR|aAART
7	12526 23314	   	211.17	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7BEXP|8DMG|9RCR|aAART
8	11543 32135	 * 	209.74	DCR|4VULN|2ASPD|2DUR|1ZMB	17ASPD|2DMSP|3TLV|467aVULN|57DUR|7BPWR|8ZMB|9RCR
9	13421 67323	 * 	206.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1aASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|9DUR
10	12526 23315	   	205.22	DCR|3VULN|2ASPD|1DMG|1DUR	14ASPD|2LEGI|34aVULN|4BPWR|5RMIN|6DUR|7BEXP|8DMG|9RCR
11	22112 52414	 * 	205.10	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1MDPS|24ASPD|34DUR|4BPWR|5VULN|6CDMG|7DMG|8SELL|9RCR|aAART
12	12526 22311	   	204.98	DCR|2VULN|2DMG|2ASPD|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7LWND|8aDMG|9RCR
13	12526 23311	   	204.98	DCR|2VULN|2DMG|2ASPD|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7BEXP|8aDMG|9RCR
14	12526 26311	   	204.98	DCR|2VULN|2DMG|2ASPD|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RMIN|6DUR|7LHND|8aDMG|9RCR
15	12521 12235	   	204.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	14ASPD|2LEGI|34VULN|4BPWR|5RPLT|6DUR|7DMG|8CGEN|9RCR|aAART
16	14222 21313	 * 	202.98	DCR|3VULN|2ASPD|1AART|1DUR	16ASPD|2CGEN|3LIT|4RCVC|567VULN|6BPWR|8AART|9DUR|aRCR
17	12522 23411	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7LHND|8LIT|9DMG|aAART
18	22112 52415	 * 	201.70	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|2DUR|1SELL	1MDPS|24ASPD|34DUR|4BPWR|5aVULN|6CDMG|7DMG|8SELL|9RCR
19	13524 22221	   	201.67	DCR|2VULN|2DMG|1ASPD|1NUKE	1ASPD|24FEWX|34VULN|4BPWR|5LHND|6RCR|7CGEN|89DMG|aNUKE
20	13524 21321	   	201.57	DCR|2VULN|2DMG|1ASPD|1NUKE	1ASPD|24FEWX|34VULN|4BPWR|5LHND|6RCR|7TLV|89DMG|aNUKE
21	13552 22221	   	201.57	DCR|2VULN|2DMG|1ASPD|1NUKE	1ASPD|2FEWX|35VULN|4LHND|6RCR|7CGEN|89DMG|aNUKE
22	13552 21321	   	201.47	DCR|2VULN|2DMG|1ASPD|1NUKE	1ASPD|2FEWX|35VULN|4LHND|6RCR|7TLV|89DMG|aNUKE
23	14222 21461	   	201.08	DCR|4VULN|2ASPD|1ZMB	16ASPD|2CGEN|3LIT|4RCVC|567aVULN|6BPWR|8RCR|9ZMB
24	26311 23233	 * 	200.88	DCR|3DMG|2VULN|1MDPS|1AART	1MDPS|24LWND|345DMG|4BPWR|6RCR|79VULN|8LHND|aAART
25	26311 24433	   	200.78	DCR|3DMG|2VULN|1MDPS|1AART	1MDPS|24LWND|345DMG|4BPWR|6RCR|7LEGI|89VULN|aAART
26	11246 34212	 * 	200.51	DCR|3ASPD|2VULN|1DMG|1DUR	157ASPD|2DMSP|3RMIN|47VULN|67LIT|7BPWR|8DUR|9RCR|aDMG
27	14231 25143	   	200.20	DCR|2VULN|2ASPD|1DMG|2SPLREG|1DUR	17ASPD|2aCGEN|3LIT|4DUR|5aSPLREG|6RCR|8DMG|9aVULN|aBPWR
28	14242 21313	   	200.10	DCR|3VULN|2ASPD|1AART|1DUR	16ASPD|24CGEN|3LIT|567VULN|6BPWR|8AART|9DUR|aRCR
29	12522 24123	   	199.97	DCR|4VULN|2ASPD|1DUR	14ASPD|2LEGI|348aVULN|4BPWR|5DUST|6RCR|7SPLJET|9DUR
30	15624 33231	 * 	199.82	DCR|3ASPD|2VULN|1AART	13aASPD|2RMIN|3aBPWR|4aAME|5DUST|6AART|7RCR|8MLV|9aVULN
31	13421 67232	 * 	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|3CDMG|4DMG|5MBVNT|6RCR|79AART|8AME|aVULN
32	13421 67333	 * 	199.20	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1ASPD|2FEWX|39CDMG|4DMG|5MBVNT|6RCR|7AART|8VULN|aDUR
33	12522 22222	   	198.97	DCR|2VULN|2DMG|2ASPD|1AAC	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|89DMG|aAAC
34	22112 52411	 * 	198.90	DCR|2DMG|1MDPS|2ASPD|1VULN|1CDMG|2DUR|1SELL	1MDPS|24ASPD|34DUR|4BPWR|5VULN|6CDMG|7aDMG|8SELL|9RCR
35	12522 21322	   	198.87	DCR|2VULN|2DMG|2ASPD|1AAC	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|89DMG|aAAC
36	12522 22241	   	198.86	DCR|2VULN|2ASPD|1DMG|1NUKE	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7CGEN|8DMG|9RCVC|aNUKE
37	12522 21341	   	198.76	DCR|2VULN|2ASPD|1DMG|1NUKE	14ASPD|2LEGI|34VULN|4BPWR|5DUST|6RCR|7TLV|8DMG|9RCVC|aNUKE
38	22112 56153	 * 	198.66	DCR|1MDPS|2ASPD|1VULN|1AART|3DUR|1CDMG|1ZMB	1MDPS|24ASPD|348DUR|4BPWR|5VULN|6CDMG|7AART|9ZMB|aRCR
