0	Index      	 *	Score 	Summary	Detail	
1	33321 14155	 * 	231.49	ACR|1SPLARM|2VULN|2DMG|1MDPS|1AART|1CDMG|1ZMB	12VULN|35DMG|4RCR|6ZMB|7CDMG|8AART|9MDPS|aSPLARM
2	33321 21113	 * 	231.13	ACR|5VULN|3DMG|2ASPD	1279aVULN|35aDMG|4RCR|6aASPD|8LEGI|aBPWR
3	33252 14113	 * 	230.12	DCR|5VULN|2ASPD|3ZMB	1239aVULN|46aZMB|5aASPD|7RCR|8LEGI|aBPWR
4	33321 25113	 * 	228.70	ACR|5VULN|3ASPD|2DMG	1289aVULN|35DMG|4RCR|68aASPD|78aLWND|8aBPWR
5	33321 24111	 * 	226.93	ACR|4VULN|2DMG|1AART|1ASPD|1CDMG	129aVULN|35DMG|4RCR|6ASPD|7CDMG|8AART
6	33321 21661	 * 	226.33	ACR|4VULN|3DMG|1AART|1ASPD	1279VULN|35aDMG|4RCR|6ASPD|8AART
7	33361 25412	 * 	225.25	DCR|3DMG|2VULN|1AART|1ASPD|1DUR	12VULN|359DMG|4DUR|6ASPD|7LWND|8RCR|aAART
8	33321 21666	 * 	224.93	ACR|5VULN|2DMG|1AART|1ASPD	1279aVULN|35DMG|4RCR|6ASPD|8AART
9	33321 21615	 * 	223.98	ACR|3VULN|1SPLARM|2DMG|1AART|1ASPD	127VULN|35DMG|4RCR|6ASPD|8AART|9FEWX|aSPLARM
10	33321 21625	   	223.98	ACR|3VULN|1SPLARM|2DMG|1AART|1ASPD	127VULN|35DMG|4RCR|6ASPD|8AART|9BEXP|aSPLARM
11	33321 21655	   	223.98	ACR|3VULN|1SPLARM|2DMG|1AART|1ASPD	127VULN|35DMG|4RCR|6ASPD|8AART|9LHND|aSPLARM
12	33325 21662	 * 	223.60	ACR|5VULN|1AART|1ASPD|1DMG|1CDMG	12579VULN|3DMG|4RCR|6ASPD|8AART|aCDMG
13	33325 24111	   	223.60	ACR|5VULN|1AART|1ASPD|1DMG|1CDMG	1259aVULN|3DMG|4RCR|6ASPD|7CDMG|8AART
14	33325 21615	 * 	222.24	ACR|4VULN|1SPLARM|1AART|1ASPD|1DMG	1257VULN|3DMG|4RCR|6ASPD|8AART|9FEWX|aSPLARM
15	33325 21625	   	222.24	ACR|4VULN|1SPLARM|1AART|1ASPD|1DMG	1257VULN|3DMG|4RCR|6ASPD|8AART|9BEXP|aSPLARM
16	33212 21625	 * 	221.90	DCR|5VULN|2ASPD|2CDMG	12379VULN|4BELT|5LIT|69CDMG|89ASPD|9BPWR|aRCR
17	33263 11563	 * 	221.34	DCR|5VULN|3DMG	1239aVULN|49aFEWX|5CANSTR|6CGEN|79aDMG|8RCR|9aBPWR
18	33413 11563	   	221.34	DCR|5VULN|3DMG	1249aVULN|39aFEWX|5CANSTR|6CGEN|79aDMG|8RCR|9aBPWR
19	33321 11661	   	221.01	ACR|4VULN|2DMG|1AART|1ASPD|1ZMB	1279VULN|35DMG|4RCR|6ZMB|8AART|aASPD
20	33254 24113	   	220.13	DCR|5VULN|2ASPD|2ZMB	1239aVULN|4aZMB|5RCVC|6aASPD|7RCR|8LEGI|aBPWR
21	33252 34113	   	219.70	DCR|5VULN|2ASPD|2ZMB	1239aVULN|4aZMB|5aASPD|6RCVC|7RCR|8LEGI|aBPWR
22	31441 15113	   	219.21	ACR|5VULN|3DMG|1ASPD	1689aVULN|2ASPD|3RCR|4DMSP|58aDMG|78aLWND|8aBPWR
23	33252 14213	   	217.77	DCR|5VULN|2ASPD|2ZMB	1239aVULN|46ZMB|5aASPD|7RCR|8aLWND|aBPWR
24	33252 14513	   	217.77	DCR|5VULN|2ASPD|2ZMB	1239aVULN|46ZMB|5aASPD|7RCR|8aBEXP|aBPWR
25	33321 21163	   	217.62	ACR|4VULN|3DMG|2ASPD	127aVULN|35aDMG|4RCR|6aASPD|8LEGI|9RCVC|aBPWR
26	31441 11113	   	217.48	ACR|5VULN|2DMG|2ASPD	1679aVULN|2aASPD|3RCR|4DMSP|5aDMG|8LEGI|aBPWR
27	33252 24126	 * 	217.42	DCR|4VULN|2DMG|1ASPD|1ZMB	1238VULN|4ZMB|5ASPD|67DMG|9ERES|aRCR
28	15125 31431	 * 	217.36	DCR|2VULN|2AART|2DMG|1ASPD	1LIT|23VULN|4ASPD|57AART|6aDMG|8RCR|9BEXP
29	33321 14111	   	217.20	ACR|4VULN|2DMG|1AART|1CDMG|1ZMB	129aVULN|35DMG|4RCR|6ZMB|7CDMG|8AART
30	33143 16216	 * 	217.12	DCR|3VULN|2DMG|1AART|2SPLREG|1DUR	127VULN|3LWND|4BELT|57DMG|67SPLREG|7BPWR|8AART|9DUR|aRCR
31	33252 14633	 * 	217.08	DCR|3VULN|1AART|1ASPD|1DMG|2ZMB	123VULN|46ZMB|5ASPD|7RCR|8AART|9LIT|aDMG
32	33254 24213	   	217.01	DCR|5VULN|2ASPD|1ZMB	1239aVULN|4ZMB|5RCVC|6aASPD|7RCR|8aLWND|aBPWR
33	33331 25412	   	216.94	DCR|3DMG|2VULN|1AART|1ASPD	12VULN|359DMG|4FEWX|6ASPD|7LWND|8RCR|aAART
34	35321 21113	   	216.87	ACR|4VULN|3DMG|2ASPD	179aVULN|2AELBLL|35aDMG|4RCR|6aASPD|8LEGI|aBPWR
35	33252 14163	   	216.62	DCR|4VULN|2ASPD|3ZMB	123aVULN|46aZMB|5aASPD|7RCR|8LEGI|9RCVC|aBPWR
36	33252 34213	   	216.58	DCR|5VULN|2ASPD|1ZMB	1239aVULN|4ZMB|5aASPD|6RCVC|7RCR|8aLWND|aBPWR
37	33252 34513	   	216.58	DCR|5VULN|2ASPD|1ZMB	1239aVULN|4ZMB|5aASPD|6RCVC|7RCR|8aBEXP|aBPWR
38	33325 21163	   	216.23	ACR|5VULN|2DMG|2ASPD	1257aVULN|3aDMG|4RCR|6aASPD|8LEGI|9RCVC|aBPWR
39	33332 56531	 * 	216.10	DCR|3VULN|2DMG|2ASPD|1ZMB	127VULN|37DMG|4FEWX|5MULFIG|67ASPD|7BPWR|8LIT|9ZMB|aRCR
40	33255 22161	   	216.07	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	123VULN|4ZMB|5DUR|6AART|7DMG|8ERES|9ASPD|aRCR
41	33252 34633	   	215.90	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	123VULN|4ZMB|5ASPD|6RCVC|7RCR|8AART|9LIT|aDMG
42	35252 14113	   	215.86	DCR|4VULN|2ASPD|3ZMB	139aVULN|2AELBLL|46aZMB|5aASPD|7RCR|8LEGI|aBPWR
43	33354 24213	   	215.85	DCR|4VULN|2DMG|1ASPD	129aVULN|3aDMG|4AELBLL|5RCVC|6ASPD|7RCR|8aLWND|aBPWR
44	33326 42512	 * 	215.77	ACR|5VULN|3DMG|1MDPS	12789VULN|368DMG|4RCR|58LIT|8BPWR|aMDPS
45	33321 21213	   	215.58	ACR|5VULN|2DMG|2ASPD	1279aVULN|35DMG|4RCR|6aASPD|8aLWND|aBPWR
46	33321 21513	   	215.58	ACR|5VULN|2DMG|2ASPD	1279aVULN|35DMG|4RCR|6aASPD|8aBEXP|aBPWR
47	33321 25116	   	215.58	ACR|5VULN|2DMG|2ASPD	1289aVULN|35DMG|4RCR|68ASPD|78LWND|8BPWR
48	33361 15412	   	215.52	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	12VULN|359DMG|4DUR|6ZMB|7LWND|8RCR|aAART
49	35325 21113	   	215.48	ACR|5VULN|2DMG|2ASPD	1579aVULN|2AELBLL|3aDMG|4RCR|6aASPD|8LEGI|aBPWR
50	33321 22116	   	215.38	ACR|5VULN|2DMG|2ASPD	1289aVULN|35DMG|4RCR|68ASPD|78DUST|8BPWR
51	33321 11666	   	215.20	ACR|5VULN|2DMG|1AART|1ZMB	1279aVULN|35DMG|4RCR|6ZMB|8AART
52	33321 25163	   	215.19	ACR|4VULN|3ASPD|2DMG	128aVULN|35DMG|4RCR|68aASPD|78aLWND|8aBPWR|9RCVC
53	33321 24264	 * 	214.44	ACR|3VULN|3ASPD|2DMG|1CDMG	12aVULN|35DMG|4RCR|689ASPD|7CDMG
54	33321 11615	   	214.25	ACR|3VULN|1SPLARM|2DMG|1AART|1ZMB	127VULN|35DMG|4RCR|6ZMB|8AART|9FEWX|aSPLARM
55	33321 11625	   	214.25	ACR|3VULN|1SPLARM|2DMG|1AART|1ZMB	127VULN|35DMG|4RCR|6ZMB|8AART|9BEXP|aSPLARM
56	33321 11655	   	214.25	ACR|3VULN|1SPLARM|2DMG|1AART|1ZMB	127VULN|35DMG|4RCR|6ZMB|8AART|9LHND|aSPLARM
57	33521 11662	   	213.87	ACR|5VULN|1AART|1DMG|1CDMG|1ZMB	12679VULN|3ZMB|4RCR|5DMG|8AART|aCDMG
58	33521 14111	   	213.87	ACR|5VULN|1AART|1DMG|1CDMG|1ZMB	1269aVULN|3ZMB|4RCR|5DMG|7CDMG|8AART
59	33325 11662	   	213.87	ACR|5VULN|1AART|1DMG|1CDMG|1ZMB	12579VULN|3DMG|4RCR|6ZMB|8AART|aCDMG
