0	Index      	 *	Score 	Summary	Detail	
1	12114 62432	 * 	221.55	DCR|5VULN|2DMG|1MDPS|1ASPD	12468VULN|3MDPS|58LWND|78DMG|8BPWR|9ASPD|aRCR
2	12344 22412	 * 	220.27	DCR|4VULN|2DMG|1MDPS|3ZMB	1258VULN|3RMIN|458ZMB|58BPWR|6MDPS|78DMG|9RPLT|aRCR
3	12211 31266	 * 	219.40	DCR|4VULN|1AART|1ASPD|2DUR|1ZMB	1268VULN|3ZMB|48CGEN|5AART|78DUR|8BPWR|9RCR|aASPD
4	12231 31266	   	219.20	DCR|4VULN|1AART|1ASPD|2DUR|1ZMB	1268VULN|3ZMB|48ERES|5AART|78DUR|8BPWR|9RCR|aASPD
5	12243 35222	 * 	217.61	DCR|4VULN|3ZMB|1ASPD|1DMG	1256VULN|347ZMB|8DMG|9RCR|aASPD
6	42124 22422	 * 	217.24	DCR|5VULN|3DMG|1MDPS	158FEWX|23458VULN|58BPWR|6MDPS|789DMG|aRCR
7	16124 22422	   	216.94	DCR|5VULN|3DMG|1MDPS	13458VULN|258DUST|58BPWR|6MDPS|789DMG|aRCR
8	52124 22422	   	216.94	DCR|5VULN|3DMG|1MDPS	158DUST|23458VULN|58BPWR|6MDPS|789DMG|aRCR
9	12243 35223	   	216.37	DCR|4VULN|1MDPS|3ZMB|1DMG	1256VULN|347ZMB|8DMG|9RCR|aMDPS
10	12331 32216	 * 	214.38	DCR|4VULN|2ASPD|1AART	1268VULN|3RMIN|48ERES|5AART|78ASPD|8BPWR|9BASARM|aRCR
11	12211 31166	   	213.96	DCR|4VULN|1AART|1ASPD|1ZMB|1DUR	1268VULN|3ZMB|4CGEN|5AART|7DUR|9RCR|aASPD
12	12231 31166	   	213.86	DCR|4VULN|1AART|1ASPD|1ZMB|1DUR	1268VULN|3ZMB|4ERES|5AART|7DUR|9RCR|aASPD
13	12136 32362	 * 	212.08	DCR|2VULN|2AART|1MDPS|2ASPD|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LHND|7RCR|9aAART
14	12136 62362	   	212.08	DCR|2VULN|2AART|1MDPS|2ASPD|1CDMG	12VULN|3MDPS|4CDMG|58ASPD|6LWND|7RCR|9aAART
15	12243 35226	 * 	211.80	DCR|5VULN|3ZMB|1DMG	1256aVULN|347ZMB|8DMG|9RCR
16	13641 25242	 * 	209.10	DCR|3VULN|2AART|1DMG|2DUR	156VULN|2RPLT|36DUR|4MBVNT|6BPWR|7DMG|8aAART|9RCR
17	21611 31266	   	208.97	DCR|4VULN|1AART|1ASPD|2DUR|1AAC	1AAC|2368VULN|48CGEN|5AART|78DUR|8BPWR|9RCR|aASPD
18	33113 42534	 * 	208.80	DCR|3VULN|3ASPD|1MDPS|1DMG	1AME|27aASPD|3MDPS|458VULN|6RCR|9DMG
19	21631 31266	   	208.77	DCR|4VULN|1AART|1ASPD|2DUR|1AAC	1AAC|2368VULN|48ERES|5AART|78DUR|8BPWR|9RCR|aASPD
20	31221 31216	 * 	208.20	DCR|5VULN|1AART|2DUR	18AME|24689VULN|3RMIN|5AART|78DUR|8BPWR|aRCR
21	11221 31216	   	208.20	DCR|5VULN|1AART|2DUR	14689VULN|28AME|3RMIN|5AART|78DUR|8BPWR|aRCR
22	12311 31216	   	208.20	DCR|5VULN|1AART|2DUR	12689VULN|3RMIN|48CGEN|5AART|78DUR|8BPWR|aRCR
23	12351 31216	   	208.20	DCR|5VULN|1AART|2DUR	12689VULN|3RMIN|48MLV|5AART|78DUR|8BPWR|aRCR
24	12331 31216	   	208.00	DCR|5VULN|1AART|2DUR	12689VULN|3RMIN|48ERES|5AART|78DUR|8BPWR|aRCR
25	12111 46116	 * 	207.02	DCR|4VULN|1MDPS|2ASPD|2DUR	124aVULN|3MDPS|5FEWX|6RCR|7RCVC|8aDUR|9aASPD|aBPWR
26	12222 24636	   	206.93	DCR|4VULN|1MDPS|2ASPD|1ZMB	129aVULN|3ZMB|4aDUST|5RMIN|6MDPS|7RCR|8aASPD|aBPWR
27	33113 42242	 * 	206.53	DCR|3VULN|1MDPS|2ASPD|1AART	1AME|27ASPD|3MDPS|45aVULN|6RCR|8SPLREG|9AART
28	63113 42243	   	206.53	DCR|3VULN|1MDPS|2ASPD|1AART	1CGEN|27ASPD|3MDPS|45aVULN|6RCR|8SPLREG|9AART
