0	Index      	 *	Score 	Summary	Detail	
1	61331 11614	 * 	215.76	DCR|3VULN|1SPLARM|1AART|2DUR|2ZMB	178VULN|2DUST|38DUR|4LIT|5SPLARM|68ZMB|8BPWR|9RCR|aAART
2	61263 11135	 * 	214.89	DCR|4VULN|1SPLARM|1ASPD|1DUR	178aVULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|9SPLARM
3	65261 11132	   	209.48	DCR|3VULN|1SPLARM|1ASPD|1ZMB|1DUR	178VULN|2DUR|3RPLT|4ASPD|5LHND|6RCR|9SPLARM|aZMB
4	61263 11132	   	209.38	DCR|3VULN|1SPLARM|1ASPD|1ZMB|1DUR	178VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|9SPLARM|aZMB
5	65261 11111	 * 	206.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	178VULN|2DUR|3RPLT|4ASPD|5LHND|6RCR|9CDMG|aDMG
6	61263 11111	   	206.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	178VULN|2DUST|3RPLT|4ASPD|5DUR|6RCR|9CDMG|aDMG
7	61521 61223	 * 	205.92	DCR|5VULN|2ASPD	1579aVULN|28aDUST|3BELT|4aASPD|6RCR|aBPWR
8	61521 61213	 * 	204.58	DCR|4VULN|3ASPD	157aVULN|28aDUST|3BELT|49aASPD|6RCR|aBPWR
9	64221 41323	 * 	202.28	DCR|3DMG|2VULN|1ASPD|1DUR	17VULN|246DMG|3RMIN|5RCVC|8DUR|9RCR|aASPD
10	61261 11332	 * 	201.45	DCR|3VULN|2AART|1ASPD	17aVULN|2DUST|3RPLT|4ASPD|5LHND|6RCR|89AART
11	63265 11332	   	201.45	DCR|3VULN|2AART|1ASPD	17aVULN|2LHND|3RPLT|4ASPD|5DUST|6RCR|89AART
12	64333 31613	 * 	201.21	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	17VULN|26DMG|3CGEN|4FEWX|56DUR|6BPWR|8ZMB|9AART|aRCR
13	43225 13511	 * 	201.15	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR	14DUST|2aASPD|3CDMG|5BEXP|6aDMG|7VULN|8RCR|9aDUR|aBPWR
14	65261 11113	 * 	200.47	DCR|3VULN|2ASPD|1CDMG|1DUR	178VULN|2DUR|3RPLT|4aASPD|5LHND|6RCR|9CDMG
15	61263 11113	   	200.37	DCR|3VULN|2ASPD|1CDMG|1DUR	178VULN|2DUST|3RPLT|4aASPD|5DUR|6RCR|9CDMG
16	61263 11143	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	178VULN|2DUST|3RPLT|4ASPD|59DUR|6RCR|aAART
17	21162 33115	 * 	198.60	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	1LIT|24VULN|3MDPS|5DUR|67ASPD|8RCR|9DMG|aCDMG
18	64221 41321	 * 	198.46	DCR|3DMG|2VULN|1CDMG|1DUR	17VULN|246DMG|3RMIN|5RCVC|8DUR|9RCR|aCDMG
19	63262 11111	   	198.01	DCR|3VULN|1ASPD|1DMG|1CDMG	178VULN|2LHND|3RPLT|4ASPD|5FEWX|6RCR|9CDMG|aDMG
20	61261 11111	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	178VULN|2DUST|3RPLT|4ASPD|5LHND|6RCR|9CDMG|aDMG
