0	Index      	 *	Score 	Summary	Detail	
1	34331 53161	 * 	219.28	DCR|3VULN|1MDPS|1ASPD|1DMG|3DUR	138DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|aMDPS
2	34331 53314	 * 	219.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|8LHND|aAART
3	34331 53513	   	219.18	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7ASPD|8FEWX|aAART
4	34321 53161	   	219.18	DCR|3VULN|1MDPS|1ASPD|1DMG|3DUR|1AAC	138DUR|239VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|aMDPS
5	34321 53314	   	219.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR|1AAC	13DUR|239VULN|3BPWR|4AAC|5DMG|6RCR|7ASPD|8LHND|aAART
6	34331 51513	   	219.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	13DUR|239VULN|3BPWR|4CGEN|5DMG|6RCR|7MBVNT|8ASPD|aAART
7	63121 55212	 * 	218.22	DCR|4VULN|1MDPS|1DMG|2ZMB|1DUR	12ZMB|3DUR|4789VULN|5DMG|6RCR|aMDPS
8	34341 35212	 * 	217.41	DCR|5VULN|1ASPD|1DMG|2DUR	13DUR|23489VULN|3BPWR|5DMG|6ASPD|7MBVNT|aRCR
9	34122 35313	 * 	216.70	DCR|2VULN|2DMG|1AART|1ASPD|2DUR|1SELL	18DUR|28VULN|3TSLARM|4SELL|5BEXP|68DMG|7RCR|8BPWR|9ASPD|aAART
10	34125 35313	 * 	216.70	DCR|2VULN|2DMG|1AART|1ASPD|2DUR|1SELL	18DUR|28VULN|3TSLARM|4SELL|5FEWX|68DMG|7RCR|8BPWR|9ASPD|aAART
11	34126 35313	 * 	216.60	DCR|2VULN|2DMG|1AART|1ASPD|2DUR|1SELL	18DUR|28VULN|3TSLARM|4SELL|5DUST|68DMG|7RCR|8BPWR|9ASPD|aAART
12	63123 61343	 * 	216.45	DCR|4VULN|3ZMB|1DMG|3DUR	127ZMB|367DUR|467aVULN|5RPLT|67BPWR|8DMG|9RCR
13	34331 53111	 * 	215.67	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	138DUR|23VULN|3BPWR|4CGEN|5DMG|6RCR|79ASPD|aMDPS
