0	Index      	 *	Score 	Summary	Detail	
1	24531 13613	 * 	219.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	129VULN|3CGEN|4DMG|5ASPD|6LHND|7RCR|8AART|aCDMG
2	24531 13612	 * 	219.38	DCR|4VULN|1AART|1ASPD|1DMG	129aVULN|3CGEN|4DMG|5ASPD|6LHND|7RCR|8AART
3	34343 33362	 * 	217.36	DCR|2VULN|2AART|2DMG|1ASPD	14AART|2LWND|3MLV|56DMG|7aVULN|8RCR|9ASPD
4	24534 22123	 * 	216.10	DCR|3VULN|2DMG|2ASPD|1ZMB	129VULN|35CGEN|49DMG|6ZMB|7AELBLL|89ASPD|9BPWR|aRCR
5	33243 36312	 * 	215.84	DCR|2VULN|2AART|2DMG|1NUKE|1ZMB|1DUR	14AART|2NUKE|3aVULN|56DMG|7DUR|8RCR|9ZMB
6	24534 21123	 * 	214.36	DCR|4VULN|2ASPD|1DMG|1ZMB	1279VULN|359CGEN|4DMG|6ZMB|89ASPD|9BPWR|aRCR
7	34342 63332	 * 	214.00	DCR|2VULN|2AART|2ASPD|1DMG	14AART|2LWND|3MLV|56ASPD|7aVULN|8RCR|9DMG
8	53342 24322	   	214.00	DCR|2VULN|2AART|2ASPD|1DMG	1BEXP|25ASPD|39AART|4DMSP|6DMG|7aVULN|8RCR
9	13342 23325	   	213.90	DCR|2VULN|2AART|2ASPD|1DMG	1DUST|25ASPD|39AART|4DMSP|6DMG|7aVULN|8RCR
10	13352 23325	   	213.80	DCR|2VULN|2AART|2ASPD|1DMG	14DUST|25ASPD|39AART|6DMG|7aVULN|8RCR
11	24223 41531	   	213.66	DCR|3VULN|2DMG|2ASPD|1AAC	12aVULN|3aASPD|49LWND|5FEWX|6RCR|7aDMG|8AAC|aBPWR
12	33232 23552	 * 	211.51	DCR|3VULN|2DMG|1AART|1NUKE|1CDMG	1AART|2NUKE|368VULN|468FEWX|5RPLT|68BPWR|78DMG|9CDMG|aRCR
