0	Index      	 *	Score 	Summary	Detail	
1	32246 21315	 * 	239.20	DCR|5VULN|3DMG|1ASPD	13457VULN|24aDMG|4BPWR|6ASPD|8DMSP|9RCR
2	32243 56322	 * 	238.63	DCR|5VULN|1SPLARM|2DMG	1348aVULN|24DMG|4BPWR|5CGEN|6RCR|7MLV|9SPLARM
3	32153 82814	 * 	235.24	DCR|3VULN|2DMG|2ASPD|1AART	189VULN|29DMG|3TLV|4MBVNT|5DUST|69ASPD|7RCR|9BPWR|aAART
4	32243 56331	 * 	233.27	DCR|5VULN|2DMG|1AART	13489VULN|24DMG|4BPWR|5CGEN|6RCR|7MLV|aAART
5	32246 21221	   	229.86	DCR|5VULN|2DMG|1ASPD|1DUR	13457VULN|24DMG|4BPWR|6ASPD|8DUR|9FEWX|aRCR
6	32246 21231	   	229.86	DCR|5VULN|2DMG|1ASPD|1DUR	13457VULN|24DMG|4BPWR|6ASPD|8DUR|9LHND|aRCR
7	32246 21243	   	229.86	DCR|5VULN|2DMG|1ASPD|1DUR	13457VULN|24DMG|4BPWR|6ASPD|8DUR|9AME|aRCR
8	32223 46522	 * 	228.58	DCR|3VULN|1SPLARM|1MDPS|1AART|1ASPD|1DMG	134VULN|2DMG|5CGEN|6MDPS|7ASPD|8AART|9RCR|aSPLARM
9	32522 14522	 * 	228.44	DCR|1SPLARM|2VULN|2DMG|1MDPS|1AART|1ASPD	14VULN|24DMG|3MDPS|4BPWR|5DMSP|6ASPD|7CGEN|8AART|9RCR|aSPLARM
10	32522 16522	   	228.44	DCR|1SPLARM|2VULN|1MDPS|2DMG|1AART|1ASPD	14VULN|24DMG|3MDPS|4BPWR|5DMSP|6ASPD|7AME|8AART|9RCR|aSPLARM
11	32522 13522	   	228.34	DCR|1SPLARM|2VULN|1MDPS|2DMG|1AART|1ASPD	14VULN|24DMG|3MDPS|4BPWR|5DMSP|6ASPD|7ERES|8AART|9RCR|aSPLARM
12	32243 55331	   	227.31	DCR|4VULN|2DMG|1AART|1DUR	134aVULN|24DMG|4BPWR|5CGEN|6RCR|7DUR|8LWND|9AART
13	22322 52236	   	226.40	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	1FEWX|2aDMG|3DUR|4LIT|5aASPD|6ZMB|78aVULN|9RCR|aBPWR
14	32243 52121	   	225.20	DCR|4VULN|2DMG|1ASPD|1DUR	1348VULN|24DMG|4BPWR|5CGEN|6RCR|7RCVC|9ASPD|aDUR
15	32226 15363	   	223.55	DCR|5VULN|2DMG|1ASPD	13456VULN|26DMG|6BPWR|7FEWX|8LHND|9RCR|aASPD
16	32226 16163	   	223.55	DCR|5VULN|2DMG|1ASPD	13456VULN|26DMG|6BPWR|7LWND|8FEWX|9RCR|aASPD
17	32246 21311	   	223.55	DCR|5VULN|2DMG|1ASPD	13457VULN|24DMG|4BPWR|6ASPD|8DMSP|9RCR|aRPLT
18	32246 21313	   	223.55	DCR|5VULN|2DMG|1ASPD	13457VULN|24DMG|4BPWR|6ASPD|8DMSP|9RCR|aFEWX
19	32246 21314	   	223.55	DCR|5VULN|2DMG|1ASPD	13457VULN|24DMG|4BPWR|6ASPD|8DMSP|9RCR|aBEXP
