0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35241 33433	10	 * 	278.50	橙4易伤2时间2等级1伤害1核弹	1立即金币2569易伤3伤害4核弹79等级89时间9序列升级a核
2	35261 12142	7	 * 	277.09	橙4易伤3伤害1时间	1立即金币2568易伤39a伤害4时间7核
3	35261 12342	8	   	277.09	橙4易伤3伤害1时间	1立即金币2568易伤39a伤害4时间7核
4	52342 33211	9	   	276.07	橙4易伤2时间1伤害2全技能	17全技能28敌人爆炸358a易伤48时间6核8序列升级9伤害
5	52342 33216	10	   	276.07	橙4易伤2时间1伤害2全技能	17全技能28敌人爆炸358a易伤48时间6核8序列升级9伤害
6	35261 12112	7	 * 	276.02	橙4易伤2伤害2时间	1立即金币2568易伤3a伤害49时间7核
7	35261 12162	8	   	276.02	橙4易伤2伤害2时间	1立即金币2569易伤3a伤害48时间7核
8	35261 12312	8	   	276.02	橙4易伤2伤害2时间	1立即金币2568易伤3a伤害49时间7核
9	35243 33433	10	 * 	273.45	橙3易伤2伤害2时间2等级1核弹	1立即金币269易伤35伤害4核弹79等级89时间9序列升级a核
10	26161 62232	7	 * 	273.44	橙4易伤2时间2攻速1暴击	19最后敌人23攻速49时间5689易伤7核9序列升级a暴击
11	31231 12135	7	 * 	273.24	橙5易伤2伤害	1立即金币29敌人爆炸39伤害45689易伤7核9序列升级a雷电
12	35221 12135	7	   	273.24	橙5易伤2伤害	1立即金币25689易伤39伤害49敌人爆炸7核9序列升级a雷电
13	35211 12135	7	   	273.04	橙5易伤2伤害	1立即金币25689易伤39伤害49挖尘7核9序列升级a雷电
14	31231 12132	8	   	272.29	橙4易伤2时间1伤害1暴击	1立即金币29敌人爆炸3伤害4569易伤7核89时间9序列升级a暴击
15	35221 12132	8	   	272.29	橙4易伤2时间1伤害1暴击	1立即金币2569易伤3伤害49敌人爆炸7核89时间9序列升级a暴击
16	35261 12432	8	   	272.29	橙4易伤2时间1伤害1暴击	1立即金币2569易伤3伤害49时间7核89最后敌人9序列升级a暴击
17	35261 12532	7	   	272.29	橙4易伤2时间1伤害1暴击	1立即金币2569易伤3伤害49时间7核89最后敌人9序列升级a暴击
18	35261 12632	8	   	272.29	橙4易伤2时间1伤害1暴击	1立即金币2569易伤3伤害49时间7核89敌人爆炸9序列升级a暴击
19	35261 42232	7	   	272.29	橙4易伤2时间1伤害1暴击	1立即金币2589易伤3伤害49时间69最后敌人7核9序列升级a暴击
20	35211 12132	8	   	272.09	橙4易伤2时间1伤害1暴击	1立即金币2569易伤3伤害49挖尘7核89时间9序列升级a暴击
21	35261 12532	8	   	272.09	橙4易伤2时间1伤害1暴击	1立即金币2569易伤3伤害49时间7核89挖尘9序列升级a暴击
22	35221 32136	8	 * 	269.24	橙3易伤3伤害2时间	1立即金币259易伤379伤害4敌人爆炸6基地爆炸89时间9序列升级a核
23	35211 32136	8	   	269.14	橙3易伤3伤害2时间	1立即金币259易伤379伤害4挖尘6基地爆炸89时间9序列升级a核
24	35212 26236	7	   	269.14	橙3易伤3伤害2时间	1立即金币289易伤369伤害4挖尘5敌人爆炸79时间9序列升级a核
25	35212 32136	8	   	269.14	橙3易伤3伤害2时间	1立即金币269易伤379伤害4挖尘5敌人爆炸89时间9序列升级a核
26	35221 22136	8	   	269.14	橙3易伤3伤害2时间	1立即金币259易伤379伤害4敌人爆炸6挖尘89时间9序列升级a核
27	35225 32136	8	   	269.14	橙3易伤3伤害2时间	1立即金币269易伤379伤害4敌人爆炸5挖尘89时间9序列升级a核
28	35261 12142	8	   	269.04	橙3易伤3伤害2时间	1立即金币256易伤39a伤害48时间7核
29	54262 21232	7	   	268.57	橙4易伤2等级1时间2雷电1全技能	1全技能29等级35雷电4579易伤59序列升级69敌人爆炸8核a时间
30	52212 35621	1	   	268.42	橙3易伤2伤害2等级1时间1全技能	1全技能267易伤3赏金塔47伤害57等级7序列升级8挖尘9核a时间
31	35245 12132	8	   	267.13	橙3易伤2伤害2时间1暴击1核弹	1立即金币269易伤39伤害4核弹5随机矿7核89时间9序列升级a暴击
32	45123 33342	2	 * 	266.81	橙3易伤3时间2伤害	19a低血量敌人29掉矿3a伤害45a易伤689时间7核9a序列升级
33	35223 23342	6	   	266.81	橙3易伤3时间2伤害	1立即金币29a易伤39伤害4a敌人爆炸5a掉矿689时间7核9a序列升级
34	35261 12352	9	   	266.74	橙4易伤2时间1伤害	1立即金币2568易伤3伤害4a时间7核9雷电
35	35243 11511	7	   	265.54	橙2易伤3伤害2时间1暴击1核弹1全技能	1立即金币28易伤358伤害4核弹68时间7全技能8序列升级9暴击a核
36	35243 11611	8	   	265.54	橙2易伤3伤害2时间1暴击1核弹1全技能	1立即金币28易伤358伤害4核弹68时间7全技能8序列升级9暴击a核
37	35243 13511	5	   	265.54	橙2易伤3伤害2时间1暴击1核弹1全技能	1立即金币28易伤358伤害4核弹68时间7全技能8序列升级9暴击a核
