0	Index      	Bounty	 *	Score 	Summary	Detail	
1	38771 34233	7	 * 	308.89	橙5易伤3时间2伤害1暴击	1加一27伤害356时间45679易伤567序列升级8暴击a核
2	38771 34244	7	 * 	306.20	橙4易伤3伤害3时间1暴击	1加一279伤害356时间4567易伤567序列升级8暴击a核
3	38771 34343	7	   	303.55	橙5易伤3时间2伤害	1加一27伤害356时间45678易伤567序列升级9核a攻速
4	38771 34344	7	   	303.55	橙5易伤3时间2伤害	1加一27伤害356时间45678易伤567序列升级9核a雷电
5	38771 31223	10	 * 	303.00	橙4易伤3时间2伤害1等级	1加一27伤害356时间456a易伤56序列升级8等级9核
6	38771 43332	10	 * 	299.79	橙3易伤3时间2伤害2等级	1加一29伤害358时间459易伤59序列升级69等级7全技能a核
7	11461 32332	9	 * 	297.77	橙5易伤3伤害2时间	1a基地爆炸256伤害3挖青4569a易伤56a序列升级7a时间8核
8	38771 34341	7	   	295.24	橙5易伤3时间2伤害	1加一27伤害356时间45678易伤567序列升级9核a敌人爆炸
9	38771 34342	7	   	295.24	橙5易伤3时间2伤害	1加一27伤害356时间45678易伤567序列升级9核a矿等
10	11461 32342	8	   	292.65	橙4易伤3伤害3时间	1a基地爆炸256伤害3挖青456a易伤56a序列升级79a时间8核
11	38664 23412	7	 * 	292.44	橙4易伤3伤害3等级	1加一247伤害3478易伤478序列升级578等级6全技能9核a金币生成
12	38664 23413	7	   	292.44	橙4易伤3伤害3等级	1加一247伤害3478易伤478序列升级578等级6全技能9核a敌人爆炸
13	38664 23414	7	   	292.44	橙4易伤3伤害3等级	1加一247伤害3478易伤478序列升级578等级6全技能9核a最后敌人
14	38664 23113	8	   	292.44	橙4易伤3伤害2等级	1加一247伤害3479易伤47序列升级57等级6全技能8基地爆炸a核
15	38664 23213	8	   	292.44	橙4易伤3伤害2等级	1加一247伤害3479易伤47序列升级57等级6全技能8低血量敌人a核
16	38664 23313	8	   	292.44	橙4易伤3伤害2等级	1加一247伤害3479易伤47序列升级57等级6全技能8最后敌人a核
17	38664 23213	7	   	292.34	橙4易伤3伤害2等级	1加一247伤害3479易伤47序列升级57等级6全技能8挖尘a核
18	38664 23411	7	   	292.34	橙4易伤3伤害3等级	1加一247伤害3478易伤478序列升级578等级6全技能9核a掉矿
19	11461 32335	9	   	290.84	橙4易伤3伤害1等级1时间	1基地爆炸256伤害3挖青4569易伤56序列升级7时间8核a等级
20	38426 23383	7	   	287.53	橙3易伤3伤害2等级1时间	1加一278伤害37等级457易伤6全技能7序列升级9时间a核
21	31358 24232	10	   	286.80	橙5易伤3伤害3雷电	1加一278雷电35678易伤478伤害78序列升级9敌人爆炸a核
22	38771 34421	9	   	286.56	橙4易伤3时间2伤害	1加一27伤害356时间4567易伤567序列升级8全技能9双倍矿a核
23	38771 33412	10	   	285.41	橙4易伤3时间1等级1伤害	1加一2伤害356时间4568易伤56序列升级7金币生成9等级a核
24	11461 32431	8	 * 	284.38	橙3易伤3伤害2时间1等级	1基地爆炸256伤害3挖青456易伤56序列升级78时间9等级a核
25	11553 32234	10	   	282.90	橙4易伤3伤害1等级	1基地爆炸247伤害346a易伤4序列升级5等级8核9攻速
26	38771 31221	10	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a敌人爆炸
27	38771 31222	9	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a敌人爆炸
28	38771 31222	10	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a矿等
29	38771 31223	9	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a金币生成
30	38771 31224	10	   	281.95	橙3易伤3时间2伤害1等级	1加一27伤害356时间456易伤56序列升级8等级9核a平台
