0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51132 24511	1	 * 	287.16	橙4易伤3伤害1时间1全技能	178伤害2额外掉落3全技能4578易伤678基地爆炸78序列升级9核a时间
2	35412 53211	2	   	284.45	橙3易伤3伤害1等级1时间1暴击	1基地爆炸26a易伤3暴击4时间569伤害6序列升级7等级8核
3	23525 31522	7	 * 	280.98	橙5易伤2伤害1时间	1时间2金币生成3469a易伤57伤害8核
4	23525 33522	6	 * 	277.98	橙5易伤2时间1伤害	17时间2金币生成3469a易伤5伤害8核
5	61522 13732	7	 * 	277.98	橙5易伤2时间2等级	17等级2最后敌人3479a易伤57时间6加一7序列升级8核
6	62522 13732	7	   	277.98	橙5易伤2时间2等级	17等级2敌人爆炸3479a易伤57时间6加一7序列升级8核
7	35215 31132	5	 * 	276.12	橙4易伤2伤害2时间	1基地爆炸269a易伤38时间4最后敌人56伤害6序列升级7核
8	23525 34321	6	   	274.40	橙5易伤1伤害1时间1攻速	1时间2金币生成34689易伤5伤害7核a攻速
9	51132 24512	1	   	270.91	橙4易伤3伤害1全技能	178伤害2额外掉落3全技能4578易伤678基地爆炸78序列升级9核a策反
10	51132 24513	1	   	270.91	橙4易伤3伤害1全技能	178伤害2额外掉落3全技能4578易伤678基地爆炸78序列升级9核a最后敌人
11	52521 22262	9	 * 	269.77	橙3易伤2伤害2攻速1等级1全技能	19伤害2敌人爆炸349易伤5挖尘6全技能7等级89攻速9序列升级a核
12	25542 13124	8	 * 	269.43	紫3易伤3时间2伤害2等级2雷电	147时间27a易伤3核57等级6加一7a序列升级8a伤害9a雷电
13	25542 13124	9	   	269.43	紫3易伤3时间2伤害2等级2雷电	147时间27a易伤3核57等级6加一7a序列升级8a伤害9a雷电
14	23522 64322	5	   	268.92	橙5易伤2时间1攻速	15时间2金币生成3489a易伤6攻速7核
15	21525 31253	7	   	268.10	橙3易伤3伤害1时间1暴击	1时间2矿等346易伤579伤害8暴击a核
16	23525 31253	7	   	268.10	橙3易伤3伤害1时间1暴击	1时间2金币生成346易伤579伤害8暴击a核
17	52352 16133	1	   	268.10	橙3易伤3伤害1等级1暴击	157伤害278易伤3暴击4等级67掉矿7序列升级9双倍矿a核
18	35412 53212	2	   	267.21	橙2易伤3伤害1等级1时间1暴击1全技能	1基地爆炸26易伤3暴击4时间569伤害6序列升级7等级8核a全技能
19	25342 34212	7	 * 	266.71	橙3易伤3时间2伤害	15a时间24a易伤3掉矿6矿等7平台8核9a伤害a序列升级
20	25222 43112	10	   	265.37	橙3易伤3时间1伤害1等级	137时间279易伤4挖尘5等级67基地爆炸7序列升级8伤害a核
21	52522 22262	9	   	264.91	橙3易伤2伤害1等级1时间1全技能	19伤害2敌人爆炸349易伤5时间6全技能7等级89策反9序列升级a核
22	51522 31612	8	   	264.86	橙3易伤2伤害1时间2雷电1攻速	18伤害2最后敌人348易伤5时间6敌人爆炸78雷电8序列升级9攻速a核
