0	Index      	 *	Score 	Summary	Detail	
1	23531 36151	 * 	313.99	橙橙2易伤2等级2时间	15时间2全技能35等级4平台5序列升级67易伤8双倍物品9a核
2	23533 36151	   	307.34	橙橙2易伤2等级	1时间2全技能35等级4平台67易伤8双倍物品9a核
3	53222 41361	 * 	299.92	橙2易伤2矿等2伤害1等级2时间	1a易伤28时间3a伤害4掉矿5全技能6等级7核9a矿等a序列升级
4	51432 12374	   	299.64	橙橙2易伤1等级1攻速	15易伤2随机技能3赏金邻近4攻速6风暴减费7a核8加一9等级
5	33531 36151	   	299.14	橙橙2易伤2等级	15敌人爆炸2全技能35等级4平台5序列升级67易伤8双倍物品9a核
6	35413 33151	   	299.04	橙橙2易伤2等级	1敌人爆炸26易伤3平台45等级7全技能8双倍物品9a核
7	13531 36151	   	298.94	橙橙2易伤2等级	15挖尘2全技能35等级4平台5序列升级67易伤8双倍物品9a核
8	13533 36151	   	298.94	橙橙2易伤2等级	1挖尘2全技能35等级4平台67易伤8双倍物品9a核
9	52361 21241	 * 	293.11	橙3易伤2矿等1等级1技能2随机技能	138易伤2雷电48矿等5技能68随机技能7赏金塔8序列升级9核a等级
10	61324 12253	 * 	291.76	橙橙3易伤1技能	1基地爆炸2随机技能389易伤4技能5随机矿6a核7金币生成
11	61315 12253	   	291.01	橙橙3易伤1攻速	1基地爆炸2随机技能389易伤4掉矿5攻速6a核7金币生成
12	21345 13633	 * 	289.82	橙3易伤2矿等2攻速2时间2随机技能	17时间27随机技能38a易伤49矿等57攻速6核7序列升级
13	25333 12351	   	289.08	橙橙2易伤1伤害1攻速	1时间25易伤3低血量敌人4攻速6挖尘7最后敌人89核a伤害
14	25333 26351	   	289.08	橙橙2易伤1伤害1攻速	1时间25易伤3低血量敌人4攻速6最后敌人7挖尘89核a伤害
15	53333 12351	   	289.08	橙橙2易伤1伤害1攻速	15易伤2时间3低血量敌人4攻速6挖尘7最后敌人89核a伤害
16	53333 26351	   	289.08	橙橙2易伤1伤害1攻速	15易伤2时间3低血量敌人4攻速6最后敌人7挖尘89核a伤害
17	25333 13351	   	288.98	橙橙2易伤1伤害1攻速	1时间25易伤3低血量敌人4攻速6挖尘7挖青89核a伤害
18	53333 13351	   	288.98	橙橙2易伤1伤害1攻速	15易伤2时间3低血量敌人4攻速6挖尘7挖青89核a伤害
19	15231 31621	 * 	286.74	橙4易伤2矿等1伤害1攻速	1挖尘2478易伤3伤害56矿等9攻速a核
20	55221 22152	 * 	286.61	橙4易伤3矿等1暴击	129a易伤3暴击4平台59a矿等69a基础对愈7双倍秒伤8核9a序列升级
21	25333 12356	   	285.91	橙橙2易伤1技能1攻速	1时间25易伤3低血量敌人4攻速6挖尘7最后敌人89核a技能
22	53333 12356	   	285.91	橙橙2易伤1技能1攻速	15易伤2时间3低血量敌人4攻速6挖尘7最后敌人89核a技能
23	25413 23151	   	285.81	橙橙2等级1易伤2时间	16时间2易伤3平台45等级7全技能8双倍物品9a核
24	53413 23151	   	285.81	橙橙2等级1易伤2时间	1易伤26时间3平台45等级7全技能8双倍物品9a核
25	54213 23151	   	285.81	橙橙2等级1易伤2时间	1易伤2平台36时间45等级7全技能8双倍物品9a核
26	25333 13356	   	285.81	橙橙2易伤1技能1攻速	1时间25易伤3低血量敌人4攻速6挖尘7挖青89核a技能
27	53333 13356	   	285.81	橙橙2易伤1技能1攻速	15易伤2时间3低血量敌人4攻速6挖尘7挖青89核a技能
28	33532 36151	   	284.86	橙橙2易伤1等级	15敌人爆炸2全技能3等级4平台67易伤8双倍物品9a核
29	15336 12351	   	284.69	橙橙1易伤1等级1伤害1攻速	1挖尘2易伤3低血量敌人4攻速5掉矿6等级7最后敌人89核a伤害
