0	Index      	 *	Score 	Summary	Detail	
1	22531 32635	 * 	305.14	橙橙1易伤1等级2攻速1矿等	17最后敌人2矿等3等级4易伤58攻速6金币生成9a核
2	63231 11633	 * 	305.08	橙橙2矿等2伤害1攻速	1全技能27矿等35伤害4随机技能6最后敌人89核a攻速
3	63231 11634	 * 	304.48	橙橙2矿等3伤害	1全技能27矿等35a伤害4随机技能6最后敌人89核
4	63231 11635	   	297.14	橙橙2矿等2伤害	1全技能27矿等35伤害4随机技能6最后敌人89核a时间
5	12325 22642	   	289.25	橙橙1易伤1等级1矿等	1易伤2基础对愈34掉矿5等级6随机技能7时间8a核9矿等
6	63231 11631	   	288.83	橙橙2矿等2伤害	1全技能27矿等35伤害4随机技能6最后敌人89核a平台
7	63231 11636	   	288.83	橙橙2矿等2伤害	1全技能27矿等35伤害4随机技能6最后敌人89核a金币生成
8	63231 11632	   	288.73	橙橙2矿等2伤害	1全技能27矿等35伤害4随机技能6最后敌人89核a掉矿
9	63235 11633	   	287.39	橙橙2矿等1伤害1攻速	1全技能27矿等3伤害4随机技能5风暴减费6最后敌人89核a攻速
10	22532 45123	 * 	286.37	橙2易伤2矿等2等级1伤害1暴击	17最后敌人25矿等37等级47易伤6赏金邻近7序列升级8核9暴击a伤害
11	32532 45123	   	286.37	橙2易伤2矿等2等级1伤害1暴击	17敌人爆炸25矿等37等级47易伤6赏金邻近7序列升级8核9暴击a伤害
12	32335 12312	   	282.13	橙橙1易伤1等级1矿等2卖塔	1敌人爆炸2矿等3低血量敌人4易伤5等级69卖塔7全技能8a核
13	14251 62312	   	282.03	橙橙1易伤1等级1矿等2卖塔	1易伤2等级3基地爆炸49卖塔5低血量敌人6矿等7全技能8a核
14	32335 21552	   	281.15	橙橙1易伤1等级1矿等	1敌人爆炸2矿等3低血量敌人4易伤5等级6随机技能7a核8烈焰减费9额外掉落
15	22235 21552	   	281.05	橙橙1易伤1等级1矿等	1最后敌人2矿等3基地爆炸4易伤5等级6随机技能7a核8烈焰减费9额外掉落
16	22532 45312	   	281.03	橙2易伤2矿等2等级1伤害	17最后敌人25矿等37等级47易伤6赏金邻近7序列升级8伤害9核a全技能
17	32532 45312	   	281.03	橙2易伤2矿等2等级1伤害	17敌人爆炸25矿等37等级47易伤6赏金邻近7序列升级8伤害9核a全技能
18	12325 21642	   	280.85	橙橙1易伤1等级1矿等	1易伤2基础对愈34掉矿5等级6随机技能7基地爆炸8a核9矿等
19	23533 15253	   	280.32	橙橙1易伤1矿等1攻速1暴击	1最后敌人2时间3核弹4易伤5暴击6平台78核9矿等a攻速
20	63231 15633	   	279.17	橙橙2伤害1矿等1攻速	1全技能2矿等35伤害4随机技能6最后敌人7火球减费89核a攻速
21	63231 51633	   	279.17	橙橙2伤害1矿等1攻速	1全技能2矿等35伤害4随机技能6风暴减费7最后敌人89核a攻速
22	63231 61633	   	279.17	橙橙2伤害1矿等1攻速	1全技能2矿等35伤害4随机技能6烈焰减费7最后敌人89核a攻速
23	61331 28164	   	277.66	橙2易伤2矿等2等级1技能	1全技能2雷电减费38等级48易伤5加一6赏金塔78矿等8序列升级9核a技能
