0	Index      	 *	Score 	Summary	Detail	
1	24343 11361	 * 	305.79	橙橙2易伤2等级2时间	1赏金塔2挖青39时间4随机矿5赏金邻近69易伤79等级8a核9序列升级
2	14238 38144	 * 	299.49	橙橙1易伤1矿等1伤害1攻速1暴击	1最后敌人2攻速3伤害4加一5矿等6a核7易伤8随机技能9暴击
3	14232 31175	 * 	299.38	橙橙1易伤1等级2攻速1伤害	1最后敌人27攻速3伤害4加一5等级6a核8易伤9技能点
4	25651 11321	 * 	298.97	橙橙2矿等1易伤1等级	1赏金塔2低血量敌人3赏金邻近4最后敌人59矿等6易伤7等级8a核
5	54112 21633	 * 	296.14	橙橙3矿等1易伤	124矿等3易伤5随机技能6掉矿7最后敌人8低血量敌人9a核
6	54112 21433	   	296.04	橙橙3矿等1易伤	124矿等3易伤5随机技能6掉矿7最后敌人8基地爆炸9a核
7	54112 25233	   	296.04	橙橙3矿等1易伤	124矿等3易伤5随机技能6掉矿7挖尘8最后敌人9a核
8	16243 11361	   	290.93	橙橙2易伤2等级	19最后敌人2赏金邻近3基地爆炸4随机矿5赏金塔69易伤79等级8a核9序列升级
9	22243 11361	   	290.93	橙橙2易伤2等级	1赏金塔29最后敌人3基地爆炸4随机矿5赏金邻近69易伤79等级8a核9序列升级
10	34513 11253	 * 	288.41	紫橙3易伤2矿等	1随机技能2赏金塔369易伤46矿等5a核6序列升级7金币生成8最后敌人
11	34513 12213	   	288.41	紫橙3易伤2矿等	1随机技能2赏金塔368易伤46矿等5a核6序列升级7敌人爆炸9技能点
12	34513 13313	   	288.41	紫橙3易伤2矿等	1随机技能2赏金塔367易伤46矿等5a核6序列升级8最后敌人9技能点
13	34513 15213	   	288.41	紫橙3易伤2矿等	1随机技能2赏金塔368易伤46矿等5a核6序列升级7低血量敌人9技能点
14	34513 12223	   	288.31	紫橙3易伤2矿等	1随机技能2赏金塔368易伤46矿等5a核6序列升级7敌人爆炸9掉矿
15	34513 13113	   	288.31	紫橙3易伤2矿等	1随机技能2赏金塔367易伤46矿等5a核6序列升级8挖尘9技能点
16	34513 13323	   	288.31	紫橙3易伤2矿等	1随机技能2赏金塔367易伤46矿等5a核6序列升级8最后敌人9掉矿
17	34513 13433	   	288.31	紫橙3易伤2矿等	1随机技能2赏金塔367易伤46矿等5a核6序列升级8掉矿9敌人爆炸
18	34513 15223	   	288.31	紫橙3易伤2矿等	1随机技能2赏金塔368易伤46矿等5a核6序列升级7低血量敌人9掉矿
19	34513 16213	   	288.31	紫橙3易伤2矿等	1随机技能2赏金塔368易伤46矿等5a核6序列升级7基地爆炸9技能点
20	34513 13123	   	288.21	紫橙3易伤2矿等	1随机技能2赏金塔367易伤46矿等5a核6序列升级8挖尘9掉矿
21	34513 16223	   	288.21	紫橙3易伤2矿等	1随机技能2赏金塔368易伤46矿等5a核6序列升级7基地爆炸9掉矿
22	14232 34175	   	284.79	橙橙1易伤1等级1伤害1攻速	1最后敌人2攻速3伤害4加一5等级6a核7立即金币8易伤9技能点
23	14233 13835	   	284.79	橙橙1易伤1等级1伤害1攻速	1最后敌人2攻速3伤害4加一5易伤69金币生成7等级8a核
24	53325 24231	 * 	282.90	橙2易伤2矿等1等级1伤害1技能	16矿等2随机技能3伤害4额外掉落5技能78易伤9核a等级
25	14222 11255	   	280.68	橙橙2易伤1伤害1攻速	1最后敌人2攻速3伤害4金币生成5掉矿69易伤7a核8加一
26	55232 37441	 * 	279.75	橙2矿等2等级2伤害1易伤1技能	1a矿等2易伤3a伤害4加一5a等级6随机矿7技能8核9赏金邻近a序列升级
27	55221 21326	   	279.64	橙橙1易伤1矿等1伤害1技能	1矿等2易伤3伤害4金币生成5技能6最后敌人7a核8额外掉落9技能点
28	55223 31326	   	279.64	橙橙1易伤1矿等1伤害1技能	1矿等2易伤3伤害4金币生成5低血量敌人6技能7a核8额外掉落9技能点
29	55221 21235	   	279.54	橙橙1易伤1矿等1伤害1技能	1矿等2易伤3伤害49金币生成5技能6最后敌人7a核8加一
30	55223 31235	   	279.54	橙橙1易伤1矿等1伤害1技能	1矿等2易伤3伤害49金币生成5低血量敌人6技能7a核8加一
31	51133 31126	 * 	278.48	橙2易伤2矿等2等级1技能	1a矿等2加农对壮3赏金塔4技能5a易伤6a等级7核8立即金币9全技能a序列升级
32	51233 31126	   	278.48	橙2易伤2矿等2等级1技能	1a矿等2加农对壮3赏金邻近4技能5a易伤6a等级7核8立即金币9全技能a序列升级
33	14121 11255	   	277.50	橙橙2易伤1技能1攻速	1最后敌人2攻速3掉矿4金币生成5技能69易伤7a核8加一
