0	Index      	 *	Score 	Summary	Detail	
1	52333 62236	 * 	313.57	橙橙3易伤1等级1暴击	14a易伤2金币生成3基地爆炸5暴击69核7等级8挖尘
2	52133 62234	   	305.45	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8挖尘a随机技能
3	52133 62235	   	305.06	橙橙2易伤1等级2时间1暴击	14易伤2金币生成3a时间5暴击69核7等级8挖尘
4	52133 61334	 * 	299.66	橙橙2易伤1矿等1暴击	14易伤2金币生成3时间5暴击69核7最后敌人8矿等a随机技能
5	52133 61335	   	299.27	橙橙2易伤1矿等2时间1暴击	14易伤2金币生成3a时间5暴击69核7最后敌人8矿等
6	52133 62631	   	298.61	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8低血量敌人a雷电
7	52133 62633	   	298.61	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8低血量敌人a随机矿
8	52133 62231	   	298.51	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8挖尘a雷电
9	52133 62233	   	298.51	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8挖尘a随机矿
10	52133 62236	   	298.51	橙橙2易伤1等级1暴击	14易伤2a金币生成3时间5暴击69核7等级8挖尘
11	52133 62632	   	298.51	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8低血量敌人a基地爆炸
12	52133 62232	   	298.41	橙橙2易伤1等级1暴击	14易伤2金币生成3时间5暴击69核7等级8挖尘a基地爆炸
13	52333 62235	   	298.41	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8挖尘a时间
14	52333 62234	   	297.04	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8挖尘a随机技能
15	13552 21235	   	296.62	橙橙2易伤1等级1伤害	1策反2伤害3毒气减费4立即金币5随机矿68易伤7a核9等级
16	33211 51521	 * 	293.63	橙橙2矿等1易伤1伤害1卖塔	1敌人爆炸2卖塔3雷电4随机技能58矿等6伤害79核a易伤
17	11551 21235	   	292.81	橙橙2易伤1等级1攻速	1策反2技能点3毒气减费4立即金币5攻速68易伤7a核9等级
18	52133 61331	   	292.72	橙橙2易伤1矿等1暴击	14易伤2金币生成3时间5暴击69核7最后敌人8矿等a雷电
19	52133 61333	   	292.72	橙橙2易伤1矿等1暴击	14易伤2金币生成3时间5暴击69核7最后敌人8矿等a随机矿
20	52133 61336	   	292.72	橙橙2易伤1矿等1暴击	14易伤2a金币生成3时间5暴击69核7最后敌人8矿等
21	52133 61332	   	292.62	橙橙2易伤1矿等1暴击	14易伤2金币生成3时间5暴击69核7最后敌人8矿等a基地爆炸
22	52433 62231	   	290.31	橙橙2易伤1等级1暴击	13易伤23金币生成3序列升级4敌人爆炸5暴击69核7等级8挖尘a雷电
23	52433 62233	   	290.31	橙橙2易伤1等级1暴击	13易伤23金币生成3序列升级4敌人爆炸5暴击69核7等级8挖尘a随机矿
24	52333 62631	   	290.21	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8低血量敌人a雷电
25	52333 62633	   	290.21	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8a低血量敌人
26	52433 62232	   	290.21	橙橙2易伤1等级1暴击	13易伤23金币生成3序列升级4敌人爆炸5暴击69核7等级8挖尘a基地爆炸
27	52333 62231	   	290.11	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8挖尘a雷电
28	52333 62233	   	290.11	橙橙2易伤1等级1暴击	14易伤2金币生成3基地爆炸5暴击69核7等级8挖尘a低血量敌人
29	52333 62632	   	290.11	橙橙2易伤1等级1暴击	14易伤2金币生成3a基地爆炸5暴击69核7等级8低血量敌人
30	52333 62232	   	290.01	橙橙2易伤1等级1暴击	14易伤2金币生成3a基地爆炸5暴击69核7等级8挖尘
31	33211 11521	 * 	289.82	橙橙2矿等1易伤1攻速1卖塔	1敌人爆炸2卖塔3雷电4随机技能58矿等6攻速79核a易伤
