0	Index      	 *	Score 	Summary	Detail	
1	24234 16121	 * 	322.04	橙橙2等级2易伤1暴击	1暴击27易伤3敌人爆炸46等级5随机技能8掉矿9a核
2	51113 42621	   	315.90	橙橙2易伤1等级1烈焰减费1暴击	1等级2随机技能36易伤4掉矿5烈焰减费7基地爆炸8暴击9a核
3	51113 16621	   	315.90	橙橙2易伤1等级1烈焰减费1暴击	1等级2随机技能37易伤4掉矿5烈焰减费6低血量敌人8暴击9a核
4	51113 14621	   	312.25	橙橙2等级1易伤1烈焰减费1暴击	17等级2随机技能3易伤4掉矿5烈焰减费6低血量敌人8暴击9a核
5	23343 28442	 * 	308.86	紫橙2易伤1等级1烈焰减费1暴击	1暴击2掉矿3加一4等级57核6双倍矿8烈焰减费9a易伤
6	23343 28662	   	308.86	紫橙2易伤1等级1火球减费1暴击	1暴击2掉矿3加一4等级57核6双倍矿8a易伤9火球减费
7	23343 28842	   	308.86	紫橙2易伤1等级1火球减费1暴击	1暴击2掉矿3加一4等级57核6双倍矿8火球减费9a易伤
8	23343 68442	   	308.76	紫橙2易伤1等级1烈焰减费1暴击	1暴击2掉矿3加一4等级57核6风暴减费8烈焰减费9a易伤
9	23343 68842	   	308.76	紫橙2易伤1等级1火球减费1暴击	1暴击2掉矿3加一4等级57核6风暴减费8火球减费9a易伤
10	51115 42321	 * 	306.63	橙橙3易伤1等级1卖塔	1等级2随机技能356易伤4掉矿7基地爆炸8卖塔9a核
11	51353 41321	   	302.10	橙橙2易伤1等级1烈焰减费1卖塔	1等级2随机技能3随机矿46易伤5烈焰减费7最后敌人8卖塔9a核
12	51113 42321	   	302.00	橙橙2易伤1等级1烈焰减费1卖塔	1等级2随机技能36易伤4掉矿5烈焰减费7基地爆炸8卖塔9a核
13	51113 44321	   	302.00	橙橙2易伤1等级1烈焰减费1卖塔	1等级2随机技能36易伤4掉矿5烈焰减费7敌人爆炸8卖塔9a核
14	25634 11121	   	301.74	橙橙2等级1易伤1暴击	1暴击2时间3易伤46等级5随机技能7暴雪减费8掉矿9a核
15	24323 55332	 * 	300.16	紫3易伤2等级2暴击2时间	13暴击23a易伤3a序列升级4策反5核6矿等7a时间8导弹对黄9a等级
