0	Index      	 *	Score 	Summary	Detail	
1	43351 43321	 * 	318.96	紫4易伤2等级2时间1攻速1全技能	1核27等级3敌人爆炸4全技能57时间679a易伤7序列升级8攻速
2	43351 43323	   	317.97	紫3易伤2等级1火球减费2时间1攻速1全技能	1核27等级3敌人爆炸4全技能57时间679易伤7序列升级8攻速a火球减费
3	43251 63333	 * 	307.76	紫3易伤2等级3伤害	1核2a等级35掉矿45a易伤5a序列升级689伤害7a基地爆炸
4	61115 33316	 * 	306.41	橙橙2易伤1等级1伤害1全技能	1最后敌人2平台3伤害4a易伤5全技能6敌人爆炸79核8等级
5	43332 61411	 * 	305.75	紫3等级3易伤2伤害	1核269等级3敌人爆炸49伤害56暴雪减费69序列升级789易伤a最后敌人
6	43332 61413	   	305.75	紫3等级3易伤2伤害	1核269等级3敌人爆炸49伤害56暴雪减费69序列升级789易伤a基地爆炸
7	43332 61412	   	305.65	紫3等级3易伤2伤害1挖怪	1核269等级3敌人爆炸49伤害56暴雪减费69序列升级789易伤a挖怪
8	43251 26311	   	301.77	紫3易伤2等级2伤害	1核29等级35掉矿459易伤59序列升级6时间7技能点89伤害a电塔对黄
9	43251 26313	   	301.77	紫3易伤2等级2伤害	1核29等级35掉矿459易伤59序列升级6时间7技能点89伤害a平台
10	43251 26312	   	301.67	紫3易伤2等级2伤害	1核29等级35掉矿459易伤59序列升级6时间7技能点89伤害a挖尘
11	31134 62431	 * 	298.35	橙橙2等级3伤害1全技能	1雷电减费238伤害48等级5随机矿68基地爆炸79核8序列升级a全技能
12	43351 43322	   	297.81	紫3易伤2等级2时间1攻速1全技能1挖怪	1核27等级3敌人爆炸4全技能57时间679易伤7序列升级8攻速a挖怪
13	31131 22431	   	297.01	橙橙2等级3伤害	1雷电减费238伤害48等级58最后敌人6随机矿79核8序列升级a时间
14	31136 22431	   	297.01	橙橙2等级3伤害	1雷电减费238伤害48等级58低血量敌人6随机矿79核8序列升级a时间
15	16311 82843	 * 	295.40	橙3等级3易伤3时间	178时间2随机矿3雷电478等级5加一678易伤78序列升级9挖尘a核
16	43251 21511	   	294.01	紫4易伤2等级2时间	1核29等级35掉矿4579易伤59序列升级69时间8雷电减费a导弹对绿
17	43251 21512	   	294.01	紫4易伤2等级2时间	1核29等级35掉矿4579易伤59序列升级69时间8雷电减费a挖尘
18	43251 21513	   	294.01	紫4易伤2等级2时间	1核29等级35掉矿4579易伤59序列升级69时间8雷电减费a加一
19	43333 31411	   	292.10	紫3易伤2等级2伤害	1核29等级3敌人爆炸49伤害5掉矿6金币生成789易伤9序列升级a电塔对黄
20	43333 31413	   	292.10	紫3易伤2等级2伤害	1核29等级3敌人爆炸49伤害5掉矿6金币生成789易伤9序列升级a平台
21	43333 31414	   	292.10	紫3易伤2等级2伤害	1核29等级3敌人爆炸49伤害5掉矿6金币生成789易伤9序列升级a基地爆炸
22	43333 31415	   	292.10	紫3易伤2等级2伤害	1核29等级3敌人爆炸49伤害5掉矿6金币生成789易伤9序列升级a最后敌人
23	43333 31416	   	292.10	紫3易伤2等级2伤害	1核29等级3敌人爆炸49伤害5掉矿6a金币生成789易伤9序列升级
24	43333 31412	   	292.00	紫3易伤2等级2伤害	1核29等级3敌人爆炸49伤害5掉矿6金币生成789易伤9序列升级a挖尘
25	11112 25356	 * 	289.97	橙2等级1易伤2伤害1毒气减费2时间1攻速	17时间2平台37伤害4易伤5防空对甲67等级7序列升级8毒气减费9攻速a核
