0	Index      	 *	Score 	Summary	Detail	
1	41433 42122	 * 	321.94	紫橙2等级2易伤1攻速	1挖尘2a易伤38核4随机技能5攻速69等级7导弹对毒
2	51314 25121	   	320.45	紫橙2等级2易伤2时间	1a等级2最后敌人3a敌人爆炸47易伤58核6基地爆炸9a时间a序列升级
3	51314 35121	   	320.45	紫橙2等级2易伤2时间	1a等级2最后敌人3a敌人爆炸47易伤58核6低血量敌人9a时间a序列升级
4	32524 33151	 * 	315.40	紫橙3等级2易伤	1双倍秒伤24a等级346低血量敌人4a序列升级58核7a敌人爆炸9a易伤
5	32624 23216	   	308.49	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核89易伤a策反
6	61433 42132	 * 	305.23	紫橙3易伤1等级1攻速1挖怪	1挖怪29a易伤38核4随机技能5攻速6等级7导弹对毒
7	51314 25123	   	305.07	紫橙2易伤1等级1毒气减费	1等级2最后敌人3敌人爆炸47易伤58核6基地爆炸9时间a毒气减费
8	51314 35123	   	305.07	紫橙2易伤1等级1毒气减费	1等级2最后敌人3敌人爆炸47易伤58核6低血量敌人9时间a毒气减费
9	41421 25123	   	304.97	紫橙2易伤1等级1毒气减费	1挖尘27易伤38核4最后敌人5等级6基地爆炸9时间a毒气减费
10	41421 35123	   	304.97	紫橙2易伤1等级1毒气减费	1挖尘27易伤38核4最后敌人5等级6低血量敌人9时间a毒气减费
11	41433 42121	   	303.09	紫橙2等级1易伤1攻速1全技能	1挖尘2易伤38核4随机技能5攻速69等级7导弹对毒a全技能
12	51314 25111	   	301.65	紫橙2等级2易伤	1a等级2a最后敌人3敌人爆炸47易伤58核6a基地爆炸9双倍物品a序列升级
13	51314 35111	   	301.65	紫橙2等级2易伤	1a等级2a最后敌人3敌人爆炸47易伤58核6a低血量敌人9双倍物品a序列升级
14	51324 21151	   	301.65	紫橙2等级2易伤	1a等级27最后敌人3a敌人爆炸4挖尘58核6基地爆炸9a易伤a序列升级
15	51324 31151	   	301.65	紫橙2等级2易伤	1a等级27最后敌人3a敌人爆炸4挖尘58核6低血量敌人9a易伤a序列升级
16	32414 21151	   	301.55	紫橙2等级2易伤	1双倍秒伤2a等级37a最后敌人4暴雪减费58核6敌人爆炸9a易伤a序列升级
17	32414 31151	   	301.55	紫橙2等级2易伤	1双倍秒伤2a等级37a最后敌人4暴雪减费58核6低血量敌人9a易伤a序列升级
18	32434 21151	   	301.55	紫橙2等级2易伤	14双倍秒伤2a等级37最后敌人58核6a敌人爆炸9a易伤a序列升级
19	32434 31151	   	301.55	紫橙2等级2易伤	14双倍秒伤2a等级37最后敌人58核6a低血量敌人9a易伤a序列升级
20	32514 33151	   	301.55	紫橙2等级2易伤	1双倍秒伤2a等级36a低血量敌人4暴雪减费58核7敌人爆炸9a易伤a序列升级
21	32534 33151	   	301.55	紫橙2等级2易伤	14双倍秒伤2a等级36低血量敌人58核7a敌人爆炸9a易伤a序列升级
22	32624 23213	   	301.55	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核89易伤a最后敌人
23	32624 23215	   	301.55	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核89易伤a雷电
24	32624 23243	   	301.55	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核8a易伤9基地爆炸
25	32624 23313	   	301.55	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核8基地爆炸9a易伤
26	53624 23213	   	301.55	紫橙2等级2易伤	14等级2双倍秒伤346敌人爆炸4序列升级57核89易伤a最后敌人
27	53624 23313	   	301.55	紫橙2等级2易伤	14等级2双倍秒伤346敌人爆炸4序列升级57核8基地爆炸9a易伤
28	32624 23211	   	301.45	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核89易伤a掉矿
29	32624 23212	   	301.45	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核89易伤a雷电减费
30	32624 23214	   	301.45	紫橙2等级2易伤1卖塔	1双倍秒伤24等级346敌人爆炸4序列升级57核89易伤a卖塔
31	32624 23223	   	301.45	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核8a易伤9挖尘
32	32624 23613	   	301.45	紫橙2等级2易伤	1双倍秒伤24等级346敌人爆炸4序列升级57核8挖尘9a易伤
33	53624 23211	   	301.45	紫橙2等级2易伤	14等级2双倍秒伤346敌人爆炸4序列升级57核89易伤a掉矿
34	53624 23212	   	301.45	紫橙2等级2易伤	14等级2双倍秒伤346敌人爆炸4序列升级57核89易伤a雷电减费
35	53624 23223	   	301.45	紫橙2等级2易伤	14等级2双倍秒伤346敌人爆炸4序列升级57核8a易伤9挖尘
36	51314 61132	   	301.42	紫橙2等级1易伤1伤害	19等级27最后敌人3敌人爆炸4易伤58核6时间a伤害
37	51514 21132	   	301.42	紫橙2等级1易伤1伤害	19等级27最后敌人3时间4易伤58核6基地爆炸a伤害
38	51514 31132	   	301.42	紫橙2等级1易伤1伤害	19等级27最后敌人3时间4易伤58核6低血量敌人a伤害
39	11214 26131	   	301.32	紫橙2等级1易伤1烈焰减费	1掉矿2最后敌人3时间4易伤58核6基地爆炸7烈焰减费9a等级
40	11214 36131	   	301.32	紫橙2等级1易伤1烈焰减费	1掉矿2最后敌人3时间4易伤58核6低血量敌人7烈焰减费9a等级
41	13614 23131	   	301.32	紫橙2等级1易伤1烈焰减费	1掉矿2时间3低血量敌人4易伤58核6基地爆炸7烈焰减费9a等级
42	41421 61132	   	301.32	紫橙2等级1易伤1伤害	1挖尘2易伤38核47最后敌人59等级6时间a伤害
43	11314 66131	   	301.22	紫橙2等级1易伤1烈焰减费	1掉矿2最后敌人3挖尘4易伤58核6时间7烈焰减费9a等级
44	41421 25111	 * 	299.94	紫橙3易伤1等级	1a挖尘27a易伤38核4最后敌人5等级6a基地爆炸9双倍物品a序列升级
45	41421 35111	   	299.94	紫橙3易伤1等级	1a挖尘27a易伤38核4最后敌人5等级6a低血量敌人9双倍物品a序列升级
46	51314 25113	   	299.94	紫橙3易伤1等级	1等级2最后敌人3敌人爆炸47a易伤58核6基地爆炸9双倍物品
47	51314 35113	   	299.94	紫橙3易伤1等级	1等级2最后敌人3敌人爆炸47a易伤58核6低血量敌人9双倍物品
48	41421 25113	   	299.84	紫橙3易伤1等级	1挖尘27a易伤38核4最后敌人5等级6基地爆炸9双倍物品
49	41421 35113	   	299.84	紫橙3易伤1等级	1挖尘27a易伤38核4最后敌人5等级6低血量敌人9双倍物品
50	41433 42123	   	299.02	紫橙2等级1易伤1攻速	1挖尘2易伤38核4随机技能5攻速69等级7导弹对毒a爆破对冰
51	61441 33121	   	299.01	紫橙2易伤1等级1毒气减费2时间1挖怪	1挖怪2a易伤38核4基地爆炸5等级6a低血量敌人7毒气减费9a时间a序列升级
52	23111 24423	 * 	296.25	紫紫2等级1易伤1攻速1全技能	1激光对冰2全技能3敌人爆炸45核6技能79等级8攻速a易伤
53	41433 42132	   	295.64	紫橙2易伤1等级1攻速	1挖尘2a易伤38核4随机技能5攻速6等级7导弹对毒9风暴减费
54	51314 13314	   	295.41	紫橙2易伤1等级1毒气减费	1等级28最后敌人3敌人爆炸4a易伤57核6雷电9毒气减费
55	51314 21152	   	295.41	紫橙2易伤1等级1伤害	1等级27最后敌人3敌人爆炸49易伤58核6基地爆炸a伤害
56	51314 31152	   	295.41	紫橙2易伤1等级1伤害	1等级27最后敌人3敌人爆炸49易伤58核6低血量敌人a伤害
57	41421 13314	   	295.31	紫橙2易伤1等级1毒气减费	1挖尘2a易伤37核4最后敌人5等级6雷电8双倍矿9毒气减费
58	41421 21152	   	295.31	紫橙2易伤1等级1伤害	1挖尘29易伤38核47最后敌人5等级6基地爆炸a伤害
59	41421 31152	   	295.31	紫橙2易伤1等级1伤害	1挖尘29易伤38核47最后敌人5等级6低血量敌人a伤害
60	41421 13214	   	295.21	紫橙2易伤1等级1毒气减费	18挖尘2a易伤37核4最后敌人5等级6雷电9毒气减费
61	11214 26132	   	295.18	紫橙1等级1易伤1伤害1烈焰减费	1掉矿2最后敌人3时间4易伤58核6基地爆炸7烈焰减费9等级a伤害
62	11214 36132	   	295.18	紫橙1等级1易伤1伤害1烈焰减费	1掉矿2最后敌人3时间4易伤58核6低血量敌人7烈焰减费9等级a伤害
63	13614 23132	   	295.18	紫橙1等级1易伤1伤害1烈焰减费	1掉矿2时间3低血量敌人4易伤58核6基地爆炸7烈焰减费9等级a伤害
64	11314 66132	   	295.08	紫橙1等级1易伤1伤害1烈焰减费	1掉矿2最后敌人3挖尘4易伤58核6时间7烈焰减费9等级a伤害
65	41421 25121	   	294.05	紫橙2易伤1等级2时间	1a挖尘27易伤38核4a最后敌人5等级6基地爆炸9a时间a序列升级
66	41421 35121	   	294.05	紫橙2易伤1等级2时间	1a挖尘27易伤38核4a最后敌人5等级6低血量敌人9a时间a序列升级
67	41421 61111	   	293.95	紫橙2易伤1等级2时间	1a挖尘2a易伤38核47最后敌人5等级6a时间9双倍物品a序列升级
