0	Index      	 *	Score 	Summary	Detail	
1	23362 32453	 * 	288.16	DCR|3VULN|3DMG|3MLV|1RPLT	1AAC|29aDMG|39aMLV|4DUST|5BEXP|6RCR|7RPLT|89aVULN|9aBPWR
2	21362 32453	 * 	272.40	DCR|3VULN|3MLV|3ASPD|1RPLT	1AAC|29aASPD|39aMLV|4DUST|5BEXP|6RCR|7RPLT|89aVULN|9aBPWR
3	11536 51213	 * 	270.99	DCR|DCR|2VULN|1MLV|1AART	1VENTOX|2FEWX|3AART|4MLV|58VULN|6BELT|7aRCR|9LWND
4	23362 32442	 * 	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1AAC|2DMG|3MLV|4DUST|5BEXP|69RCR|7RPLT|8VULN|aLWND
5	23362 32443	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1AAC|2DMG|3MLV|4DUST|5BEXP|69RCR|7RPLT|8VULN|aCGEN
6	23362 32441	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1AAC|2DMG|3MLV|4DUST|5BEXP|69RCR|7RPLT|8VULN|aMDPS
7	11623 15434	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	1VENTOX|2FEWX|3DMG|4MBVNT|5MLV|6VULN|7DUR|8aRCR|9CANTOX
8	11623 15454	   	263.29	DCR|DCR|1VULN|1DMG|1MLV	1VENTOX|2FEWX|3DMG|4MBVNT|5MLV|6VULN|7DUR|8aRCR|9MSLREG
9	21362 32442	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AAC|2ASPD|3MLV|4DUST|5BEXP|69RCR|7RPLT|8VULN|aLWND
10	21362 32443	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AAC|2ASPD|3MLV|4DUST|5BEXP|69RCR|7RPLT|8VULN|aCGEN
11	21362 32441	   	258.34	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1AAC|2ASPD|3MLV|4DUST|5BEXP|69RCR|7RPLT|8VULN|aMDPS
