0	Index      	 *	Score 	Summary	Detail	
1	32631 23542	 * 	277.97	ACR|DCR|3VULN|1MLV|1CDMG|1RPLT	138VULN|2RPLT|49RCR|5LWND|6LHND|7CDMG|aMLV
2	32631 23543	   	274.09	ACR|DCR|3VULN|1ASPD|1CDMG|1RPLT	138VULN|2RPLT|49RCR|5LWND|6LHND|7CDMG|aASPD
3	32621 53315	 * 	274.05	DCR|DCR|2VULN|1ASPD|1RPLT	13VULN|2RPLT|4LIT|5MDPS|6LWND|79RCR|8ASPD|aNUKE
4	32634 13343	 * 	270.45	ACR|DCR|2VULN|2CDMG|1MLV|1RPLT	13VULN|2RPLT|49RCR|5DUR|6TLV|7MLV|8aCDMG
5	16334 33522	 * 	269.37	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1LHND|2DUR|3RPLT|4DMG|5TBNT|69RCR|7CGEN|8VULN|aASPD
6	42134 33522	   	269.37	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DUR|2RPLT|3LHND|4DMG|5TBNT|69RCR|7CGEN|8VULN|aASPD
7	16334 32522	   	269.27	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1LHND|2DUR|3RPLT|4DMG|5TBNT|69RCR|7ERES|8VULN|aASPD
8	42134 32522	   	269.27	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DUR|2RPLT|3LHND|4DMG|5TBNT|69RCR|7ERES|8VULN|aASPD
9	42234 33522	   	269.27	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DUR|2RPLT|3DUST|4DMG|5TBNT|69RCR|7CGEN|8VULN|aASPD
10	34222 24531	   	269.17	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2AART|3MDPS|4DMG|5DUR|6DUST|78RCR|9CDMG|aBBNT
11	34222 24532	   	269.17	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2AART|3MDPS|4DMG|5DUR|6DUST|78RCR|9CDMG|aLWND
12	34222 24533	   	269.17	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2AART|3MDPS|4DMG|5DUR|6DUST|78RCR|9CDMG|aLIT
13	42234 32522	   	269.17	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DUR|2RPLT|3DUST|4DMG|5TBNT|69RCR|7ERES|8VULN|aASPD
14	33362 36171	   	268.51	DCR|DCR|2VULN|2DUR|1RPLT	1aVULN|2BBNT|3aDUR|4TBNT|5RPLT|68RCR|7MBVNT|9aLIT|aBPWR
15	32621 53311	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	13VULN|2RPLT|4LIT|5MDPS|6LWND|79RCR|8ASPD|aRCVC
16	32621 53313	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	13VULN|2RPLT|4LIT|5MDPS|6LWND|79RCR|8ASPD|aTBNT
17	32621 53314	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	13VULN|2RPLT|4LIT|5MDPS|6LWND|79RCR|8ASPD|aRMIN
18	32621 53316	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT	13VULN|2RPLT|4LIT|5MDPS|6LWND|79RCR|8ASPD|aLHND
19	32621 53312	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	13VULN|2RPLT|4LIT|5MDPS|6LWND|79RCR|8ASPD|aDUST
20	32632 52632	 * 	265.96	ACR|DCR|4VULN|1RPLT	138aVULN|2RPLT|47RCR|5TBNT|6DMSP|9RMIN
21	32633 23246	   	265.64	ACR|DCR|3VULN|2RPLT|1CDMG	13aVULN|25RPLT|49RCR|6LWND|7CDMG|8FEWX
22	32631 13344	   	264.14	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5LWND|6TLV|7MLV|8CDMG|aDUR
23	32634 13341	   	264.14	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5DUR|6TLV|7MLV|8CDMG|aLHND
24	32634 13342	   	264.04	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	13VULN|2RPLT|49RCR|5DUR|6TLV|7MLV|8CDMG|aMDPS
25	34222 24511	   	262.36	DCR|DCR|1VULN|1DMG|1AART	1VULN|2AART|3MDPS|4DMG|5DUR|6DUST|78RCR|9NUKE|aFEWX
26	34222 24512	   	262.36	DCR|DCR|1VULN|1DMG|1AART	1VULN|2AART|3MDPS|4DMG|5DUR|6DUST|78RCR|9NUKE|aBBNT
27	34222 24513	   	262.36	DCR|DCR|1VULN|1DMG|1AART	1VULN|2AART|3MDPS|4DMG|5DUR|6DUST|78RCR|9NUKE|aTLV
28	32631 13343	   	262.15	ACR|DCR|2VULN|2CDMG|1MLV|1RPLT	13VULN|2RPLT|49RCR|5LWND|6TLV|7MLV|8aCDMG
29	32631 53343	   	262.15	ACR|DCR|2VULN|2CDMG|1MLV|1RPLT	13VULN|2RPLT|49RCR|5LWND|6CGEN|7MLV|8aCDMG
30	32631 43343	   	262.05	ACR|DCR|2VULN|2CDMG|1MLV|1RPLT	13VULN|2RPLT|49RCR|5LWND|6AME|7MLV|8aCDMG
31	33362 36111	   	261.76	DCR|DCR|2VULN|1RPLT	1aVULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9LWND
32	33362 36141	   	261.76	DCR|DCR|2VULN|1RPLT	1aVULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9BEXP
33	33362 36173	   	261.76	DCR|DCR|2VULN|1RPLT	1aVULN|2BBNT|3DUR|4TBNT|5RPLT|68RCR|7MBVNT|9LIT
34	36262 36111	   	261.76	DCR|DCR|2VULN|1RPLT	1aVULN|2DUR|3BBNT|4TBNT|5RPLT|68RCR|7MBVNT|9LWND
