0	Index      	 *	Score 	Summary	Detail	
1	32331 44511	 * 	292.24	DCR|DCR|4VULN	149FEWX|245aVULN|3DLOT|4BPWR|68RCR|7RCVC
2	32331 44521	 * 	292.15	DCR|DCR|3VULN|1DMG	14FEWX|245VULN|3DLOT|4BPWR|68RCR|7RCVC|9LWND|aDMG
3	42521 32361	 * 	281.57	DCR|DCR|2VULN|2MLV	17ERES|25DUST|37MLV|47VULN|6BBNT|7BPWR|89RCR|aRCVC
4	42521 32363	   	281.57	DCR|DCR|2VULN|2MLV	17ERES|25DUST|37MLV|47VULN|6BBNT|7BPWR|89RCR|aTBNT
5	42521 32362	   	281.47	DCR|DCR|2VULN|2MLV|1ZMB	17ERES|25DUST|37MLV|47VULN|6BBNT|7BPWR|89RCR|aZMB
6	12132 62644	   	276.90	DCR|DCR|2VULN|1DMG	1LHND|2aVULN|3BEXP|4DUR|5MBVNT|68RCR|7LWND|9DMG
7	12312 62644	   	276.90	DCR|DCR|2VULN|1DMG	1LHND|2aVULN|3DUR|4BEXP|5MBVNT|68RCR|7LWND|9DMG
8	15322 62644	   	276.90	DCR|DCR|2VULN|1DMG	1LHND|2BEXP|3DUR|4aVULN|5MBVNT|68RCR|7LWND|9DMG
9	32262 62624	   	276.90	DCR|DCR|2VULN|1DMG	1FEWX|2aVULN|3LHND|4DUR|5MBVNT|68RCR|7LWND|9DMG
10	32331 44512	   	272.09	DCR|DCR|3VULN	149FEWX|245VULN|3DLOT|4BPWR|68RCR|7aRCVC
11	32331 44513	   	272.09	DCR|DCR|3VULN	149FEWX|245VULN|3DLOT|4BPWR|68RCR|7RCVC|aRMIN
12	32331 44522	   	272.09	DCR|DCR|3VULN	14FEWX|245VULN|3DLOT|4BPWR|68RCR|7RCVC|9LWND|aCGEN
13	32331 44523	   	272.09	DCR|DCR|3VULN	14FEWX|245VULN|3DLOT|4BPWR|68RCR|7RCVC|9LWND|aTBNT
14	32332 44511	   	272.09	DCR|DCR|3VULN	149FEWX|24aVULN|3DLOT|4BPWR|57RCVC|68RCR
15	32331 44532	   	271.99	DCR|DCR|3VULN	14FEWX|245VULN|3DLOT|4BPWR|68RCR|7RCVC|9AME|aFRZARM
16	32331 44533	   	271.99	DCR|DCR|3VULN	14aFEWX|245VULN|3DLOT|4BPWR|68RCR|7RCVC|9AME
17	32321 44511	   	271.99	DCR|DCR|3VULN	149FEWX|25aVULN|3DLOT|68RCR|7RCVC
18	32331 43222	   	271.99	DCR|DCR|3VULN	14FEWX|245VULN|3DLOT|4BPWR|6aRCR|7BEXP|8DUST|9LWND
19	32331 44531	   	271.89	DCR|DCR|3VULN|1MSE	14FEWX|245VULN|3DLOT|4BPWR|68RCR|7RCVC|9AME|aMSE
20	12432 63733	   	271.70	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1LHND|2VULN|3CGEN|4MBVNT|5MLV|68RCR|7BEXP|9CDMG|aDMG
21	32332 44521	   	268.69	DCR|DCR|2VULN|1DMG	14FEWX|24VULN|3DLOT|4BPWR|57RCVC|68RCR|9LWND|aDMG
22	32321 44521	   	268.59	DCR|DCR|2VULN|1DMG	14FEWX|25VULN|3DLOT|68RCR|7RCVC|9LWND|aDMG
23	42221 32366	   	268.29	DCR|DCR|2VULN|1DMG	17ERES|25DUST|37AME|47VULN|6BBNT|7BPWR|89RCR|aDMG
24	12132 62641	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2VULN|3BEXP|4DUR|5MBVNT|68RCR|7LWND|9DMG|aMLV
25	12312 62641	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2VULN|3DUR|4BEXP|5MBVNT|68RCR|7LWND|9DMG|aMLV
26	15322 62641	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2BEXP|3DUR|4VULN|5MBVNT|68RCR|7LWND|9DMG|aMLV
27	32132 62621	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2VULN|3BEXP|4DUR|5MBVNT|68RCR|7LWND|9DMG|aMLV
28	32132 63621	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2VULN|3BEXP|4DUR|5MBVNT|68RCR|7LHND|9DMG|aMLV
29	32262 62621	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2VULN|3LHND|4DUR|5MBVNT|68RCR|7LWND|9DMG|aMLV
30	35322 62621	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2BEXP|3DUR|4VULN|5MBVNT|68RCR|7LWND|9DMG|aMLV
31	35322 63621	   	266.35	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2BEXP|3DUR|4VULN|5MBVNT|68RCR|7LHND|9DMG|aMLV
32	12223 12133	 * 	264.29	DCR|3VULN|2DMG|2MLV|1RPLT	13LHND|246VULN|56MLV|6BPWR|7aDMG|8RPLT|9RCR
