0	Index      	 *	Score 	Summary	Detail	
1	52125 13613	 * 	284.74	DCR|DCR|2VULN|1MLV|1CDMG|1RPLT	14VULN|2TBNT|3RPLT|4BPWR|5CGEN|6aRCR|7CDMG|8MLV|9FEWX
2	52213 43243	   	282.06	DCR|DCR|2VULN|2DUR|1CDMG|1RPLT	14VULN|2TBNT|3LWND|57DUR|6RPLT|8CDMG|9aRCR
3	53233 26343	 * 	277.14	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1VULN|2RMIN|3BBNT|4NUKE|5DUR|6DMG|7ASPD|8MLV|9aRCR
4	32143 26343	   	277.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1TBNT|2ZMB|3CGEN|4VULN|5DUR|6DMG|7ASPD|8MLV|9aRCR
5	32613 26343	   	277.00	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1TBNT|2ZMB|3VULN|4CGEN|5DUR|6DMG|7ASPD|8MLV|9aRCR
6	52111 42243	 * 	274.15	DCR|DCR|2MLV|1VULN|1CDMG|1RPLT	1VULN|2TBNT|3RPLT|46MLV|5CGEN|7BEXP|8CDMG|9aRCR
7	31416 33243	   	268.46	DCR|DCR|2MLV|1VULN|1RPLT|1SELL	1TBNT|2SELL|34MLV|5VULN|6ERES|7DUR|8RPLT|9aRCR
8	31426 33243	   	268.46	DCR|DCR|2MLV|1VULN|1RPLT|1SELL	1TBNT|2SELL|34MLV|4BPWR|5VULN|6ERES|7DUR|8RPLT|9aRCR
9	52123 32243	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	14VULN|2TBNT|3RPLT|4BPWR|5RCVC|6FEWX|7BEXP|8CDMG|9aRCR
10	52123 62243	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	14VULN|2TBNT|3RPLT|4BPWR|5RCVC|6LHND|7BEXP|8CDMG|9aRCR
11	52125 22243	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	14VULN|2TBNT|3RPLT|4BPWR|5CGEN|6RMIN|7BEXP|8CDMG|9aRCR
12	55323 32243	   	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	14VULN|2RPLT|3BBNT|4BPWR|5RCVC|6FEWX|7BEXP|8CDMG|9aRCR
13	52124 22243	   	267.11	DCR|DCR|2VULN|1CDMG|1RPLT	14VULN|2TBNT|3RPLT|4BPWR|5ERES|6RMIN|7BEXP|8CDMG|9aRCR
14	52125 13513	   	267.11	DCR|DCR|2VULN|1CDMG|1RPLT	14VULN|2TBNT|3RPLT|4BPWR|5CGEN|6aRCR|7CDMG|8ERES|9FEWX
15	66331 13213	   	267.01	DCR|DCR|2VULN|1ASPD|1RPLT	1LWND|2MDPS|3ASPD|4RPLT|59VULN|6aRCR|7TSLARM|8AAC
16	51133 23513	   	264.29	DCR|DCR|2MLV|1VULN|1CDMG	1VULN|2ERES|34MLV|5LHND|6LEGI|7CDMG|8aRCR|9RMIN
17	51143 23513	   	264.29	DCR|DCR|2MLV|1VULN|1CDMG	1VULN|24ERES|34MLV|4BPWR|5LHND|6LEGI|7CDMG|8aRCR|9RMIN
18	52111 34243	   	263.73	DCR|DCR|1VULN|1MLV|2RPLT|1CDMG	1VULN|2TBNT|37RPLT|4MLV|5CGEN|6FEWX|8CDMG|9aRCR
19	32633 22343	   	263.15	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1TBNT|2ZMB|3VULN|4NUKE|5DUR|6DMG|7ERES|8MLV|9aRCR
20	31415 32243	   	260.25	DCR|DCR|2MLV|1VULN|1RPLT|1SELL	1TBNT|2SELL|34MLV|5CGEN|6LWND|7VULN|8RPLT|9aRCR
21	31425 32243	   	260.25	DCR|DCR|2MLV|1VULN|1RPLT|1SELL	1TBNT|2SELL|34MLV|4BPWR|5CGEN|6LWND|7VULN|8RPLT|9aRCR
22	31416 31243	   	260.15	DCR|DCR|2MLV|1VULN|1RPLT|1SELL	1TBNT|2SELL|34MLV|5VULN|6ERES|7LWND|8RPLT|9aRCR
23	31416 32243	   	260.15	DCR|DCR|2MLV|1VULN|1RPLT|1SELL	1TBNT|2SELL|34MLV|5VULN|6ERES|7LHND|8RPLT|9aRCR
24	31426 31243	   	260.15	DCR|DCR|2MLV|1VULN|1RPLT|1SELL	1TBNT|2SELL|34MLV|4BPWR|5VULN|6ERES|7LWND|8RPLT|9aRCR
25	31426 32243	   	260.15	DCR|DCR|2MLV|1VULN|1RPLT|1SELL	1TBNT|2SELL|34MLV|4BPWR|5VULN|6ERES|7LHND|8RPLT|9aRCR
26	53233 22643	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2RMIN|3BBNT|4NUKE|5DUR|6DMG|7ERES|8ASPD|9aRCR
27	32143 23643	   	259.47	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1TBNT|2ZMB|3CGEN|4VULN|5DUR|6DMG|7TLV|8ASPD|9aRCR
28	32613 23643	   	259.47	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1TBNT|2ZMB|3VULN|4CGEN|5DUR|6DMG|7TLV|8ASPD|9aRCR
29	32143 22643	   	259.37	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1TBNT|2ZMB|3CGEN|4VULN|5DUR|6DMG|7ERES|8ASPD|9aRCR
30	32613 22643	   	259.37	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1TBNT|2ZMB|3VULN|4CGEN|5DUR|6DMG|7ERES|8ASPD|9aRCR
31	32623 22643	   	259.37	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1TBNT|2ZMB|3VULN|4DUR|5TLV|6DMG|7ERES|8ASPD|9aRCR
32	32335 26243	   	259.22	DCR|DCR|1VULN|1DMG|1CDMG|1SELL|1ZMB	1TBNT|2ZMB|3DMG|4SELL|5LWND|6VULN|7CDMG|8DUR|9aRCR
33	32332 26243	   	259.12	DCR|DCR|1VULN|1DMG|1CDMG|1SELL|1ZMB	1TBNT|2ZMB|3DMG|4SELL|5LEGI|6VULN|7CDMG|8DUR|9aRCR
34	34133 32243	   	258.54	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1TBNT|23CGEN|4MLV|5RPLT|6VULN|7BEXP|8CDMG|9aRCR
35	34433 32243	   	258.54	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1TBNT|2CGEN|3DMSP|4MLV|5RPLT|6VULN|7BEXP|8CDMG|9aRCR
36	34533 32243	   	258.54	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1TBNT|23CGEN|3BPWR|4MLV|5RPLT|6VULN|7BEXP|8CDMG|9aRCR
37	52111 52243	   	258.54	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2TBNT|3RPLT|4MLV|56CGEN|7BEXP|8CDMG|9aRCR
38	52111 62243	   	258.54	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2TBNT|3RPLT|4MLV|5CGEN|6DMSP|7BEXP|8CDMG|9aRCR
39	51531 12513	   	257.35	DCR|DCR|2VULN|1CDMG	15VULN|2ERES|3LHND|4LWND|6CDMG|7AME|8aRCR|9RMIN
40	51451 14313	 * 	256.79	ACR|DCR|3VULN|1DMG	157VULN|269ERES|3aRCR|4MBVNT|8DMG
41	51453 34313	   	256.79	ACR|DCR|3VULN|1DMG	157VULN|259ERES|3aRCR|4MBVNT|5BPWR|6AELOIC|8DMG
42	32633 16343	   	256.74	DCR|DCR|1VULN|1MLV|1ASPD|1ZMB	1TBNT|2ZMB|3VULN|4NUKE|5DUR|6ERES|7ASPD|8MLV|9aRCR
43	23141 15343	 * 	255.24	DCR|DCR|2DMG|1VULN	1ERES|2BELT|3BEXP|4RMIN|5aDMG|6FEWX|7VULN|89RCR
44	23162 15343	   	255.24	DCR|DCR|2DMG|1VULN	1ERES|2BELT|3BEXP|4aDMG|5RMIN|6FEWX|7VULN|89RCR
45	23163 25343	   	255.24	DCR|DCR|2DMG|1VULN	1ERES|2BELT|3BEXP|4aDMG|5LWND|6RMIN|7VULN|89RCR
46	52615 11133	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2TBNT|34CGEN|5MLV|6ERES|7aRCR|8DMG|9BBNT
47	26142 51133	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	16ERES|2BBNT|3CGEN|4VULN|5MLV|7aRCR|8DMG|9TBNT
48	51212 51133	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1VULN|26ERES|3BBNT|4CGEN|5MLV|7aRCR|8DMG|9TBNT
49	22611 18353	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	16ERES|2LHND|3MBVNT|4DMG|5BBNT|7VULN|8MLV|9aRCR
