0	Index      	 *	Score 	Summary	Detail	
1	43421 35112	 * 	285.90	橙3易伤2等级1暴击1全技能1卖塔	1a最后敌人2卖塔3全技能48a易伤5策反6核7暴击9a等级a序列升级
2	11234 16136	 * 	273.14	橙2等级2易伤1烈焰减费1攻速1时间	1雷电29基地爆炸3烈焰减费4时间59易伤6挖尘79等级8核9序列升级a攻速
3	22235 31211	 * 	270.21	橙2等级2易伤1毒气减费1暴击	1机枪对壮2毒气减费3暴击4随机技能5雷电6a等级7核89易伤
4	13254 16131	   	268.53	橙2等级2易伤1烈焰减费2时间	1雷电29时间3烈焰减费4敌人爆炸59易伤6挖尘79等级8核9序列升级a立即金币
5	13254 16133	   	268.53	橙2等级2易伤1烈焰减费2时间	1雷电29时间3烈焰减费4敌人爆炸59易伤6挖尘79等级8核9序列升级a最后敌人
6	13254 16132	   	268.43	橙2等级2易伤1烈焰减费2时间	1雷电29时间3烈焰减费4敌人爆炸59易伤6挖尘79等级8核9序列升级a雷电减费
7	11234 16135	   	266.42	橙2等级2易伤1烈焰减费1时间	1雷电29基地爆炸3烈焰减费4时间59易伤6挖尘79等级8核9序列升级a随机技能
8	43421 35312	   	264.50	橙2等级2易伤1暴击1全技能2策反1卖塔	1a最后敌人2卖塔3全技能4a易伤58策反6核7暴击9a等级a序列升级
9	13411 26136	 * 	264.11	橙3易伤2等级1时间	169雷电2时间39a易伤4挖尘5敌人爆炸79等级8核9序列升级
10	13412 26136	   	264.11	橙3易伤2等级1时间	159雷电2时间39a易伤4挖尘6敌人爆炸79等级8核9序列升级
11	13411 66131	   	264.11	橙3易伤2等级1时间	19雷电2时间369易伤4挖尘5敌人爆炸79等级8核9序列升级a立即金币
12	13411 66133	   	264.11	橙3易伤2等级1时间	19雷电2时间369易伤4挖尘5敌人爆炸79等级8核9序列升级a最后敌人
13	13411 66132	   	264.01	橙3易伤2等级1时间	19雷电2时间369易伤4挖尘5敌人爆炸79等级8核9序列升级a雷电减费
14	15221 22136	   	262.11	橙2等级2易伤2时间1攻速	19雷电27易伤39等级4敌人爆炸5挖尘69时间8核9序列升级a攻速
15	15261 22136	   	262.11	橙2等级2易伤2时间1攻速	19雷电27易伤39等级4基地爆炸5挖尘69时间8核9序列升级a攻速
16	22235 31335	 * 	261.94	橙橙1等级1毒气减费1攻速1暴击	1机枪对壮2毒气减费3暴击4随机技能5雷电6等级7a核8攻速9低血量敌人
17	13234 26131	 * 	260.82	橙2等级1易伤3时间1烈焰减费1暴击	19雷电249时间3烈焰减费5双倍秒伤6易伤79等级8核9序列升级a暴击
18	41261 11215	   	259.74	橙3易伤1等级1暴击1全技能	1最后敌人2金币生成349易伤5随机技能6暴击7等级8全技能a核
19	11234 16131	   	259.48	橙2等级2易伤1烈焰减费1时间	1雷电29基地爆炸3烈焰减费4时间59易伤6挖尘79等级8核9序列升级a立即金币
20	11234 16133	   	259.48	橙2等级2易伤1烈焰减费1时间	1雷电29基地爆炸3烈焰减费4时间59易伤6挖尘79等级8核9序列升级a最后敌人
21	34234 26131	   	259.48	橙2等级2易伤1烈焰减费1时间	1挖尘29雷电3烈焰减费4时间59易伤6敌人爆炸79等级8核9序列升级a立即金币
22	34234 26133	   	259.48	橙2等级2易伤1烈焰减费1时间	1挖尘29雷电3烈焰减费4时间59易伤6敌人爆炸79等级8核9序列升级a最后敌人
23	11234 16132	   	259.38	橙2等级2易伤1烈焰减费1时间	1雷电29基地爆炸3烈焰减费4时间59易伤6挖尘79等级8核9序列升级a雷电减费
24	11234 16134	   	259.38	橙2等级2易伤1烈焰减费1时间	1雷电29基地爆炸3烈焰减费4时间59易伤6挖尘79等级8核9序列升级a掉矿
25	15235 32133	 * 	259.38	橙2等级2易伤1伤害1时间	1雷电26易伤3a等级4最后敌人5技能点7时间8核9伤害
26	34234 26132	   	259.38	橙2等级2易伤1烈焰减费1时间	1挖尘29雷电3烈焰减费4时间59易伤6敌人爆炸79等级8核9序列升级a雷电减费
27	13265 51133	   	259.04	橙2等级2易伤1烈焰减费1时间1卖塔	1雷电2时间3烈焰减费46易伤5卖塔7掉矿8核9a等级
28	25126 31213	 * 	258.30	橙橙2等级1暴击1全技能	1机枪对壮2散射对喷气3全技能4a等级5散射对甲69核7基地爆炸8暴击
29	25126 35213	   	258.30	橙橙2等级1暴击1全技能	1机枪对壮2散射对喷气3全技能4a等级5散射对甲69核7低血量敌人8暴击
30	15411 32142	 * 	257.87	橙3易伤1等级1毒气减费1时间	15雷电235易伤4雷电减费5序列升级6敌人爆炸7时间8核9等级a毒气减费
31	22411 25241	 * 	257.40	橙橙2易伤1毒气减费1暴击	1机枪对壮2毒气减费3雷电49易伤5爆破对壮6随机技能7a核8暴击
32	36242 21511	 * 	256.56	橙2等级2易伤1火球减费	1挖尘2随机技能37易伤4额外掉落59等级6火球减费8核a最后敌人
33	36242 21512	   	256.56	橙2等级2易伤1火球减费	1挖尘2随机技能37易伤4额外掉落59等级6火球减费8核a雷电
34	36242 21513	   	256.46	橙2等级2易伤1火球减费	1挖尘2随机技能37易伤4额外掉落59等级6火球减费8核a加一
