0	Index      	 *	Score 	Summary	Detail	
1	23135 62316	 * 	292.74	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1FEWX|2MDPS|3CDMG|4RPLT|5LIT|6TLV|7BEXP|89RCR|aVULN
2	11623 32261	 * 	291.00	DCR|DCR|2LIT|1TLV|1VULN	1ZMB|24LIT|3BLASTR|5DUST|68RCR|7RCVC|9TLV|aVULN
3	11623 33261	   	290.90	DCR|DCR|2LIT|1TLV|1VULN	1ZMB|24LIT|3BLASTR|57DUST|68RCR|9TLV|aVULN
4	43145 32233	 * 	283.59	DCR|DCR|1TLV|1LIT|1MLV|2CDMG|1DUR	1DUST|2MDPS|34CDMG|5LIT|69RCR|7TLV|8DUR|aMLV
5	63125 31134	   	282.22	DCR|DCR|2LIT|1TLV|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4AEFBLL|5aLIT|69RCR|7LHND|8TLV
6	63125 32134	   	282.22	DCR|DCR|2LIT|1TLV|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4AEFBLL|5aLIT|69RCR|7TLV|8LWND
7	63125 33134	   	282.22	DCR|DCR|2LIT|1TLV|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4AEFBLL|5aLIT|69RCR|7LWND|8TLV
8	43125 32234	   	282.12	DCR|DCR|2LIT|1TLV|1CDMG|1DUR	1DUST|2MDPS|3CDMG|4AEFBLL|5aLIT|69RCR|7TLV|8DUR
9	43145 31133	 * 	278.87	DCR|DCR|2LIT|1TLV|2CDMG	1DUST|2MDPS|34CDMG|5aLIT|69RCR|7LHND|8TLV
10	43145 32133	   	278.87	DCR|DCR|2LIT|1TLV|2CDMG	1DUST|2MDPS|34CDMG|5aLIT|69RCR|7TLV|8LWND
11	43145 32333	   	278.87	DCR|DCR|2LIT|1TLV|2CDMG	1DUST|2MDPS|34CDMG|5aLIT|69RCR|7TLV|8LHND
12	43145 33133	   	278.87	DCR|DCR|2LIT|1TLV|2CDMG	1DUST|2MDPS|34CDMG|5aLIT|69RCR|7LWND|8TLV
13	43165 32233	   	277.27	DCR|DCR|1TLV|1LIT|1MLV|1CDMG|1DUR	1DUST|2MDPS|3CDMG|4DMSP|5LIT|69RCR|7TLV|8DUR|aMLV
14	52164 32233	   	277.27	DCR|DCR|1TLV|1LIT|1MLV|1CDMG|1DUR	1CDMG|2BEXP|3LIT|4MDPS|5AEFBLL|69RCR|7TLV|8DUR|aMLV
15	63125 32533	   	277.17	DCR|DCR|1TLV|1LIT|1MLV|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4AEFBLL|5LIT|69RCR|7TLV|8DUST|aMLV
16	43125 32233	   	277.17	DCR|DCR|1TLV|1LIT|1MLV|1CDMG|1DUR	1DUST|2MDPS|3CDMG|4AEFBLL|5LIT|69RCR|7TLV|8DUR|aMLV
17	43125 35133	   	277.17	DCR|DCR|1TLV|1LIT|1MLV|1CDMG|1DUR	1DUST|2MDPS|3CDMG|4AEFBLL|5LIT|69RCR|7DUR|8TLV|aMLV
18	11623 32243	 * 	276.69	DCR|DCR|3LIT|1TLV	1ZMB|249LIT|3BLASTR|5DUST|68RCR|7RCVC|aTLV
19	11623 33243	   	276.59	DCR|DCR|3LIT|1TLV	1ZMB|249LIT|3BLASTR|57DUST|68RCR|aTLV
20	43145 32232	   	275.99	DCR|DCR|1TLV|1LIT|2CDMG|2DUR	1DUST|2MDPS|34CDMG|5LIT|69RCR|7TLV|8aDUR
21	63111 63632	   	275.55	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG|1DUR	1DUR|2MDPS|3CDMG|4VULN|5TLV|6FLTARM|7ASPD|8aRCR|9FEWX
22	11411 51316	 * 	274.70	DCR|DCR|2LIT|2MLV|1VULN|1BBNT	1ZMB|25LIT|35MLV|4RCVC|5BPWR|6BBNT|7aRCR|8DUST|9VULN
23	11431 51316	   	274.70	DCR|DCR|2LIT|2MLV|1VULN|1BBNT	14ZMB|25LIT|35MLV|5BPWR|6BBNT|7aRCR|8DUST|9VULN
24	63145 31133	 * 	274.36	DCR|DCR|1TLV|1LIT|3CDMG|1DUR	1DUR|2MDPS|34aCDMG|5LIT|69RCR|7LHND|8TLV
25	63145 32133	   	274.36	DCR|DCR|1TLV|1LIT|3CDMG|1DUR	1DUR|2MDPS|34aCDMG|5LIT|69RCR|7TLV|8LWND
26	63145 33133	   	274.36	DCR|DCR|1TLV|1LIT|3CDMG|1DUR	1DUR|2MDPS|34aCDMG|5LIT|69RCR|7LWND|8TLV
27	62213 55223	   	274.22	DCR|DCR|2LIT|1TLV|1DUR	1DUR|2LWND|3LHND|4MBVNT|5TBNT|69LIT|7aRCR|8TLV
28	43165 31133	   	272.56	DCR|DCR|2LIT|1TLV|1CDMG	1DUST|2MDPS|3CDMG|4DMSP|5aLIT|69RCR|7LHND|8TLV
29	43165 32133	   	272.56	DCR|DCR|2LIT|1TLV|1CDMG	1DUST|2MDPS|3CDMG|4DMSP|5aLIT|69RCR|7TLV|8LWND
30	43165 32333	   	272.56	DCR|DCR|2LIT|1TLV|1CDMG	1DUST|2MDPS|3CDMG|4DMSP|5aLIT|69RCR|7TLV|8LHND
31	43165 33133	   	272.56	DCR|DCR|2LIT|1TLV|1CDMG	1DUST|2MDPS|3CDMG|4DMSP|5aLIT|69RCR|7LWND|8TLV
