0	Index      	 *	Score 	Summary	Detail	
1	13542 23361	 * 	305.46	DCR|3VULN|3TLV|2MLV|1DMG	1MDPS|27aVULN|3DMG|4aMLV|5RMIN|68aTLV|9RCR|aBPWR
2	14151 32226	 * 	304.22	ACR|DCR|2VULN|2TLV|2DMG	1MDPS|2aRCR|38VULN|4AART|5DUR|68DMG|78TLV|8BPWR|9CGEN
3	52211 34316	 * 	299.06	DCR|2TLV|2MLV|1LIT|1VULN|2ASPD|1DMG	1DMG|2CANSTR|3aASPD|4aMLV|5VULN|6RCR|7aTLV|8LHND|9LIT|aBPWR
4	52211 34136	 * 	297.63	DCR|2VULN|2TLV|2DMG|2ASPD|1MLV	1aDMG|2CANSTR|3aASPD|4MLV|59VULN|6RCR|7aTLV|8MDPS|aBPWR
5	33223 56361	 * 	295.84	DCR|2TLV|2LIT|1VULN|2ASPD|1MLV	1DUR|26ASPD|39LIT|4SNIHEL|56TLV|6BPWR|7RCR|8MLV|aVULN
6	14151 22226	 * 	292.67	ACR|DCR|2VULN|2TLV|2ASPD	1MDPS|2aRCR|38VULN|4AART|5DUR|68ASPD|78TLV|8BPWR|9CGEN
7	53223 21541	 * 	292.52	DCR|2TLV|2LIT|2MLV|2DMG|1CDMG	17DMG|2CDMG|37MLV|4BELT|5DMSP|67TLV|7BPWR|8RCR|9aLIT
8	15212 61421	 * 	291.98	ACR|3MLV|2VULN|2TLV|2DMG|1LIT	1MDPS|279MLV|3RCR|49LHND|57TLV|67VULN|79BPWR|89DMG|aLIT
9	52253 33313	 * 	291.73	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2CANSTR|3ASPD|4LHND|5TLV|6aRCR|7VULN|8BBNT|9DUR
10	52263 31353	   	291.73	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2CANSTR|3ASPD|4VULN|5TLV|6aRCR|7DUR|8BBNT|9LHND
11	15212 61224	 * 	291.08	ACR|3VULN|3TLV|3MLV|1CDMG	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AAC|aCDMG
12	15212 61234	   	290.98	ACR|3VULN|3TLV|3MLV|1CDMG	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AME|aCDMG
13	12137 41747	 * 	288.65	DCR|DCR|1TLV|1LIT|1VULN	1MDPS|2RMIN|3LIT|4MBVNT|5RPLT|67RCR|8BBNT|9TLV|aVULN
14	62211 34613	   	288.56	DCR|2TLV|2MLV|1LIT|1VULN|2ASPD	1AME|2CANHEL|3aASPD|4aMLV|5VULN|6RCR|7aTLV|8DUR|9LIT|aBPWR
15	52263 36313	   	287.52	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2CANSTR|3ASPD|4VULN|5TLV|6aRCR|7TBNT|8LEGI|9DUR
16	15212 61216	   	285.74	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|49LHND|578TLV|678VULN|78BPWR|aRPLT
17	15212 61222	   	285.74	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AAC|aRPLT
18	15212 61253	   	285.74	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9BEXP|aRPLT
19	15212 61232	   	285.64	ACR|3VULN|3TLV|3MLV	1MDPS|278MLV|3RCR|4LHND|578TLV|678VULN|78BPWR|9AME|aRPLT
20	12137 41363	 * 	284.99	DCR|DCR|3LIT|1TLV	1MDPS|2RMIN|38aLIT|4MBVNT|5RPLT|67RCR|9TLV
21	33223 56331	   	283.83	DCR|2TLV|1LIT|1VULN|2ASPD|1MLV	1DUR|26ASPD|3LIT|4SNIHEL|56TLV|6BPWR|7RCR|8MLV|9VULN|aRPLT
22	33223 56261	   	283.72	DCR|2TLV|2LIT|1VULN|2ASPD|1DMG	1DUR|26ASPD|39LIT|4SNIHEL|56TLV|6BPWR|7RCR|8DMG|aVULN
23	13533 31441	 * 	282.69	DCR|3VULN|1TLV|2DMG|1LIT	1MDPS|259VULN|35DMG|4RMIN|5BPWR|6RCR|7TLV|8BBNT|aLIT
24	52223 33353	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DMG|2CANSTR|3ASPD|4BEXP|5TLV|6aRCR|7VULN|8BBNT|9LHND
