0	Index      	 *	Score 	Summary	Detail	
1	35425 32312	 * 	308.27	DCR|DCR|2VULN|1TLV|1DMG|1ASPD	1BEXP|24VULN|3DMG|5MDPS|6TLV|7DUR|89RCR|aASPD
2	35425 32311	   	304.28	DCR|DCR|2VULN|1TLV|1DMG	1BEXP|24VULN|3DMG|5MDPS|6TLV|7DUR|89RCR|aBBNT
3	35425 32313	   	294.62	DCR|DCR|2VULN|1TLV|1DMG	1BEXP|24VULN|3DMG|5MDPS|6TLV|7DUR|89RCR|aDMSP
4	32612 61315	 * 	294.52	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1BEXP|2MDPS|3TLV|45ASPD|6DUR|7VULN|89RCR|aDMG
5	54325 33213	 * 	292.61	DCR|4VULN|2TLV|1MLV|2DUR	1479VULN|2NUKE|37DUR|5MDPS|67TLV|7BPWR|8RCR|aMLV
6	23222 46352	 * 	288.30	DCR|DCR|2TLV|1MLV|1ASPD	1MGNLIT|2TBNT|3ASPD|45TLV|6DUR|7aRCR|8MLV|9MGNSTR
7	33421 32315	 * 	286.10	DCR|DCR|2DMG|1TLV|1VULN	1BEXP|2FEWX|3aDMG|4VULN|5LHND|6TLV|7DUR|89RCR
8	33426 32315	   	286.10	DCR|DCR|2DMG|1TLV|1VULN	1BEXP|2FEWX|3aDMG|4VULN|5LWND|6TLV|7DUR|89RCR
9	32612 61312	 * 	285.90	DCR|DCR|3ASPD|1TLV|1VULN	1BEXP|2MDPS|3TLV|45aASPD|6DUR|7VULN|89RCR
10	55183 41324	 * 	285.83	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	12VULN|3MBVNT|45TLV|6MLV|7AIRHEA|8LIT|9DMG|aRCR
11	32615 11315	   	284.76	DCR|DCR|1TLV|1VULN|2ASPD|1DMG	1BEXP|2MDPS|3TLV|46ASPD|5DUST|7VULN|89RCR|aDMG
12	52212 32536	 * 	284.29	DCR|3VULN|2TLV|1LIT|2CDMG	13aVULN|2MDPS|3aBPWR|4RPLT|5AAC|6LIT|7RCR|8aTLV|9aCDMG
13	32612 61311	   	284.12	DCR|DCR|1TLV|1VULN|2ASPD	1BEXP|2MDPS|3TLV|45ASPD|6DUR|7VULN|89RCR|aBBNT
14	33421 32312	   	282.17	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2FEWX|3DMG|4VULN|5LHND|6TLV|7DUR|89RCR|aASPD
15	33426 32312	   	282.17	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2FEWX|3DMG|4VULN|5LWND|6TLV|7DUR|89RCR|aASPD
16	35461 32312	   	282.17	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2VULN|3DMG|4LWND|5LHND|6TLV|7DUR|89RCR|aASPD
17	53262 32315	   	282.17	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1VULN|2FEWX|3BEXP|4LWND|5ASPD|6TLV|7DUR|89RCR|aDMG
18	13223 61315	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DUST|2FEWX|3BEXP|4TLV|5ASPD|6DUR|7VULN|89RCR|aDMG
19	13232 32315	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DUST|2FEWX|3BEXP|4VULN|5ASPD|6TLV|7DUR|89RCR|aDMG
20	15262 32315	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DUST|2VULN|3BEXP|4LWND|5ASPD|6TLV|7DUR|89RCR|aDMG
21	32611 61315	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2MDPS|3TLV|4ASPD|5RCVC|6DUR|7VULN|89RCR|aDMG
22	32633 61315	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	14BEXP|2MDPS|3TLV|5ASPD|6DUR|7VULN|89RCR|aDMG
23	33623 61315	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2FEWX|3DUST|4TLV|5ASPD|6DUR|7VULN|89RCR|aDMG
24	33632 32315	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2FEWX|3DUST|4VULN|5ASPD|6TLV|7DUR|89RCR|aDMG
25	35255 32312	   	282.07	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	13BEXP|2VULN|4DMG|5MDPS|6TLV|7DUR|89RCR|aASPD
26	63326 14212	 * 	281.63	DCR|3LIT|2VULN|2TLV	1BBNT|2RCVC|38aLIT|4MDPS|5BELT|6RCR|7aTLV|9aVULN|aBPWR
27	54325 33222	   	279.00	DCR|3VULN|2TLV|1MLV|2DUR	147VULN|2NUKE|37DUR|5MDPS|67TLV|7BPWR|8RCR|9MLV|aTBNT
28	44213 31313	   	278.44	DCR|DCR|2VULN|1TLV|1ASPD	1ERES|2MDPS|3BEXP|4ASPD|5CGEN|6TLV|7aVULN|89RCR
