0	Index      	 *	Score 	Summary	Detail	
1	61153 43122	 * 	296.41	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1MDPS|2TBNT|3DMG|4LIT|5LHND|6TLV|79RCR|8RCVC|aVULN
2	13362 51632	 * 	289.28	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1MLV|29TLV|3BEXP|4aVULN|5DUR|6CDMG|7RCR|8LIT
3	11362 51632	   	289.18	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1MLV|2aVULN|3DUST|49TLV|5DUR|6CDMG|7RCR|8LIT
4	16132 33165	 * 	288.23	DCR|3TLV|2VULN|2MLV	19MLV|2BBNT|3DMSP|459TLV|6TBNT|79VULN|8RCR|9BPWR|aDUR
5	16132 33161	   	286.88	DCR|3TLV|2VULN|2MLV	19MLV|2BBNT|3DMSP|459TLV|6TBNT|79VULN|8RCR|9BPWR|aAART
6	11431 42362	 * 	285.26	DCR|2VULN|2LIT|2MLV|1TLV|1CDMG	15MLV|26VULN|3DUR|45LIT|5BPWR|7DUST|8CDMG|9TLV|aRCR
7	16132 51621	 * 	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1MLV|2BBNT|3DMSP|45TLV|6CDMG|7RCR|8aLIT|9VULN
8	16134 21621	   	283.39	DCR|2TLV|2LIT|1VULN|1MLV|1CDMG	1MLV|2BBNT|3DMSP|46TLV|5CDMG|7RCR|8aLIT|9VULN
9	46633 23131	 * 	280.14	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1BEXP|29TLV|3VULN|47LIT|5MLV|6LHND|8DMG|aRCR
10	26633 23131	   	280.04	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1DUST|29TLV|3VULN|47LIT|5MLV|6LHND|8DMG|aRCR
11	65312 13131	   	280.04	DCR|2TLV|2LIT|1VULN|1MLV|1DMG	1MDPS|2VULN|3MLV|47LIT|59TLV|6RCVC|8DMG|aRCR
12	11415 12362	   	280.00	DCR|2VULN|2LIT|1TLV|1MLV|2DUR|1CDMG	1MLV|24VULN|34DUR|4BPWR|56LIT|7DUST|8CDMG|9TLV|aRCR
13	26613 13152	   	279.61	DCR|2VULN|2TLV|1LIT|1MLV|1CDMG	1DUST|24TLV|34VULN|4BPWR|5CDMG|67LHND|8LIT|9MLV|aRCR
