0	Index      	 *	Score 	Summary	Detail	
1	31224 42325	 * 	340.99	橙2雷电4易伤2矿等2暴击	147a易伤27雷电3a低血量敌人5加农对毒67矿等7a序列升级8a暴击9核
2	31432 42325	   	340.84	橙2雷电4易伤2矿等2暴击	157a易伤27雷电3a加农对毒4低血量敌人67矿等7a序列升级8a暴击9核
3	31124 42326	   	331.22	橙2雷电4易伤2矿等1暴击	147a易伤27雷电3最后敌人5加农对毒67矿等7序列升级8暴击9核
4	31413 42326	   	331.07	橙2雷电4易伤2矿等1暴击	147a易伤27雷电3加农对毒5时间67矿等7序列升级8暴击9核
5	31155 22511	 * 	328.29	橙3雷电2喷火对甲2易伤1伤害1暴击	17易伤267雷电3最后敌人4金币生成57喷火对甲7序列升级8核9暴击a伤害
6	31255 22311	   	328.29	橙3雷电2喷火对甲2易伤1伤害1暴击	17易伤267雷电3低血量敌人4金币生成57喷火对甲7序列升级8核9暴击a伤害
7	31155 22521	 * 	326.67	橙3雷电2喷火对甲2易伤1矿等	17易伤267雷电3最后敌人4金币生成57喷火对甲7序列升级8核9矿等a喷火对愈
8	31155 22522	   	326.67	橙3雷电2喷火对甲2易伤1矿等	17易伤267雷电3最后敌人4金币生成57喷火对甲7序列升级8核9矿等a低血量敌人
9	31155 22523	   	326.67	橙3雷电2喷火对甲2易伤1矿等	17易伤267雷电3最后敌人4金币生成57喷火对甲7序列升级8核9矿等a随机矿
10	31255 22321	   	326.67	橙3雷电2喷火对甲2易伤1矿等	17易伤267雷电3低血量敌人4金币生成57喷火对甲7序列升级8核9矿等a喷火对愈
11	31255 22322	   	326.67	橙3雷电2喷火对甲2易伤1矿等	17易伤267雷电3a低血量敌人4金币生成57喷火对甲7序列升级8核9矿等
12	31255 22323	   	326.67	橙3雷电2喷火对甲2易伤1矿等	17易伤267雷电3低血量敌人4金币生成57喷火对甲7序列升级8核9矿等a最后敌人
13	31255 22325	   	326.67	橙3雷电2喷火对甲2易伤1矿等	17易伤267雷电3低血量敌人4金币生成57喷火对甲7序列升级8核9矿等a额外掉落
14	31255 22326	   	326.67	橙3雷电2喷火对甲2易伤1矿等	17易伤267雷电3低血量敌人4金币生成57喷火对甲7序列升级8核9矿等a等级
15	31255 22333	 * 	323.28	橙3雷电3喷火对甲3易伤	17a易伤267雷电3低血量敌人4a金币生成57a喷火对甲7a序列升级8核9随机矿
16	31124 42135	 * 	317.36	橙2雷电3矿等3易伤1伤害	147易伤27雷电3最后敌人5加农对毒678矿等7序列升级9核a伤害
17	31413 42135	   	317.21	橙2雷电3矿等3易伤1伤害	147易伤27雷电3加农对毒5时间678矿等7序列升级9核a伤害
18	31255 22341	   	316.71	橙3雷电3易伤2喷火对甲	179易伤267雷电3低血量敌人4金币生成57喷火对甲7序列升级8核a敌人爆炸
19	31255 22342	   	316.71	橙3雷电3易伤2喷火对甲	179易伤267雷电3低血量敌人4金币生成57喷火对甲7序列升级8核a平台
20	31255 22343	   	316.71	橙3雷电3易伤2喷火对甲	179易伤267雷电3低血量敌人4金币生成57喷火对甲7序列升级8核a基地爆炸
21	31124 42131	 * 	316.01	橙2雷电3矿等4易伤	147a易伤27雷电3最后敌人5加农对毒678矿等7序列升级9核
22	31415 42131	   	316.01	橙2雷电3矿等4易伤	147a易伤27雷电3加农对毒5敌人爆炸678矿等7序列升级9核
23	31413 42131	   	315.86	橙2雷电3矿等4易伤	147a易伤27雷电3加农对毒5时间678矿等7序列升级9核
24	33225 16422	 * 	314.07	紫2矿等3易伤1雷电3伤害1暴击	167易伤2最后敌人37矿等478伤害5核7序列升级9暴击a雷电
25	31124 42133	 * 	313.21	橙3雷电3矿等3易伤	147易伤27a雷电3最后敌人5加农对毒678矿等7序列升级9核
26	31413 42133	   	313.06	橙3雷电3矿等3易伤	147易伤27a雷电3加农对毒5时间678矿等7序列升级9核
27	31214 42325	   	312.24	橙2雷电2矿等3易伤2暴击	17a易伤27雷电3a低血量敌人4立即金币5加农对毒67矿等7a序列升级8a暴击9核
