0	Index      	 *	Score 	Summary	Detail	
1	11226 13133	 * 	331.96	ACR|3VULN|2TLV|2DMG|2ASPD|1CDMG	17TLV|27DMG|389VULN|4LWND|5RCR|67ASPD|7BPWR|aCDMG
2	11226 13121	 * 	329.76	ACR|3VULN|2TLV|3ASPD|2DMG	17TLV|27DMG|38aVULN|4LWND|5RCR|679ASPD|7BPWR
3	12452 42472	 * 	328.75	ACR|DCR|3TLV|2VULN|2RAT	19aTLV|2MDPS|38RCR|4RMIN|5MBVNT|6aRAT|7aVULN|aBPWR
4	11234 62523	 * 	327.82	DCR|3VULN|2TLV|3DMG|1AEFBLL	14TLV|26aDMG|369VULN|5DMSP|6BPWR|7AEFBLL|8RCR
5	11226 13113	   	327.33	ACR|2TLV|2VULN|2DMG|2ASPD|1AEPOI|1CDMG	17TLV|27DMG|38VULN|4LWND|5RCR|67ASPD|7BPWR|9AEPOI|aCDMG
6	11226 13134	   	325.25	ACR|3VULN|2TLV|2DMG|2ASPD	17TLV|27DMG|389VULN|4LWND|5RCR|67ASPD|7BPWR|aRAT
7	11226 13114	   	320.62	ACR|2TLV|2VULN|2DMG|2ASPD|1AEPOI	17TLV|27DMG|38VULN|4LWND|5RCR|67ASPD|7BPWR|9AEPOI|aRAT
8	11234 62521	   	319.11	DCR|3VULN|2TLV|2DMG|1AEFBLL	14TLV|26DMG|369VULN|5DMSP|6BPWR|7AEFBLL|8RCR|aRAT
9	11226 13131	   	318.31	ACR|3VULN|2TLV|2DMG|2ASPD	17TLV|27DMG|389VULN|4LWND|5RCR|67ASPD|7BPWR|aLHND
10	11226 13135	   	318.31	ACR|3VULN|2TLV|2DMG|2ASPD	17TLV|27DMG|389VULN|4LWND|5RCR|67ASPD|7BPWR|aLIT
11	11226 13136	   	318.31	ACR|3VULN|2TLV|2DMG|2ASPD	17TLV|27DMG|389VULN|4LWND|5RCR|67ASPD|7BPWR|aAME
12	11226 13162	   	318.31	ACR|3VULN|2TLV|2DMG|2ASPD	17TLV|27DMG|38aVULN|4LWND|5RCR|67ASPD|7BPWR|9LHND
13	11226 13132	   	318.21	ACR|3VULN|2TLV|2DMG|2ASPD	17TLV|27DMG|389VULN|4LWND|5RCR|67ASPD|7BPWR|aAETHUN
14	11226 13152	   	318.21	ACR|3VULN|2TLV|2DMG|2ASPD	17TLV|27DMG|38aVULN|4LWND|5RCR|67ASPD|7BPWR|9DUST
15	11226 13124	   	314.72	ACR|2TLV|2VULN|3ASPD|2DMG	17TLV|27DMG|38VULN|4LWND|5RCR|679ASPD|7BPWR|aDUR
16	14266 13133	   	314.20	ACR|3VULN|2TLV|2ASPD|1CDMG	17TLV|27ZMB|389VULN|4DUR|5RCR|67ASPD|7BPWR|aCDMG
17	11226 13111	   	313.68	ACR|2TLV|2VULN|2DMG|2ASPD|1AEPOI	17TLV|27DMG|38VULN|4LWND|5RCR|67ASPD|7BPWR|9AEPOI|aLHND
18	11226 13115	   	313.68	ACR|2TLV|2VULN|2DMG|2ASPD|1AEPOI	17TLV|27DMG|38VULN|4LWND|5RCR|67ASPD|7BPWR|9AEPOI|aLIT
19	11226 13116	   	313.68	ACR|2TLV|2VULN|2DMG|2ASPD|1AEPOI	17TLV|27DMG|38VULN|4LWND|5RCR|67ASPD|7BPWR|9AEPOI|aAME
20	11226 13112	   	313.58	ACR|2TLV|2VULN|2DMG|2ASPD|1AEPOI	17TLV|27DMG|38VULN|4LWND|5RCR|67ASPD|7BPWR|9AEPOI|aAETHUN
21	11234 62522	   	312.17	DCR|3VULN|2TLV|2DMG|1AEFBLL	14TLV|26DMG|369VULN|5DMSP|6BPWR|7AEFBLL|8RCR|aRPLT
22	14266 13121	   	312.00	ACR|3VULN|2TLV|3ASPD	17TLV|27ZMB|38aVULN|4DUR|5RCR|679ASPD|7BPWR
23	11226 36334	   	311.82	ACR|DCR|2TLV|1VULN|1AEFBLL|1DMG	16TLV|2DMG|3VULN|478LWND|59RCR|aAEFBLL
24	14266 13113	   	309.57	ACR|2TLV|2VULN|2ASPD|1AEPOI|1CDMG	17TLV|27ZMB|38VULN|4DUR|5RCR|67ASPD|7BPWR|9AEPOI|aCDMG
25	64313 31111	 * 	309.32	DCR|4VULN|3TLV|1AEFBLL	1RCVC|245aVULN|345TLV|45BPWR|6FEWX|7AEFBLL|8RCR|9LHND
26	64313 31151	   	309.32	DCR|4VULN|3TLV|1AEFBLL	1RCVC|245aVULN|345TLV|45BPWR|6FEWX|7AEFBLL|8RCR|9BEXP
