0	Index      	 *	Score 	Summary	Detail	
1	56333 22142	 * 	232.88	ACR|1BASARM|2VULN|2ASPD|1BEXP|1CDMG	1LWND|2MULARM|3RCR|4aASPD|5aVULN|6BEXP|7aDUR|8BASARM|9CDMG|aBPWR
2	42314 52113	 * 	223.85	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1aVULN|2FLTARM|3RCR|4AART|5LHND|6VENTOX|7BASARM|8ASPD|9DMG
3	42313 52115	   	222.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1VULN|2FLTARM|3RCR|4AART|5DUR|6VENTOX|7BASARM|8ASPD|9DMG|aBEXP
4	56333 32142	   	219.23	ACR|1BASARM|2VULN|2ASPD|1CDMG	1LWND|2MULARM|3RCR|4aASPD|5aVULN|6LHND|7aDUR|8BASARM|9CDMG|aBPWR
5	42311 63135	   	215.09	ACR|2VULN|1BASARM|1ASPD|1BEXP|1AART	19VULN|2FLTARM|3RCR|4AART|5RPLT|6FEWX|7ASPD|8BEXP|aBASARM
6	42331 22552	 * 	212.45	ACR|3ASPD|2VULN|3BEXP	18VULN|2FLTARM|3RCR|48aASPD|5CGEN|6ERES|789BEXP|8BPWR
7	54162 11122	 * 	212.33	ACR|3VULN|2BEXP|1ASPD|1DMG|1BASICY	158LWND|2DMG|378VULN|4RCR|68BEXP|8BPWR|9BASICY|aASPD
8	42326 22351	 * 	211.39	ACR|1BASARM|3BEXP|1VULN|1DMG	1VULN|2FLTARM|3RCR|4MLV|567BEXP|8LHND|9DMG|aBASARM
9	42331 22553	   	210.44	ACR|2VULN|3BEXP|2ASPD|1CDMG	18VULN|2FLTARM|3RCR|48ASPD|5CGEN|6ERES|789BEXP|8BPWR|aCDMG
10	13431 61113	   	209.83	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC|1SELL	1ASPD|2DMG|3LIT|4RCR|5CDMG|6BEXP|7RMIN|8SELL|9AAC|aBASARM
11	13432 22623	 * 	209.55	ACR|1BASARM|2ASPD|2DMG	18ASPD|29DMG|3LIT|4RCR|5RMIN|6FEWX|7MBVNT|aBASARM
12	13432 24523	   	209.55	ACR|1BASARM|2ASPD|2DMG	18ASPD|29DMG|3LIT|4RCR|5RMIN|6FEWX|7DUST|aBASARM
13	13432 31523	   	209.55	ACR|1BASARM|2ASPD|2DMG	18ASPD|29DMG|3LIT|4RCR|5RMIN|6DUST|7FEWX|aBASARM
14	42314 23361	 * 	209.47	ACR|3VULN|2DMG|1ASPD|1AART	189VULN|2FLTARM|3RCR|4AART|58LHND|6MBVNT|78DMG|8BPWR|aASPD
15	42316 23361	   	209.47	ACR|3VULN|2DMG|1ASPD|1AART	189VULN|2FLTARM|3RCR|4AART|58LWND|6MBVNT|78DMG|8BPWR|aASPD
16	42313 52111	   	209.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5DUR|6VENTOX|7BASARM|8ASPD|9DMG|aLHND
17	42313 52113	   	209.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5DUR|6VENTOX|7BASARM|8ASPD|9DMG|aFEWX
18	42313 52116	   	209.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5DUR|6VENTOX|7BASARM|8ASPD|9DMG|aRMIN
19	42314 52111	   	209.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5aLHND|6VENTOX|7BASARM|8ASPD|9DMG
20	42316 52111	   	209.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5LWND|6VENTOX|7BASARM|8ASPD|9DMG|aLHND
21	42316 52113	   	209.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5LWND|6VENTOX|7BASARM|8ASPD|9DMG|aFEWX
22	46313 52111	   	209.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTFST|3RCR|4AART|5DUR|6VENTOX|7BASARM|8ASPD|9DMG|aLHND
23	46313 52113	   	209.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTFST|3RCR|4AART|5DUR|6VENTOX|7BASARM|8ASPD|9DMG|aFEWX
24	42313 52112	   	209.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5DUR|6VENTOX|7BASARM|8ASPD|9DMG|aERES
25	42314 52112	   	209.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5LHND|6VENTOX|7BASARM|8ASPD|9DMG|aLEGI
26	42316 52112	   	209.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTARM|3RCR|4AART|5LWND|6VENTOX|7BASARM|8ASPD|9DMG|aERES
27	46313 52112	   	209.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1VULN|2FLTFST|3RCR|4AART|5DUR|6VENTOX|7BASARM|8ASPD|9DMG|aERES
28	56333 22163	 * 	208.43	ACR|1BASARM|2BEXP|1VULN|1ASPD|1AAC	1LWND|2MULARM|3RCR|4ASPD|5VULN|69BEXP|7DUR|8BASARM|aAAC
29	13431 43236	 * 	208.24	ACR|3ASPD|1VULN|1DMG|1AART|1CDMG	168ASPD|2DMG|3LIT|4RCR|5CDMG|7RCVC|9AART|aVULN
30	42311 63315	   	206.79	ACR|1BASARM|2ASPD|1VULN|1AART	1VULN|2FLTARM|3RCR|4AART|5RPLT|6FEWX|78ASPD|9LWND|aBASARM
31	56333 36133	   	206.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1LWND|2MULARM|3RCR|4ASPD|5VULN|6LHND|7BEXP|8BASARM|9FEWX|aDMG
32	42341 51133	   	206.57	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1VULN|2FLTARM|3RCR|4LWND|5DUST|6ASPD|7BEXP|8BASARM|9FEWX|aDMG
33	42314 33231	 * 	206.11	ACR|3VULN|2AART|1ASPD|1DMG	167VULN|2FLTARM|3RCR|4aAART|5LHND|8DMG|9ASPD
34	46314 33231	   	206.11	ACR|3VULN|2AART|1ASPD|1DMG	167VULN|2FLTFST|3RCR|4aAART|5LHND|8DMG|9ASPD
35	42331 22155	 * 	205.86	ACR|3VULN|3BEXP|2ASPD	18aVULN|2FLTARM|3RCR|4aASPD|5CGEN|6ERES|79aBEXP|aBPWR
36	13431 42152	   	205.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	16ASPD|2DMG|3LIT|4RCR|5CDMG|7CGEN|8MSLFST|9BASARM|aDUR
37	13431 42352	   	205.61	ACR|1BASARM|2ASPD|1DMG|1CDMG	16ASPD|2DMG|3LIT|4RCR|5CDMG|7CGEN|8AIRHEL|9BASARM|aDUR
38	42331 52531	 * 	205.59	ACR|2VULN|2ASPD|2BEXP|1DMG	18VULN|2FLTARM|3RCR|48ASPD|5CGEN|6AME|78BEXP|8BPWR|9ZMB|aDMG
39	13431 42151	   	205.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	16ASPD|2DMG|3LIT|4RCR|5CDMG|7CGEN|8MSLFST|9BASARM|aVENICY
40	13431 42153	   	205.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	16ASPD|2DMG|3LIT|4RCR|5CDMG|7CGEN|8MSLFST|9BASARM|aERES
41	13431 42351	   	205.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	16ASPD|2DMG|3LIT|4RCR|5CDMG|7CGEN|8AIRHEL|9BASARM|aVENICY
42	13431 42353	   	205.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	16ASPD|2DMG|3LIT|4RCR|5CDMG|7CGEN|8AIRHEL|9BASARM|aERES
43	42331 22521	   	205.49	ACR|2VULN|2ASPD|2BEXP|1DMG	18VULN|2FLTARM|3RCR|48ASPD|5CGEN|6ERES|78BEXP|8BPWR|9AME|aDMG
44	46331 22521	   	205.49	ACR|2VULN|2ASPD|2BEXP|1DMG	18VULN|2FLTFST|3RCR|48ASPD|5CGEN|6ERES|78BEXP|8BPWR|9AME|aDMG
45	42333 52521	   	205.39	ACR|2VULN|2ASPD|2BEXP|1DMG	18VULN|2FLTARM|3RCR|48ASPD|56AEFBLL|78BEXP|8BPWR|9AME|aDMG
