0	Index      	 *	Score 	Summary	Detail	
1	61113 36623	 * 	224.61	ACR|1BASARM|2ASPD|2BEXP|1DMG	1RCVC|2AAC|38BEXP|4RCR|56ASPD|7MLV|9BASARM|aDMG
2	42215 31312	 * 	211.34	ACR|3DMG|1BASARM|2BEXP	1RPLT|28DUR|38aDMG|4LWND|5RCR|6MLV|78BEXP|8BPWR|9BASARM
3	42215 51312	   	211.34	ACR|3DMG|1BASARM|2BEXP	1RPLT|28DUR|38aDMG|4LWND|5RCR|6CGEN|78BEXP|8BPWR|9BASARM
4	42215 21312	   	211.24	ACR|3DMG|1BASARM|2BEXP	1RPLT|28DUR|38aDMG|4LWND|5RCR|6TLV|78BEXP|8BPWR|9BASARM
5	66421 33312	 * 	210.63	ACR|1BASARM|1ASPD|2CDMG|1BEXP|1AART	1RCVC|27DUST|3RCR|4AART|5BEXP|68CDMG|9BASARM|aASPD
6	22613 43412	   	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DUR|2ERES|3RCR|4BEXP|57ASPD|6FEWX|8RPLT|9BASARM|aDMG
7	63314 32325	   	209.87	ACR|1BASARM|2ASPD|1DMG|1BEXP	1RCVC|2CGEN|37DUR|4RCR|56ASPD|8DMG|9BASARM|aBEXP
8	61113 62623	   	208.58	ACR|1BASARM|2BEXP|1ASPD|1DMG	17RCVC|2AAC|38BEXP|4RCR|5ASPD|6MLV|9BASARM|aDMG
9	61113 42623	   	208.48	ACR|1BASARM|2BEXP|1ASPD|1DMG	17RCVC|2AAC|38BEXP|4RCR|5ASPD|6ERES|9BASARM|aDMG
10	66413 31112	   	208.16	ACR|1BASARM|2DMG|1BEXP|1CDMG	1RCVC|2DUST|3RCR|4MDPS|5aDMG|6AME|7CDMG|8BEXP|9BASARM
11	33314 35325	   	207.31	ACR|1BASARM|2ASPD|1DMG|1BEXP	13CGEN|2DUR|4RCR|56ASPD|7RCVC|8DMG|9BASARM|aBEXP
12	61113 63623	   	206.92	ACR|1BASARM|2BEXP|1ASPD|1DMG	1RCVC|2AAC|38BEXP|4RCR|5ASPD|6MLV|7AEFBLL|9BASARM|aDMG
13	61113 43623	   	206.82	ACR|1BASARM|2BEXP|1ASPD|1DMG	1RCVC|2AAC|38BEXP|4RCR|5ASPD|6ERES|7AEFBLL|9BASARM|aDMG
14	22613 41612	   	206.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1DUR|2ERES|3RCR|4BEXP|5ASPD|6FEWX|7CDMG|8DUST|9BASARM|aDMG
15	63314 63331	 * 	206.06	ACR|1BASARM|2ASPD|1VULN|1AART	1RCVC|2CGEN|3DUR|4RCR|58ASPD|6MLV|7AART|9VULN|aBASARM
