0	Index      	 *	Score 	Summary	Detail	
1	36136 31225	 * 	241.84	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG|1AAC	1CDMG|2RCR|3AAC|4LHND|5MLV|6ASPD|7DMG|8VULN|9AART|aBASARM
2	36223 41225	 * 	238.37	ACR|1BASARM|2DMG|1VULN|2CDMG|1AART	18CDMG|2RCR|3FEWX|48DMG|5LHND|6VULN|78AME|8BPWR|9AART|aBASARM
3	36421 42211	 * 	237.46	ACR|3VULN|3DMG|3CDMG|1BEXP	18aCDMG|2RCR|3BEXP|48aDMG|5LEGI|68aVULN|7NUKE|8aBPWR|9RPLT
4	36245 32211	 * 	236.13	ACR|3DMG|3BEXP|1VULN|3CDMG	18aCDMG|2RCR|3FEWX|48aBEXP|5VULN|6ZMB|78aDMG|8aBPWR|9RPLT
5	36543 32211	   	236.13	ACR|3DMG|3BEXP|1VULN|3CDMG	18aCDMG|2RCR|3LHND|48aBEXP|5VULN|6ZMB|78aDMG|8aBPWR|9RPLT
6	36111 42226	 * 	236.03	ACR|2VULN|2DMG|1ASPD|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|4FEWX|5LEGI|68VULN|78DMG|8BPWR|9AART|aASPD
7	36543 32222	 * 	234.25	ACR|2VULN|2DMG|2BEXP|2CDMG|1AART	18CDMG|2RCR|3LHND|48BEXP|5aVULN|6ZMB|78DMG|8BPWR|9AART
8	36152 22211	   	232.32	ACR|3VULN|3DMG|3CDMG|1AAC	18aCDMG|2RCR|3AAC|48aVULN|5DUR|6LHND|78aDMG|8aBPWR|9RPLT
9	36152 62211	   	232.32	ACR|3VULN|3DMG|3CDMG|1AAC	18aCDMG|2RCR|3AAC|48aVULN|5DUR|6FEWX|78aDMG|8aBPWR|9RPLT
10	36153 22211	   	232.22	ACR|3VULN|3DMG|3CDMG|1AAC	18aCDMG|2RCR|3AAC|48aVULN|5DUST|6LHND|78aDMG|8aBPWR|9RPLT
11	36153 62211	   	232.22	ACR|3VULN|3DMG|3CDMG|1AAC	18aCDMG|2RCR|3AAC|48aVULN|5DUST|6FEWX|78aDMG|8aBPWR|9RPLT
12	36111 42211	   	232.22	ACR|3VULN|3DMG|3CDMG|1AAC	18aCDMG|2RCR|3AAC|4FEWX|5LEGI|68aVULN|78aDMG|8aBPWR|9RPLT
13	36121 42211	   	232.12	ACR|3VULN|3DMG|3CDMG|1AAC	18aCDMG|2RCR|3AAC|4DUST|5LEGI|68aVULN|78aDMG|8aBPWR|9RPLT
14	36421 42222	   	231.22	ACR|3VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|2RCR|3BEXP|48DMG|5LEGI|68aVULN|7NUKE|8BPWR|9AART
15	36422 33611	 * 	231.07	ACR|2ASPD|2BEXP|1VULN|1DMG|1AART|1CDMG	1CDMG|2RCR|38BEXP|4DMG|5ERES|67ASPD|9VULN|aAART
16	36221 42226	   	227.63	ACR|2VULN|2DMG|1ASPD|2CDMG|1AART	18CDMG|2RCR|3FEWX|48DMG|5LEGI|68VULN|7NUKE|8BPWR|9AART|aASPD
17	36421 42221	   	227.52	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP|1AAC	18CDMG|2RCR|3BEXP|48DMG|5LEGI|68VULN|7NUKE|8BPWR|9AART|aAAC
18	36543 32221	   	226.93	ACR|2DMG|1VULN|2BEXP|2CDMG|1AART|1AAC	18CDMG|2RCR|3LHND|48BEXP|5VULN|6ZMB|78DMG|8BPWR|9AART|aAAC
19	36423 42222	 * 	225.57	ACR|3VULN|2BEXP|2CDMG|1DMG|1AART	18CDMG|2RCR|38BEXP|4DMG|5LHND|68aVULN|7NUKE|8BPWR|9AART
20	36423 42211	 * 	224.42	ACR|3VULN|3BEXP|3CDMG|1DMG	18aCDMG|2RCR|38aBEXP|4DMG|5LHND|68aVULN|7NUKE|8aBPWR|9RPLT
21	36425 13123	 * 	224.12	ACR|1BASARM|3BEXP|1DMG|2CDMG	18CDMG|2RCR|368BEXP|4DMG|5SNIHEL|78DUR|8BPWR|9FLTFST|aBASARM
22	36221 42211	   	223.81	ACR|3VULN|3DMG|3CDMG	18aCDMG|2RCR|3FEWX|48aDMG|5LEGI|68aVULN|7NUKE|8aBPWR|9RPLT
23	33314 26111	 * 	223.12	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2CGEN|3RCR|4BEXP|5LIT|6DMG|7AART|8BASARM|9VULN|aLWND
24	33314 26115	   	223.12	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2CGEN|3RCR|4BEXP|5LIT|6DMG|7AART|8BASARM|9VULN|aMLV
25	33314 26123	   	223.12	ACR|1BASARM|1DMG|1VULN|1AART|1BEXP|1CDMG	1CDMG|2CGEN|3RCR|4BEXP|5LIT|6DMG|7AART|8BASARM|9ZMB|aVULN
26	32314 26111	   	223.02	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2AME|3RCR|4BEXP|5LIT|6DMG|7AART|8BASARM|9VULN|aLWND
27	32314 26115	   	223.02	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2AME|3RCR|4BEXP|5LIT|6DMG|7AART|8BASARM|9VULN|aMLV
28	32314 26123	   	223.02	ACR|1BASARM|1DMG|1VULN|1AART|1BEXP|1CDMG	1CDMG|2AME|3RCR|4BEXP|5LIT|6DMG|7AART|8BASARM|9ZMB|aVULN
29	33314 26112	   	223.02	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2CGEN|3RCR|4BEXP|5LIT|6DMG|7AART|8BASARM|9VULN|aTLV
30	33314 26411	 * 	222.93	ACR|3BEXP|2VULN|1DMG|2CDMG|1AART	1aCDMG|2CGEN|3RCR|49aBEXP|5LIT|6DMG|7AART|8aVULN|aBPWR
31	32314 26112	   	222.92	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2AME|3RCR|4BEXP|5LIT|6DMG|7AART|8BASARM|9VULN|aTLV
32	36122 31425	 * 	222.88	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG|1AAC	1CDMG|2RCR|3AAC|4DUST|5ERES|6ASPD|7DMG|8AART|9BELT|aBASARM
33	36423 42221	   	222.87	ACR|2VULN|2BEXP|1DMG|2CDMG|1AART|1AAC	18CDMG|2RCR|38BEXP|4DMG|5LHND|68VULN|7NUKE|8BPWR|9AART|aAAC
34	32314 26411	   	222.83	ACR|3BEXP|2VULN|1DMG|2CDMG|1AART	1aCDMG|2AME|3RCR|49aBEXP|5LIT|6DMG|7AART|8aVULN|aBPWR
35	51122 31722	 * 	222.11	ACR|2VULN|1BASARM|1AART|1ASPD|1CDMG	1AART|2RPLT|3MBVNT|4RCVC|5RCR|67VULN|8BASARM|9CDMG|aASPD
36	36152 22221	 * 	221.91	ACR|2VULN|2DMG|2CDMG|2AAC|1AART	18CDMG|2RCR|3aAAC|48VULN|5DUR|6LHND|78DMG|8BPWR|9AART
37	36111 42221	   	221.81	ACR|2VULN|2DMG|2CDMG|2AAC|1AART	18CDMG|2RCR|3aAAC|4FEWX|5LEGI|68VULN|78DMG|8BPWR|9AART
38	36153 22221	   	221.81	ACR|2VULN|2DMG|2CDMG|2AAC|1AART	18CDMG|2RCR|3aAAC|48VULN|5DUST|6LHND|78DMG|8BPWR|9AART
39	36121 42221	   	221.71	ACR|2VULN|2DMG|2CDMG|2AAC|1AART	18CDMG|2RCR|3aAAC|4DUST|5LEGI|68VULN|78DMG|8BPWR|9AART
40	36136 32225	   	220.78	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG|1AAC	1CDMG|2RCR|3AAC|4LHND|5MLV|6ASPD|7ZMB|8VULN|9AART|aBASARM
41	36152 21225	 * 	220.66	ACR|2VULN|1BASARM|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUR|6LHND|78AME|8BPWR|9AART|aBASARM
42	36153 21225	   	220.56	ACR|2VULN|1BASARM|2CDMG|1AART|1AAC	18CDMG|2RCR|3AAC|48VULN|5DUST|6LHND|78AME|8BPWR|9AART|aBASARM
43	36422 32161	 * 	219.79	ACR|2BEXP|1VULN|1ASPD|1DMG|2CDMG|1AART	18CDMG|2RCR|39BEXP|4DMG|5ERES|6ASPD|7VULN|aAART
44	36463 32222	   	219.41	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|2RCR|3BEXP|48LHND|5aVULN|6ZMB|78DMG|8BPWR|9AART
45	36421 42223	   	219.21	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|2RCR|3BEXP|48DMG|5LEGI|68VULN|7NUKE|8BPWR|9AART|aZMB
46	36423 41222	   	219.21	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|2RCR|3BEXP|48DMG|5LHND|6aVULN|78AME|8BPWR|9AART
47	36543 32223	   	218.62	ACR|2DMG|1VULN|2BEXP|2CDMG|1AART	18CDMG|2RCR|3LHND|48BEXP|5VULN|6ZMB|78DMG|8BPWR|9AART|aRPLT
48	33313 46533	 * 	218.21	ACR|1BASARM|2BEXP|1VULN|1ASPD|1CDMG	1CDMG|2CGEN|3RCR|48BEXP|5DUST|6VULN|7BASARM|9LHND|aASPD
49	36422 33411	   	218.14	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2RCR|3BEXP|4DMG|5ERES|67ASPD|8RCVC|9VULN|aAART
50	32313 46533	   	218.11	ACR|1BASARM|2BEXP|1VULN|1ASPD|1CDMG	1CDMG|2AME|3RCR|48BEXP|5DUST|6VULN|7BASARM|9LHND|aASPD
51	36443 31122	 * 	217.79	ACR|3BEXP|2AART|2CDMG|1VULN|1AAC	15CDMG|2RCR|345BEXP|5BPWR|69AART|7AEFBLL|8AAC|aVULN
52	36422 33361	 * 	217.72	ACR|3ASPD|2BEXP|1DMG|2CDMG	19CDMG|2RCR|39BEXP|4DMG|5ERES|679ASPD|8MBVNT|9BPWR|aZMB
53	36422 33364	   	217.72	ACR|3ASPD|2BEXP|1DMG|2CDMG	19CDMG|2RCR|39BEXP|4DMG|5ERES|679ASPD|8MBVNT|9BPWR|aLIT
54	36422 33362	   	217.62	ACR|3ASPD|2BEXP|1DMG|2CDMG	19CDMG|2RCR|39BEXP|4DMG|5aERES|679ASPD|8MBVNT|9BPWR
55	36221 42222	   	217.57	ACR|3VULN|2DMG|2CDMG|1AART	18CDMG|2RCR|3FEWX|48DMG|5LEGI|68aVULN|7NUKE|8BPWR|9AART
56	36543 32232	   	217.52	ACR|2DMG|1VULN|2BEXP|2CDMG|1AART	18CDMG|2RCR|3LHND|48BEXP|5VULN|6ZMB|78DMG|8BPWR|9ERES|aAART
57	36222 64123	 * 	217.42	ACR|2DMG|2AART|3CDMG|1VULN	179CDMG|2RCR|3FEWX|49DMG|59ERES|68AART|9BPWR|aVULN
58	36422 33142	 * 	216.24	ACR|3ASPD|1DMG|1VULN|1BEXP|1CDMG	1CDMG|2RCR|3BEXP|4DMG|5ERES|679ASPD|8CGEN|aVULN
59	36422 33211	   	216.13	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP|1CDMG	1CDMG|2RCR|3BEXP|4DMG|58ERES|67ASPD|9VULN|aAART
60	51122 31713	 * 	215.46	ACR|3VULN|1BASARM|1AART|1DMG	1AART|2RPLT|3MBVNT|4RCVC|5RCR|679VULN|8BASARM|aDMG
61	33313 46633	   	215.00	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1CDMG|2CGEN|3RCR|4BEXP|5DUST|68VULN|7BASARM|9LHND|aASPD
