0	Index      	 *	Score 	Summary	Detail	
1	31463 47743	 * 	221.60	ACR|2BASARM|2DMG|1ASPD|1VULN	1MBVNT|28DUR|3RMIN|4RCR|5MDPS|68DMG|78BASARM|8BPWR|9ASPD|aVULN
2	64323 34223	 * 	216.92	ACR|4VULN|1BASARM|1DMG|1BEXP	1489VULN|2MDPS|3RCR|5CGEN|6BEXP|7DMG|aBASARM
3	64321 34231	 * 	214.37	ACR|4VULN|2DMG|1ASPD|1BEXP	1489VULN|2MDPS|3RCR|57DMG|6BEXP|aASPD
4	64321 42323	 * 	214.35	ACR|3VULN|1BASARM|2DMG	146VULN|2MDPS|3RCR|56DMG|6BPWR|7AEMAG|8CGEN|9MBVNT|aBASARM
5	21621 62631	 * 	213.93	ACR|1BASARM|2DMG|2BEXP|1CDMG	1ERES|2DUR|38BEXP|4RCR|56DMG|7AEMAG|9BASARM|aCDMG
6	64341 23233	 * 	212.45	ACR|3VULN|2ASPD|2CDMG|1AART	18aVULN|2MDPS|3RCR|4ERES|5aCDMG|6AART|7aASPD|9RPLT|aBPWR
7	64321 34233	 * 	209.96	ACR|4VULN|3DMG|1BEXP	1489VULN|2MDPS|3RCR|57aDMG|6BEXP
8	64321 41212	   	208.39	ACR|4VULN|2DMG|1BEXP|1CDMG	1468VULN|2MDPS|3RCR|56DMG|6BPWR|7BEXP|9CDMG|aRCVC
9	64321 41211	   	208.06	ACR|4VULN|2DMG|1BEXP|1CDMG	1468VULN|2MDPS|3RCR|56DMG|6BPWR|7BEXP|9CDMG|aDUR
10	64321 41213	   	208.06	ACR|4VULN|2DMG|1BEXP|1CDMG	1468VULN|2MDPS|3RCR|56DMG|6BPWR|7BEXP|9CDMG|aLHND
11	64321 41123	   	207.96	ACR|4VULN|2DMG|1BEXP|1CDMG	1469VULN|2MDPS|3RCR|56DMG|6BPWR|7BEXP|8ERES|aCDMG
12	64321 41223	   	207.96	ACR|4VULN|2DMG|1BEXP|1CDMG	1468VULN|2MDPS|3RCR|56DMG|6BPWR|7BEXP|9TLV|aCDMG
13	64321 43323	   	207.96	ACR|4VULN|2DMG|1BEXP|1CDMG	1469VULN|2MDPS|3RCR|56DMG|6BPWR|7AME|8BEXP|aCDMG
14	64323 34213	   	207.14	ACR|3VULN|1BASARM|1DMG|1BEXP	148VULN|2MDPS|3RCR|5CGEN|6BEXP|7DMG|9DMSP|aBASARM
15	31461 87243	 * 	206.81	ACR|1BASARM|2ASPD|1DMG|1VULN	1MBVNT|2DUR|3RMIN|4RCR|5DMG|6MDPS|7BASARM|89ASPD|aVULN
16	31463 47243	   	206.81	ACR|1BASARM|2ASPD|1DMG|1VULN	1MBVNT|2DUR|3RMIN|4RCR|5MDPS|6DMG|7BASARM|89ASPD|aVULN
17	64311 24123	   	206.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1VULN|2MDPS|3RCR|4DUR|5BEXP|6FEWX|7ASPD|8DMG|9CGEN|aBASARM
18	64311 61123	   	206.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1VULN|2MDPS|3RCR|4DUR|5BEXP|6ASPD|7LWND|8DMG|9CGEN|aBASARM
19	31463 47741	   	206.64	ACR|2BASARM|2DMG|1ASPD	1MBVNT|28aDUR|3RMIN|4RCR|5MDPS|68DMG|78BASARM|8BPWR|9ASPD
20	31463 47742	   	206.64	ACR|2BASARM|2DMG|1ASPD	1MBVNT|28DUR|3RMIN|4RCR|5MDPS|68DMG|78BASARM|8BPWR|9ASPD|aLHND
21	31463 47744	   	206.54	ACR|2BASARM|2DMG|1ASPD	1MBVNT|28DUR|3RMIN|4RCR|5MDPS|68DMG|78BASARM|8BPWR|9ASPD|aDUST
22	32761 42243	 * 	206.47	ACR|1BASARM|2VULN|2BEXP|1DMG	1MBVNT|2CGEN|39BEXP|4RCR|5DMG|68VULN|7FEWX|aBASARM
23	32761 44446	   	206.47	ACR|1BASARM|2VULN|2BEXP|1DMG	1MBVNT|2CGEN|39BEXP|4RCR|5DMG|6aVULN|7LHND|8BASARM
24	32761 48143	   	206.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1MBVNT|2CGEN|39BEXP|4RCR|5DMG|67VULN|8FEWX|aBASARM
25	32761 48333	   	206.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1MBVNT|2CGEN|38BEXP|4RCR|5DMG|67VULN|9FEWX|aBASARM
26	34461 48143	   	206.47	ACR|2VULN|1BASARM|2BEXP|1DMG	1MBVNT|2FEWX|3CGEN|4RCR|5DMG|67VULN|89BEXP|aBASARM
27	32761 23446	   	206.37	ACR|1BASARM|2VULN|2BEXP|1DMG	1MBVNT|2CGEN|39BEXP|4RCR|5DMG|6DUST|7aVULN|8BASARM
28	32761 41446	   	206.37	ACR|1BASARM|2VULN|2BEXP|1DMG	1MBVNT|2CGEN|39BEXP|4RCR|5DMG|6aVULN|7DUST|8BASARM
29	64341 23333	 * 	205.86	ACR|2VULN|2ASPD|3CDMG|1AART	1aVULN|2MDPS|3RCR|4ERES|58aCDMG|6AART|7aASPD|9RPLT|aBPWR
30	31463 47246	   	205.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1MBVNT|2DUR|3RMIN|4RCR|5MDPS|6DMG|7BASARM|89ASPD|aBEXP
31	64321 24111	   	204.86	ACR|3VULN|3DMG|1AART	14aVULN|2MDPS|3RCR|57aDMG|6LEGI|8aERES|9AART|aBPWR
32	64312 15223	 * 	203.37	ACR|4VULN|1BASARM|1ASPD	1589VULN|2MDPS|3RCR|45DUR|5BPWR|6ASPD|7CGEN|aBASARM
33	64341 32323	   	202.56	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1VULN|2MDPS|3RCR|4ERES|5CDMG|6TLV|7LSRICY|8ASPD|9BASARM|aAART
34	64322 43222	   	202.19	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART	145VULN|2MDPS|3RCR|6AART|7DMG|8SNITOX|9BEXP|aASPD
35	32761 42223	   	202.14	ACR|3VULN|1BASARM|1DMG|1BEXP	1MBVNT|2CGEN|3BEXP|4RCR|5DMG|689VULN|7FEWX|aBASARM
36	32761 48123	   	202.14	ACR|3VULN|1BASARM|1DMG|1BEXP	1MBVNT|2CGEN|3BEXP|4RCR|5DMG|679VULN|8FEWX|aBASARM
37	34461 48123	   	202.14	ACR|3VULN|1BASARM|1DMG|1BEXP	1MBVNT|2FEWX|3CGEN|4RCR|5DMG|679VULN|8BEXP|aBASARM
38	32761 23223	   	202.04	ACR|3VULN|1BASARM|1DMG|1BEXP	1MBVNT|2CGEN|3BEXP|4RCR|5DMG|6DUST|789VULN|aBASARM
39	32761 41223	   	202.04	ACR|3VULN|1BASARM|1DMG|1BEXP	1MBVNT|2CGEN|3BEXP|4RCR|5DMG|689VULN|7DUST|aBASARM
40	32761 48423	   	202.04	ACR|3VULN|1BASARM|1DMG|1BEXP	1MBVNT|2CGEN|3BEXP|4RCR|5DMG|679VULN|8DUST|aBASARM
41	64321 43231	   	200.72	ACR|4VULN|2DMG|1ASPD	1469VULN|2MDPS|3RCR|56DMG|6BPWR|7AME|8MLV|aASPD
42	64321 15231	 * 	200.62	ACR|4VULN|2ASPD|1DMG	1489VULN|2MDPS|3RCR|5DMG|6AME|7aASPD
43	64321 24231	   	200.62	ACR|4VULN|2DMG|1ASPD	1489VULN|2MDPS|3RCR|57DMG|6LEGI|aASPD
44	64432 13231	 * 	200.49	ACR|2VULN|2ASPD|2BEXP|1DMG	15VULN|2MDPS|3RPLT|4RCR|6aASPD|79BEXP|8DMG
45	21621 62335	   	200.28	ACR|1BASARM|2DMG|2BEXP	1ERES|28DUR|3aBEXP|4RCR|56DMG|7AEMAG|9BASARM
46	21621 62632	   	200.28	ACR|1BASARM|2DMG|2BEXP	1ERES|2DUR|38BEXP|4RCR|56DMG|7AEMAG|9BASARM|aCGEN
47	21621 62633	   	200.28	ACR|1BASARM|2DMG|2BEXP	1ERES|2DUR|38BEXP|4RCR|56DMG|7AEMAG|9BASARM|aRPLT
48	31463 47731	   	200.23	ACR|2BASARM|2DMG|1CDMG	1MBVNT|28DUR|3RMIN|4RCR|5MDPS|68DMG|78BASARM|8BPWR|9LWND|aCDMG
49	64321 41231	 * 	200.20	ACR|5VULN|2DMG|1BEXP	14689VULN|2MDPS|3RCR|56DMG|6BPWR|7BEXP|aLWND
50	64321 41233	   	200.20	ACR|5VULN|2DMG|1BEXP	14689VULN|2MDPS|3RCR|56DMG|6BPWR|7BEXP|aCGEN
51	64341 32322	   	199.96	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1VULN|2MDPS|3RCR|4ERES|5CDMG|6TLV|7LSRICY|8ASPD|9BASARM|aBEXP
52	21621 62331	   	199.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1ERES|28DUR|3BEXP|4RCR|56DMG|7AEMAG|9BASARM|aCDMG
53	64323 24211	   	198.36	ACR|4VULN|2DMG|1AART	148aVULN|2MDPS|3RCR|5aCGEN|6LEGI|7aDMG|9AART|aBPWR
54	64362 11211	   	198.36	ACR|4VULN|2ASPD|1AART	158aVULN|2MDPS|3RCR|45LHND|5aBPWR|6aASPD|7aERES|9AART
55	22121 52631	   	198.28	ACR|1BASARM|2BEXP|1DMG|1CDMG	1ERES|28BEXP|3LEGI|4RCR|5DMG|6RCVC|7AEMAG|9BASARM|aCDMG
56	64324 11211	   	198.26	ACR|4VULN|2ASPD|1AART	148aVULN|2MDPS|3RCR|5LWND|6aASPD|7aERES|9AART|aBPWR
57	64321 21211	   	198.16	ACR|4VULN|2DMG|1AART	148aVULN|2MDPS|3RCR|5aDMG|6LEGI|7aERES|9AART|aBPWR
58	64333 24211	   	198.16	ACR|4VULN|2DMG|1AART	158aVULN|2MDPS|3RCR|4aTLV|6LEGI|7aDMG|9AART|aBPWR
59	34461 48346	   	198.00	ACR|2VULN|1BASARM|2DMG	1MBVNT|28FEWX|3CGEN|4RCR|5aDMG|67VULN|9BASARM
60	64341 23133	   	197.58	ACR|2VULN|2ASPD|2CDMG|1AART	1aVULN|2MDPS|3RCR|4ERES|5aCDMG|6AART|7aASPD|8DMSP|9RPLT|aBPWR
61	33514 11517	 * 	197.43	ACR|3ASPD|2BEXP|3CDMG	1MBVNT|2RCVC|35AAC|4RCR|68aCDMG|78aASPD|8aBPWR|9aBEXP
62	38164 14412	 * 	197.29	ACR|2DMG|1VULN|1ASPD|2CDMG|1AART	1MBVNT|28MLV|3LEGI|4RCR|58CDMG|6AART|78DMG|8BPWR|9VULN|aASPD
63	64321 34212	   	196.92	ACR|3VULN|2DMG|1BEXP|1CDMG	148VULN|2MDPS|3RCR|57DMG|6BEXP|9CDMG|aRCVC
64	64312 14223	   	196.88	ACR|4VULN|1ASPD|1DMG|1CDMG	1589VULN|2MDPS|3RCR|45DUR|5BPWR|6ASPD|7DMG|aCDMG
65	64321 41113	   	196.59	ACR|3VULN|2DMG|1BEXP|1CDMG	146VULN|2MDPS|3RCR|56DMG|6BPWR|7BEXP|8ERES|9DMSP|aCDMG
66	64321 43313	   	196.59	ACR|3VULN|2DMG|1BEXP|1CDMG	146VULN|2MDPS|3RCR|56DMG|6BPWR|7AME|8BEXP|9DMSP|aCDMG
67	64321 34211	   	196.59	ACR|3VULN|2DMG|1BEXP|1CDMG	148VULN|2MDPS|3RCR|57DMG|6BEXP|9CDMG|aDUR
68	64321 34213	   	196.59	ACR|3VULN|2DMG|1BEXP|1CDMG	148VULN|2MDPS|3RCR|57DMG|6BEXP|9CDMG|aLHND
69	32161 54211	 * 	196.52	ACR|2VULN|2DMG|2BEXP|1AART	1MBVNT|2aCGEN|3LEGI|4RCR|59DMG|6AART|7aVULN|8aBEXP|aBPWR
