0	Index      	 *	Score 	Summary	Detail	
1	61361 33512	 * 	239.44	ACR|3ASPD|2VULN|1BASARM|1AART	15aASPD|2LIT|3RCR|4AART|69VULN|7MLV|8BASARM
2	61361 33513	   	221.48	ACR|2VULN|1BASARM|2ASPD|1AART	15ASPD|2aLIT|3RCR|4AART|69VULN|7MLV|8BASARM
3	61363 33512	   	221.48	ACR|2VULN|1BASARM|2ASPD|1AART	1aASPD|25LIT|3RCR|4AART|69VULN|7MLV|8BASARM
4	61361 33511	   	221.38	ACR|2VULN|1BASARM|2ASPD|1AART	15ASPD|2LIT|3RCR|4AART|69VULN|7MLV|8BASARM|aMBVNT
5	61312 46133	 * 	212.77	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24LIT|3RCR|4BPWR|5LWND|6VULN|7MDPS|8BASARM|9RCVC|aDMG
6	34532 22126	 * 	212.61	ACR|1BASARM|3BEXP|1ASPD|1AART	1AART|2AEMAG|3RCR|457BEXP|6FEWX|8LEGI|9BASARM|aASPD
7	61311 46113	   	212.01	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24aLIT|3RCR|4BPWR|5FEWX|6VULN|7MDPS|8BASARM|9DMG
8	61312 46113	   	212.01	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24aLIT|3RCR|4BPWR|5LWND|6VULN|7MDPS|8BASARM|9DMG
9	61311 46111	   	211.91	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24LIT|3RCR|4BPWR|5FEWX|6VULN|7aMDPS|8BASARM|9DMG
10	61311 46112	   	211.91	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24LIT|3RCR|4BPWR|5FEWX|6VULN|7MDPS|8BASARM|9DMG|aERES
11	61311 46123	   	211.91	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24LIT|3RCR|4BPWR|5FEWX|6VULN|79MDPS|8BASARM|aDMG
12	61312 46111	   	211.91	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24LIT|3RCR|4BPWR|5LWND|6VULN|7aMDPS|8BASARM|9DMG
13	61312 46112	   	211.91	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24LIT|3RCR|4BPWR|5LWND|6VULN|7MDPS|8BASARM|9DMG|aERES
14	61312 46123	   	211.91	ACR|1BASARM|2ASPD|1VULN|1DMG	14ASPD|24LIT|3RCR|4BPWR|5LWND|6VULN|79MDPS|8BASARM|aDMG
15	61332 13113	 * 	211.91	ACR|1BASARM|2DMG|1VULN|1ASPD	1ASPD|2LIT|3RCR|4LWND|5DUST|6VULN|7FEWX|8BASARM|9aDMG
16	61312 33234	 * 	210.64	ACR|3ASPD|2DMG|2BEXP	14aASPD|248LIT|3RCR|4aBPWR|56LWND|7aBEXP|9aDMG
17	32216 21552	 * 	210.41	DCR|3VULN|2ASPD|2DMG|1BASICY|1AART	1AART|289VULN|39ASPD|4ZMB|5BASICY|69DMG|7RMIN|9BPWR|aRCR
