0	Index      	 *	Score 	Summary	Detail	
1	15423 23263	 * 	211.41	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1CGEN|2MDPS|3VULN|4DMG|5RCR|6aBEXP|7ASPD|8AME|9BASARM
2	21252 33332	 * 	209.29	ACR|1BASARM|2ASPD|1AART|1BEXP	1LIT|2RCR|34RMIN|5BEXP|69ASPD|7MLV|8AART|aBASARM
3	21254 63332	   	209.29	ACR|1BASARM|2ASPD|1AART|1BEXP	1LIT|2RCR|34RMIN|59ASPD|6MLV|7BEXP|8AART|aBASARM
4	21252 32332	   	209.19	ACR|1BASARM|2ASPD|1AART|1BEXP	1LIT|2RCR|34RMIN|5BEXP|69ASPD|7TLV|8AART|aBASARM
5	21254 43332	   	209.19	ACR|1BASARM|2ASPD|1AART|1BEXP	1LIT|2RCR|34RMIN|59ASPD|6TLV|7BEXP|8AART|aBASARM
6	21156 15323	 * 	209.12	ACR|3DMG|3BEXP|1ASPD	179LIT|2RCR|3SNIHEL|479BEXP|5MDPS|679DMG|79BPWR|8LEGI|aASPD
7	21142 12322	   	209.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1LIT|2RCR|3SNIHEL|47ASPD|5AAC|6BEXP|8LHND|9CDMG|aBASARM
8	21142 12222	   	208.99	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1LIT|2RCR|3SNIHEL|47ASPD|5AAC|6BEXP|8LEGI|9CDMG|aBASARM
9	21534 51113	 * 	206.77	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	1LIT|2RCR|3MDPS|4AART|58DMG|6CDMG|79BEXP|aVULN
10	21252 33352	   	206.54	ACR|1BASARM|2BEXP|1ASPD|1AART	1LIT|2RCR|34RMIN|59BEXP|6ASPD|7MLV|8AART|aBASARM
11	21156 13623	   	205.06	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1LIT|2RCR|3SNIHEL|4BEXP|5MDPS|6DMG|7DUST|8BASARM|9AART|aCDMG
12	15423 23261	   	204.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AAC	1CGEN|2MDPS|3VULN|4DMG|5RCR|6BEXP|7ASPD|8AME|9BASARM|aAAC
