0	Index      	 *	Score 	Summary	Detail	
1	12212 32626	 * 	228.66	ACR|3ASPD|2VULN|2BEXP|1DMG|1AAC	18VULN|26BEXP|38LHND|4RCR|5AAC|789ASPD|8BPWR|aDMG
2	12214 22626	   	223.16	ACR|3ASPD|2VULN|2BEXP|1DMG	18VULN|28BEXP|3LHND|4RCR|5RCVC|6CGEN|789ASPD|8BPWR|aDMG
3	12314 22653	   	221.15	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	18VULN|28BEXP|3DUR|4RCR|5RCVC|6CGEN|78ASPD|8BPWR|9CDMG|aDMG
4	12132 36336	 * 	220.04	ACR|2VULN|1BASARM|2BEXP|1ASPD|1CDMG	17VULN|27BEXP|3FEWX|4CDMG|5RCR|67CGEN|7BPWR|8ASPD|9DUST|aBASARM
5	12332 36336	   	220.04	ACR|2VULN|1BASARM|2BEXP|1ASPD|1CDMG	17VULN|27BEXP|3DUR|4CDMG|5RCR|67CGEN|7BPWR|8ASPD|9DUST|aBASARM
6	12212 24453	 * 	219.79	ACR|1BASARM|1VULN|1ASPD|1BASICY|2AAC|1BEXP|1SELL	1VULN|2BEXP|3LHND|4RCR|5aAAC|6BASICY|7SELL|8BASARM|9ASPD
7	12312 24453	 * 	219.79	ACR|1BASARM|1VULN|1ASPD|1BASICY|2AAC|1BEXP|1SELL	1VULN|2BEXP|3DUR|4RCR|5aAAC|6BASICY|7SELL|8BASARM|9ASPD
8	21313 26334	 * 	218.90	ACR|1BASARM|2AART|2BEXP|1BASICY	19BEXP|2DUST|3DUR|4RCR|57AART|6MLV|8BASICY|aBASARM
9	12111 22653	   	218.35	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	18VULN|28BEXP|35FEWX|4RCR|6CGEN|78ASPD|8BPWR|9CDMG|aDMG
10	12313 22653	   	218.35	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	18VULN|28BEXP|35DUR|4RCR|6CGEN|78ASPD|8BPWR|9CDMG|aDMG
11	12212 32621	 * 	217.86	ACR|3ASPD|2VULN|3BEXP|1AAC	18VULN|26aBEXP|38LHND|4RCR|5AAC|789ASPD|8BPWR
12	12312 32621	   	217.86	ACR|3ASPD|2VULN|3BEXP|1AAC	18VULN|26aBEXP|38DUR|4RCR|5AAC|789ASPD|8BPWR
13	24332 13652	 * 	217.49	ACR|2BASARM|3BEXP|1ASPD|1CDMG	19aBEXP|2LEGI|3aDUR|4CDMG|5RCR|6DMSP|7ASPD|8aBASARM|aBPWR
14	12542 31413	 * 	216.77	3ASPD|3DMG|1BASARM|3BEXP|1VULN	1VULN|29aBEXP|3CGEN|4BASARM|59aDMG|6AME|79aASPD|8MBVNT|9aBPWR
