0	Index      	 *	Score 	Summary	Detail	
1	32133 31162	 * 	301.47	DCR|DCR|3VULN|2TLV|1DUR	18CGEN|2DUR|368VULN|48TLV|5TBNT|7aRCR|8BPWR|9AEBURN
2	36133 31132	   	287.72	DCR|DCR|3VULN|2TLV	18CGEN|29DUST|368VULN|48TLV|5TBNT|7aRCR|8BPWR
3	36133 31162	   	287.72	DCR|DCR|3VULN|2TLV	18CGEN|2DUST|368VULN|48TLV|5TBNT|7aRCR|8BPWR|9AEBURN
4	55133 31162	   	287.72	DCR|DCR|3VULN|2TLV	18BEXP|2ERES|368VULN|48TLV|5TBNT|7aRCR|8BPWR|9AEBURN
5	13122 53531	   	282.25	DCR|DCR|2VULN|1TLV|1DMG	1DMG|2LHND|36VULN|4RPLT|5ASPD|7BBNT|89RCR|aTLV
6	32133 31562	 * 	281.25	DCR|DCR|2VULN|2DUR|1TLV	1CGEN|28DUR|36VULN|4TLV|5TBNT|7aRCR|9AEBURN
7	32133 31362	   	279.13	DCR|DCR|2VULN|2TLV|1DUR	1CGEN|2DUR|36VULN|48TLV|5TBNT|7aRCR|9AEBURN
8	13122 53532	   	278.18	DCR|DCR|3VULN|1DMG	1DMG|2LHND|36aVULN|4RPLT|5ASPD|7BBNT|89RCR
9	11214 26532	 * 	273.63	DCR|DCR|2DMG|1VULN|1TLV	1aDMG|2ASPD|3BBNT|4VULN|5TLV|6CGEN|7RPLT|89RCR
10	11314 26532	   	273.63	DCR|DCR|2DMG|1VULN|1TLV	1aDMG|2ASPD|3TBNT|4VULN|5TLV|6CGEN|7RPLT|89RCR
11	11214 36532	   	273.53	DCR|DCR|2DMG|1VULN|1TLV	1aDMG|2ASPD|3BBNT|4VULN|5TLV|6ERES|7RPLT|89RCR
12	11314 36532	   	273.53	DCR|DCR|2DMG|1VULN|1TLV	1aDMG|2ASPD|3TBNT|4VULN|5TLV|6ERES|7RPLT|89RCR
13	11212 26532	   	271.65	DCR|DCR|2VULN|1DMG|1MLV	1DMG|2ASPD|3BBNT|4aVULN|5MLV|6CGEN|7RPLT|89RCR
14	11312 26532	   	271.65	DCR|DCR|2VULN|1DMG|1MLV	1DMG|2ASPD|3TBNT|4aVULN|5MLV|6CGEN|7RPLT|89RCR
15	11212 26531	   	271.65	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3BBNT|4VULN|5MLV|6CGEN|7RPLT|89RCR|aTLV
16	11312 26531	   	271.65	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3TBNT|4VULN|5MLV|6CGEN|7RPLT|89RCR|aTLV
17	11212 36532	   	271.55	DCR|DCR|2VULN|1DMG|1MLV	1DMG|2ASPD|3BBNT|4aVULN|5MLV|6ERES|7RPLT|89RCR
18	11312 36532	   	271.55	DCR|DCR|2VULN|1DMG|1MLV	1DMG|2ASPD|3TBNT|4aVULN|5MLV|6ERES|7RPLT|89RCR
19	11212 36531	   	271.55	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3BBNT|4VULN|5MLV|6ERES|7RPLT|89RCR|aTLV
20	11312 36531	   	271.55	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DMG|2ASPD|3TBNT|4VULN|5MLV|6ERES|7RPLT|89RCR|aTLV
