0	Index      	 *	Score 	Summary	Detail	
1	11452 12147	 * 	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7VULN|8DUR|aAART
2	11452 12148	   	243.49	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7VULN|8DUR|aASPD
3	42111 56113	 * 	240.68	DCR|2VULN|3DMG|2TLV	1DUST|2TBNT|35TLV|457DMG|5BPWR|6aVULN|8RCR|9ASPD
4	42311 62334	 * 	240.19	DCR|DCR|2DMG|1VULN	1DUST|2TBNT|356ERES|45DMG|5BPWR|78RCR|9RAT|aVULN
5	42111 31255	   	238.67	DCR|2VULN|2DMG|2TLV|1CDMG	1DUST|2TBNT|35TLV|45DMG|5BPWR|6ASPD|7aVULN|8CDMG|9RCR
6	11452 12142	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7VULN|8DUR|aLHND
7	11452 12144	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7VULN|8DUR|aCGEN
8	11452 12141	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7VULN|8DUR|aFRZFST
9	11452 12143	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1MSE	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7VULN|8DUR|aMSE
10	11452 12146	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2LIT|3DMG|4ZMB|5MBVNT|69RCR|7VULN|8DUR|aAEFRZ
11	23331 53426	 * 	235.75	DCR|2VULN|2DMG|2MLV|2DUR	18DUR|25AEFBLL|3RPLT|45MLV|58BPWR|68VULN|78DMG|9CGEN|aRCR
12	25111 32663	   	235.70	DCR|DCR|2DMG|1DUR|1AART	1DUR|2LIT|3MDPS|48DMG|5BELT|6aRCR|7AART|9LHND
13	24222 52641	 * 	234.50	DCR|DCR|3DUR|1FLTARM	18aDUR|2BELT|3FLTARM|4FEWX|5LWND|69RCR|7MBVNT
14	42311 62362	 * 	234.30	DCR|DCR|2DMG|1TLV	1DUST|2TBNT|356ERES|45DMG|5BPWR|78RCR|9LHND|aTLV
15	25362 62223	 * 	234.05	DCR|2VULN|2DMG|2DUR|1TLV	14DUR|246LIT|3TBNT|46BPWR|56VULN|7RCR|8aDMG|9TLV
16	25353 34112	   	233.95	DCR|2VULN|2DMG|2DUR|1TLV	16DUR|2LIT|3TBNT|49VULN|56DMG|6BPWR|7RCR|8LWND|aTLV
17	25353 34212	   	233.85	DCR|2VULN|2DMG|2DUR|1TLV	16DUR|2LIT|3TBNT|49VULN|56DMG|6BPWR|7RCR|8DUST|aTLV
18	12432 25321	   	231.79	DCR|DCR|1VULN|1MLV|1AART	1RAT|2AART|3AME|4ERES|5VULN|69RCR|7DUST|8LSRREG|aMLV
19	12432 63621	   	231.79	DCR|DCR|1VULN|1MLV|1AART	1RAT|2AART|3AME|4ERES|5VULN|6DUST|7AIRHEA|89RCR|aMLV
