0	Index      	 *	Score 	Summary	Detail	
1	23631 11243	 * 	291.03	DCR|DCR|3VULN|1TLV|1CDMG	1CGEN|2TLV|346VULN|5CDMG|7MDPS|8RAT|9aRCR
2	23441 11243	 * 	279.23	DCR|DCR|2VULN|2TLV|1CDMG	1CGEN|23TLV|46VULN|5CDMG|7MDPS|8RAT|9aRCR
3	23632 41243	   	277.14	DCR|DCR|3VULN|1TLV|1SELL	1CGEN|2TLV|345VULN|6SELL|7MDPS|8RAT|9aRCR
4	23635 11243	   	277.14	DCR|DCR|3VULN|1TLV|1SELL	1CGEN|2TLV|346VULN|5SELL|7MDPS|8RAT|9aRCR
5	23631 13216	 * 	271.52	DCR|4VULN|2DUR|1TLV|1DMG|1CDMG	19CGEN|2TLV|3469VULN|5CDMG|7DMG|89DUR|9BPWR|aRCR
6	33226 42531	 * 	269.69	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ASPD|2TLV|3VULN|4DMSP|5BEXP|69RCR|7DMG|8CDMG|aLSRREG
7	33226 42532	   	269.69	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ASPD|2TLV|3VULN|4DMSP|5BEXP|69RCR|7DMG|8CDMG|aAETHUN
8	33226 42533	   	269.69	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1ASPD|2TLV|3VULN|4DMSP|5BEXP|69RCR|7DMG|8CDMG|aERES
9	22136 25312	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2ERES|3DUR|48VULN|5RAT|6TLV|79RCR|aLWND
10	23134 65312	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2TLV|3DUR|48VULN|5AME|6RAT|79RCR|aLWND
11	23136 55312	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2TLV|3DUR|48VULN|5RAT|6ERES|79RCR|aLWND
12	23241 11243	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	1CGEN|2TLV|3DMSP|46VULN|5CDMG|7MDPS|8RAT|9aRCR
13	23611 11243	   	268.89	DCR|DCR|2VULN|1TLV|1CDMG	14CGEN|2TLV|36VULN|5CDMG|7MDPS|8RAT|9aRCR
14	22136 25311	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2ERES|3DUR|48VULN|5RAT|6TLV|79RCR|aTBNT
15	22136 25313	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2ERES|3DUR|48VULN|5RAT|6TLV|79RCR|aBBNT
16	22136 25314	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2ERES|3DUR|48VULN|5RAT|6TLV|79RCR|aAETHUN
17	22136 25315	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2ERES|3DUR|48VULN|5RAT|6TLV|79RCR|aAEBURN
18	22136 25316	   	268.79	DCR|DCR|2VULN|1TLV|1DUR|1MSE	1CGEN|2ERES|3DUR|48VULN|5RAT|6TLV|79RCR|aMSE
19	23134 65311	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2TLV|3DUR|48VULN|5AME|6RAT|79RCR|aTBNT
20	23134 65313	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2TLV|3DUR|48VULN|5AME|6RAT|79RCR|aBBNT
21	23136 55311	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2TLV|3DUR|48VULN|5RAT|6ERES|79RCR|aTBNT
22	23136 55313	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2TLV|3DUR|48VULN|5RAT|6ERES|79RCR|aBBNT
23	33321 46333	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1ASPD|2TLV|3DUST|4DMSP|5CDMG|6MLV|7RPLT|8VULN|9aRCR
24	34222 22433	   	263.38	DCR|DCR|2VULN|1DUR|1CDMG	1ASPD|2ZMB|35VULN|4DMSP|6aRCR|7CDMG|8DUR|9FEWX
25	34222 22543	   	263.28	DCR|DCR|2VULN|1DUR|1CDMG	1ASPD|2ZMB|35VULN|4DMSP|6aRCR|7CDMG|8LEGI|9DUR
26	23441 13216	 * 	262.69	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	19CGEN|23TLV|469VULN|5CDMG|7DMG|89DUR|9BPWR|aRCR
27	14123 41531	   	262.51	DCR|DCR|1VULN|1TLV|1DMG|1AART|1SELL	1LIT|2TLV|3RCVC|4SELL|5FRZFST|6VULN|78RCR|9AART|aDMG
