0	Index      	 *	Score 	Summary	Detail	
1	43211 44121	 * 	270.59	DCR|DCR|1VULN|2MLV|1TLV|1DUR	1AETHUN|2DUR|37MLV|4RPLT|5BOSS|69RCR|8TLV|aVULN
2	22223 31162	 * 	268.89	DCR|DCR|2VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|9aVULN
3	22223 31562	   	268.89	DCR|DCR|2VULN|1TLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|9aVULN
4	32281 32753	 * 	265.58	DCR|DCR|2TLV|1VULN|1FLTARM	1RAT|2RCVC|3MBVNT|4BOSS|56TLV|7VULN|89RCR|aFLTARM
5	32261 18353	   	265.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1RAT|2RCVC|3MBVNT|4VULN|5TLV|6ASPD|7MLV|8CDMG|9aRCR
6	43211 42321	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1AETHUN|2DUR|3MLV|48RPLT|5BOSS|69RCR|7TLV|aVULN
7	43211 45121	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1AETHUN|2DUR|3MLV|4RPLT|5BOSS|69RCR|7DMSP|8TLV|aVULN
8	22223 31316	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8MLV|9LHND|aVULN
9	22223 31336	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8MLV|9BEXP|aVULN
10	22223 31346	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8MLV|9DUST|aVULN
11	62211 43621	 * 	256.94	DCR|DCR|1VULN|2MLV|2DUR	18AME|2FEWX|38DUR|4RPLT|5BOSS|69RCR|78MLV|8BPWR|aVULN
12	22223 31112	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8LHND|9DUR|aVULN
13	22223 31212	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	15LIT|2AIRARM|3TLV|4AART|67RCR|8FEWX|9DUR|aVULN
14	22223 31512	   	256.34	DCR|DCR|1VULN|1TLV|1AART|1DUR	15LIT|2AIRARM|3TLV|4AART|67RCR|8BEXP|9DUR|aVULN
15	61211 42325	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1AME|2VULN|3DUR|48RPLT|5BOSS|69RCR|7TLV|aAAC
16	32451 51131	   	255.34	DCR|DCR|2VULN|1TLV	1RAT|2RCVC|37LHND|46VULN|5TLV|8aRCR|9BOSS
17	33251 51131	   	255.34	DCR|DCR|2VULN|1TLV	13RAT|27LHND|46VULN|5TLV|8aRCR|9BOSS
18	33251 54131	   	255.34	DCR|DCR|2VULN|1TLV	13RAT|2LHND|46VULN|5TLV|7RCVC|8aRCR|9BOSS
19	33251 55131	   	255.34	DCR|DCR|2VULN|1TLV	13RAT|2LHND|46VULN|5TLV|7DMSP|8aRCR|9BOSS
20	32151 54131	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|27RCVC|3AETHUN|46VULN|5TLV|8aRCR|9BOSS
21	32151 55131	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|2RCVC|3AETHUN|46VULN|5TLV|7DMSP|8aRCR|9BOSS
22	33151 51131	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|27LHND|3AEBURN|46VULN|5TLV|8aRCR|9BOSS
23	33151 54131	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|2LHND|3AEBURN|46VULN|5TLV|7RCVC|8aRCR|9BOSS
24	33151 55131	   	255.24	DCR|DCR|2VULN|1TLV	1RAT|2LHND|3AEBURN|46VULN|5TLV|7DMSP|8aRCR|9BOSS
25	32261 44753	   	255.24	DCR|DCR|1VULN|1FLTARM|1TLV	17RAT|2RCVC|3MBVNT|4VULN|5TLV|6BOSS|89RCR|aFLTARM
26	32281 14753	   	255.24	DCR|DCR|1VULN|1FLTARM|1TLV	17RAT|2RCVC|3MBVNT|4BOSS|5TLV|6VULN|89RCR|aFLTARM
