0	Index      	 *	Score 	Summary	Detail	
1	41344 13111	 * 	182.46	橙3易伤1全技能1伤害1暴击2时间	14时间2掉矿367易伤5全技能8暴击9核a伤害
2	61313 25633	 * 	181.99	橙5易伤2伤害	1挖尘2掉矿3578a易伤49伤害6核
3	51216 23412	 * 	178.97	紫3易伤3伤害2时间	127雷电38a易伤489伤害5核68时间8序列升级
4	33415 33422	 * 	178.71	橙3易伤2伤害1全技能1时间	17等级237易伤47伤害5全技能6核弹7序列升级8时间9矿等a核
5	33213 25416	 * 	178.16	橙5易伤1伤害1暴击	1等级25789易伤3敌人爆炸4伤害6核a暴击
6	51216 23422	 * 	176.97	紫3易伤2伤害1暴击2时间	127雷电38a易伤48伤害5核68时间8序列升级9暴击
7	33412 25432	   	176.10	橙4易伤2伤害1时间	1等级2378易伤49伤害5挖尘6核a时间
8	31424 21224	 * 	176.10	橙3易伤2伤害2时间1策反	1a等级2低血量敌人34a易伤58时间6策反7核9a伤害a序列升级
9	51216 23411	   	174.32	紫3伤害2易伤2时间1策反	127雷电38易伤489伤害5核68时间8序列升级a策反
10	41344 13112	   	173.40	橙3易伤1全技能1暴击2时间1策反	14时间2掉矿367易伤5全技能8暴击9核a策反
11	42114 53311	 * 	173.22	橙2易伤1全技能1伤害2暴击2时间	12时间2序列升级38易伤4随机矿5全技能67暴击9核a伤害
12	42132 25433	   	172.91	橙3易伤1全技能1伤害2时间	12时间2序列升级378易伤45挖尘6核9伤害a全技能
13	42162 25333	   	172.91	橙3易伤1全技能1伤害2时间	12时间2序列升级347易伤58挖尘6核9伤害a全技能
14	33421 31642	   	172.47	橙3易伤2伤害1全技能	1等级235易伤4立即金币68伤害7基地爆炸9全技能a核
15	33421 63111	   	172.13	橙3易伤1全技能1伤害1暴击	1等级235易伤4立即金币6暴击7全技能8基地爆炸9核a伤害
16	33421 63411	   	172.13	橙3易伤1全技能1伤害1暴击	1等级235易伤4立即金币6暴击7全技能8敌人爆炸9核a伤害
17	61311 25633	   	171.97	橙4易伤2伤害	1挖尘2掉矿378a易伤49伤害5立即金币6核
18	33421 66211	   	171.53	橙3易伤1全技能1伤害1暴击	1等级235易伤4立即金币6暴击7敌人爆炸8全技能9核a伤害
19	42112 25324	 * 	171.41	橙3易伤2伤害3时间	12a时间2a序列升级37a易伤4随机矿5掉矿6核8基地爆炸9a伤害
20	21413 55221	   	171.40	橙4易伤2伤害1时间	1敌人爆炸2掉矿357a易伤49伤害6时间8核
21	61313 55221	   	171.30	橙4易伤2伤害1时间	1挖尘2掉矿357a易伤49伤害6时间8核
22	42463 33111	   	170.31	橙2易伤1全技能1伤害1暴击2时间	12时间2序列升级3立即金币4矿等5全技能67易伤8暴击9核a伤害
23	21454 13111	   	170.23	橙3易伤1全技能1伤害1暴击	1敌人爆炸2掉矿367易伤4双倍矿5全技能8暴击9核a伤害
24	33224 53111	   	170.23	橙3易伤1全技能1伤害1暴击	1等级247易伤36敌人爆炸5全技能8暴击9核a伤害
25	35214 13111	   	170.23	橙3易伤1全技能1伤害1暴击	1等级2金币生成367易伤4随机矿5全技能8暴击9核a伤害
26	21464 13111	   	170.13	橙3易伤1全技能1伤害1暴击	1敌人爆炸24掉矿367易伤5全技能8暴击9核a伤害
27	33314 13111	   	170.13	橙3易伤1全技能1伤害1暴击	1等级267易伤3掉矿4随机矿5全技能8暴击9核a伤害
28	61354 13111	   	170.13	橙3易伤1全技能1伤害1暴击	1挖尘2掉矿367易伤4双倍矿5全技能8暴击9核a伤害
