0	Index      	 *	Score 	Summary	Detail	
1	31526 11216	 * 	212.63	橙4易伤2伤害1全技能3攻速	1随机矿2479易伤378攻速57伤害6核7序列升级a全技能
2	31526 11233	 * 	205.08	橙4易伤3伤害3攻速	1随机矿247a易伤378攻速57a伤害6核7a序列升级9a挖尘
3	31526 11243	   	205.08	橙4易伤3伤害3攻速	1随机矿247a易伤378攻速57a伤害6核7a序列升级9挖青
4	31526 11633	   	205.08	橙4易伤3伤害3攻速	1随机矿247a易伤37a攻速578伤害6核7a序列升级9a挖尘
5	62124 11531	 * 	203.82	橙3易伤3策反1全技能1伤害1暴击	127策反257序列升级357易伤457最后敌人6核8伤害9全技能a暴击
6	31526 11612	   	198.77	橙4易伤3伤害2攻速	1随机矿2479易伤37攻速578伤害6核7序列升级a最后敌人
7	31526 11611	   	198.67	橙4易伤3伤害2攻速	1随机矿2479易伤37攻速578伤害6核7序列升级a挖尘
8	31526 11613	   	198.67	橙4易伤3伤害2攻速	1随机矿2479易伤37攻速578伤害6核7序列升级a狙击对直升
9	31516 11214	 * 	198.43	橙3伤害2易伤1全技能3攻速	1随机矿27易伤347攻速578伤害6核7序列升级9挖尘a全技能
10	31516 11235	   	198.43	橙3伤害2易伤1全技能3攻速	1随机矿27易伤347攻速578伤害6核7序列升级9加一a全技能
11	31526 11236	   	198.43	橙3易伤2伤害1全技能3攻速	1随机矿247易伤378攻速57伤害6核7序列升级9挖尘a全技能
12	21526 11216	   	198.33	橙3易伤2伤害1全技能3攻速	17掉矿249易伤378攻速57伤害6核7序列升级a全技能
13	62116 11243	 * 	197.60	橙3易伤2伤害3策反2攻速	127策反27a序列升级37a易伤47敌人爆炸5双倍矿6核8a攻速9a伤害
14	62124 11532	   	197.11	橙3易伤3策反1全技能1伤害1时间	127策反257序列升级357易伤457最后敌人6核8伤害9全技能a时间
15	31526 11161	   	194.12	橙4易伤2伤害2攻速1策反	1随机矿2479易伤37攻速57伤害6核7序列升级8敌人爆炸a策反
16	31526 11361	   	194.12	橙4易伤2伤害2攻速1策反	1随机矿2479易伤37攻速57伤害6核7序列升级8基地爆炸a策反
17	31556 11233	   	194.09	橙3易伤3伤害3攻速	1随机矿27a易伤378攻速4立即金币57a伤害6核7a序列升级9a挖尘
18	62114 11363	 * 	193.29	橙5易伤3策反1伤害	127策反257序列升级35789易伤457敌人爆炸6核a伤害
19	62124 11533	   	191.47	橙3易伤3策反1全技能1伤害	127策反257序列升级357易伤457最后敌人6核8伤害9全技能a立即金币
20	31516 11226	   	190.98	橙3易伤3伤害3攻速	1随机矿27a易伤347攻速578伤害6核7序列升级9双倍矿
21	31516 11533	   	190.98	橙3易伤3伤害3攻速	18随机矿27a易伤347攻速57a伤害6核7a序列升级9a挖尘
22	31516 11216	   	190.88	橙3易伤3伤害3攻速	1随机矿27a易伤347攻速578伤害6核7序列升级9挖尘
23	31516 11237	   	190.88	橙3易伤3伤害3攻速	1随机矿27a易伤347攻速578伤害6核7序列升级9加一
