0	Index      	 *	Score 	Summary	Detail	
1	34125 33314	 * 	234.36	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1时间	1伤害2攻速3敌人爆炸4全技能5时间6掉矿7核8散射对甲9随机矿a双倍秒伤
2	33323 63314	   	228.54	橙1散射对甲1双倍秒伤1全技能1伤害1时间1策反	1伤害2敌人爆炸3技能点4全技能5策反6时间7核8散射对甲9随机矿a双倍秒伤
3	33325 53314	   	228.54	橙1散射对甲1双倍秒伤1全技能1伤害1时间1策反	1伤害2敌人爆炸3技能点4全技能5时间6策反7核8散射对甲9随机矿a双倍秒伤
4	34322 14276	 * 	227.01	橙1散射对甲1双倍秒伤2伤害1攻速1暴击	16伤害2攻速3技能点4加一56金币生成6序列升级7暴击8散射对甲9核a双倍秒伤
5	34324 43176	 * 	226.39	橙2易伤1双倍秒伤2伤害2攻速1时间	19伤害29攻速3技能点4加一5时间6核7平台89易伤9序列升级a双倍秒伤
6	33241 53533	 * 	225.79	橙3易伤2伤害1全技能2时间	16伤害2敌人爆炸3挖尘456易伤6序列升级7a时间8核9全技能
7	31122 33314	   	223.45	橙1散射对甲1双倍秒伤1全技能1伤害1攻速	1伤害2金币生成3敌人爆炸4全技能5攻速6低血量敌人7核8散射对甲9随机矿a双倍秒伤
8	31122 33364	   	223.45	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1策反	1伤害2金币生成3敌人爆炸4全技能5攻速6低血量敌人7核8散射对甲9策反a双倍秒伤
9	33122 33314	   	223.45	橙1散射对甲1双倍秒伤1全技能1伤害1攻速	1伤害2敌人爆炸3金币生成4全技能5攻速6低血量敌人7核8散射对甲9随机矿a双倍秒伤
10	33122 33364	   	223.45	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1策反	1伤害2敌人爆炸3金币生成4全技能5攻速6低血量敌人7核8散射对甲9策反a双倍秒伤
11	34121 33314	   	223.45	橙1散射对甲1双倍秒伤1全技能1伤害1攻速	1伤害2攻速3敌人爆炸4全技能5技能点6低血量敌人7核8散射对甲9随机矿a双倍秒伤
12	34121 33364	   	223.45	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1策反	1伤害2攻速3敌人爆炸4全技能5技能点6低血量敌人7核8散射对甲9策反a双倍秒伤
13	34126 33314	   	223.45	橙1散射对甲1双倍秒伤1全技能1伤害1攻速	1伤害2攻速3敌人爆炸4全技能5矿等6低血量敌人7核8散射对甲9随机矿a双倍秒伤
14	14122 33314	   	223.35	橙1散射对甲1双倍秒伤1全技能1伤害1攻速	1等级2攻速3敌人爆炸4全技能5伤害6低血量敌人7核8散射对甲9随机矿a双倍秒伤
15	14122 33364	   	223.35	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1策反	1等级2攻速3敌人爆炸4全技能5伤害6低血量敌人7核8散射对甲9策反a双倍秒伤
16	32122 33314	   	223.35	橙1散射对甲1双倍秒伤1全技能1伤害1攻速	1伤害2掉矿3敌人爆炸4全技能5攻速6低血量敌人7核8散射对甲9随机矿a双倍秒伤
17	32122 33364	   	223.35	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1策反	1伤害2掉矿3敌人爆炸4全技能5攻速6低血量敌人7核8散射对甲9策反a双倍秒伤
18	33622 35226	 * 	218.68	橙2易伤1双倍秒伤2伤害1全技能1攻速	18伤害28敌人爆炸3随机矿4全技能5攻速6低血量敌人78易伤8序列升级9核a双倍秒伤
19	33623 43324	   	218.21	橙1散射对甲1双倍秒伤1全技能1伤害1时间1策反	1伤害2敌人爆炸3随机矿4全技能5时间6技能点7核8散射对甲9策反a双倍秒伤
20	31123 63314	   	218.11	橙1散射对甲1双倍秒伤1全技能1伤害1技能1时间	1伤害2金币生成3敌人爆炸4全技能5时间6技能7核8散射对甲9随机矿a双倍秒伤
21	33123 63314	   	218.11	橙1散射对甲1双倍秒伤1全技能1伤害1技能1时间	1伤害2敌人爆炸3金币生成4全技能5时间6技能7核8散射对甲9随机矿a双倍秒伤
22	33623 33324	   	218.11	橙1散射对甲1双倍秒伤1全技能1伤害1时间1策反	1伤害2敌人爆炸3随机矿4全技能5时间6掉矿7核8散射对甲9策反a双倍秒伤
23	32123 63314	   	218.01	橙1散射对甲1双倍秒伤1全技能1伤害1技能1时间	1伤害2掉矿3敌人爆炸4全技能5时间6技能7核8散射对甲9随机矿a双倍秒伤
24	34324 43172	 * 	217.78	橙2易伤2伤害2攻速2时间	19伤害29攻速3技能点4加一5a时间6核7平台89易伤9序列升级
25	33323 33314	   	217.54	橙1散射对甲1双倍秒伤1全技能1伤害1策反	1伤害2敌人爆炸3技能点4全技能5策反6低血量敌人7核8散射对甲9随机矿a双倍秒伤
26	33241 53532	   	215.58	橙3易伤2伤害1全技能1时间	16伤害2敌人爆炸3挖尘456易伤6序列升级7时间8核9全技能a技能点
27	33241 52533	   	215.58	橙3易伤2伤害1全技能1时间	16伤害2敌人爆炸3挖尘456易伤6序列升级7低血量敌人8核9全技能a时间
28	33241 53531	   	215.48	橙3易伤2伤害1全技能1时间	16伤害2敌人爆炸3挖尘456易伤6序列升级7时间8核9全技能a等级
29	33323 65253	   	215.15	橙2易伤2伤害1全技能2时间1策反	18伤害2敌人爆炸38技能点4全技能5策反6a时间78易伤8序列升级9核
30	35262 12532	 * 	214.35	橙3伤害2易伤1双倍秒伤2时间2策反	18a伤害2双倍秒伤3a时间4额外掉落58敌人爆炸68易伤7核8a序列升级9a策反
31	35263 32532	   	214.35	橙3伤害2易伤1双倍秒伤2时间2策反	18a伤害2双倍秒伤3a时间4额外掉落58易伤68基地爆炸7核8a序列升级9a策反
32	33623 65223	 * 	214.24	橙2易伤2伤害3时间1全技能1技能	18伤害2敌人爆炸3随机矿4全技能58a时间6技能78易伤8序列升级9核
33	14123 63314	   	214.19	橙1散射对甲1双倍秒伤1全技能1攻速1技能1时间	1等级2攻速3敌人爆炸4全技能5时间6技能7核8散射对甲9随机矿a双倍秒伤
34	14123 63334	   	214.19	橙1散射对甲1双倍秒伤1全技能1伤害1攻速1技能1时间	1等级2攻速3敌人爆炸4全技能5时间6技能7核8散射对甲9伤害a双倍秒伤
35	33323 35256	   	212.77	橙2易伤1双倍秒伤2伤害1全技能1策反	18伤害2敌人爆炸38技能点4全技能5策反6低血量敌人78易伤8序列升级9核a双倍秒伤
36	21562 12422	   	211.96	橙3伤害2易伤1双倍秒伤1暴击	19敌人爆炸2暴击39易伤4雷电5基地爆炸689伤害7核9序列升级a双倍秒伤
37	21513 53215	 * 	211.82	橙3易伤1全技能1攻速1暴击1时间	1敌人爆炸2暴击38a易伤4随机矿5全技能6核7时间9攻速
38	21513 53242	 * 	211.65	橙3易伤2全技能1暴击1时间	1敌人爆炸2暴击38a易伤4随机矿59全技能6核7时间
39	33622 35223	   	210.86	橙2易伤2伤害1全技能1攻速1时间	18伤害28敌人爆炸3随机矿4全技能5攻速6低血量敌人78易伤8序列升级9核a时间
40	34121 35253	   	210.86	橙2易伤2伤害1全技能1攻速1时间	18伤害2攻速38敌人爆炸4全技能5技能点6低血量敌人78易伤8序列升级9核a时间
41	34123 35253	   	210.66	橙2易伤2伤害1全技能1攻速1技能1时间	18伤害2攻速38敌人爆炸4全技能5技能6挖青78易伤8序列升级9核a时间
42	32122 33333	 * 	210.57	橙1散射对甲2伤害1易伤1全技能1攻速	19伤害2掉矿3敌人爆炸4全技能5攻速6低血量敌人7核8散射对甲a易伤
43	62226 13214	   	210.47	橙1散射对甲1双倍秒伤1攻速1技能1策反	1狙击对黄2雷电3攻速4平台5散射对甲6策反7核8双倍秒伤9敌人爆炸a技能
44	62226 13234	   	210.47	橙1散射对甲1双倍秒伤1攻速1技能1策反	1狙击对黄2雷电3攻速4平台5散射对甲6策反7核8双倍秒伤9挖尘a技能
45	14213 61142	 * 	209.64	橙1散射对甲1双倍秒伤2攻速1技能2策反	148等级28攻速3技能58策反6核7立即金币8序列升级9散射对甲a双倍秒伤
