0	Index      	 *	Score 	Summary	Detail	
1	11325 12314	 * 	251.16	紫3伤害3攻速2基地爆炸2易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9a易伤
2	11325 12363	   	244.85	紫3伤害3攻速2基地爆炸1暴击	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9金币生成a暴击
3	11325 12323	   	244.75	紫3伤害3攻速2基地爆炸1暴击	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9掉矿a暴击
4	11325 12343	   	244.75	紫3伤害3攻速2基地爆炸1暴击	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9技能点a暴击
5	11651 21612	 * 	243.98	紫1基础对甲2伤害2易伤1攻速1基地爆炸1技能	1攻速2核3基地爆炸46伤害5a易伤7金币生成8技能9基础对甲
6	11325 12362	 * 	242.66	紫3伤害3攻速3基地爆炸	168攻速2核3a最后敌人48a基地爆炸568伤害68a序列升级7双倍秒伤9a金币生成
7	11325 12322	   	242.46	紫3伤害3攻速3基地爆炸	168攻速2核3a最后敌人48a基地爆炸568伤害68a序列升级7双倍秒伤9a掉矿
8	11325 12342	   	242.46	紫3伤害3攻速3基地爆炸	168攻速2核3a最后敌人48a基地爆炸568伤害68a序列升级7双倍秒伤9a技能点
9	11325 12356	   	242.46	紫3伤害3攻速3基地爆炸	168攻速2核3最后敌人48a基地爆炸568伤害68序列升级7双倍秒伤9矿等
10	11325 12366	   	242.46	紫3伤害3攻速3基地爆炸	168攻速2核3最后敌人48a基地爆炸568伤害68序列升级7双倍秒伤9金币生成
11	11632 25321	   	242.36	紫3伤害3攻速3基地爆炸	17a攻速2核378基地爆炸4掉矿5a挖尘67a伤害7a序列升级9额外掉落
12	11325 12326	   	242.36	紫3伤害3攻速3基地爆炸	168攻速2核3最后敌人48a基地爆炸568伤害68序列升级7双倍秒伤9掉矿
13	11325 12346	   	242.36	紫3伤害3攻速3基地爆炸	168攻速2核3最后敌人48a基地爆炸568伤害68序列升级7双倍秒伤9技能点
14	11632 25332	   	242.26	紫3伤害3攻速3基地爆炸	17a攻速2核378基地爆炸4掉矿5a挖尘67a伤害7a序列升级9双倍秒伤
15	11632 25362	   	242.26	紫3伤害3攻速3基地爆炸	17a攻速2核378基地爆炸4a掉矿5a挖尘679伤害7a序列升级
