0	Index      	 *	Score 	Summary	Detail	
1	23621 27544	 * 	295.95	橙橙2易伤2伤害1矿等1时间	1加一28掉矿3随机矿48伤害5时间6矿等78易伤8序列升级9a核
2	23628 37144	 * 	288.86	橙橙2易伤1等级1伤害1时间	1加一2掉矿3随机矿4伤害5等级6时间78易伤9a核
3	28621 17144	   	288.86	橙橙2易伤1等级1伤害1时间	1加一2等级3随机矿4伤害5时间6掉矿78易伤9a核
4	28822 37344	   	288.86	橙橙2易伤1等级1伤害1时间	1加一2等级3暴雪减费49易伤5伤害6时间7a核8敌人爆炸
5	53213 21243	   	284.60	橙橙2易伤1等级1矿等1暴击	1雷电2策反3暴击4矿等59易伤6a核7最后敌人8等级
6	53213 26233	   	284.50	橙橙2易伤1等级1矿等1暴击	1雷电2策反3暴击4矿等59易伤6a核7挖尘8等级
7	43622 45343	   	282.44	橙橙2易伤1等级1暴击1技能	1烈焰减费2暴击3加一49易伤5等级6随机技能78核a技能
8	23624 27544	   	282.30	橙橙2易伤2伤害1矿等	1加一28掉矿3随机矿48伤害5敌人爆炸6矿等78易伤8序列升级9a核
9	21732 67244	 * 	281.25	橙橙2易伤2时间1等级	1加一26时间3策反45易伤7挖尘8等级9a核
10	23621 37544	   	280.34	橙橙2易伤2伤害1时间	1加一28掉矿3随机矿48伤害5时间6金币生成78易伤8序列升级9a核
11	23621 27144	   	278.26	橙橙2易伤1伤害1矿等1时间	1加一2掉矿3随机矿4伤害5时间6矿等78易伤9a核
12	21272 48544	 * 	277.38	橙橙3易伤2时间	1加一28时间3雷电减费48策反568易伤7随机矿8序列升级9a核
13	21734 48544	   	277.38	橙橙3易伤2时间	1加一28时间38策反468易伤5雷电减费7随机矿8序列升级9a核
14	28824 11244	   	275.63	橙橙2易伤1等级1时间	1加一2等级38暴雪减费45易伤6攻速7时间9a核
15	28624 17144	   	275.21	橙橙2易伤1等级1伤害	1加一2等级3随机矿4伤害5敌人爆炸6掉矿78易伤9a核
16	28626 12144	   	275.21	橙橙2易伤1等级1伤害	1加一2等级3随机矿4伤害58易伤6掉矿7敌人爆炸9a核
17	28626 24144	   	275.21	橙橙2易伤1等级1伤害	1加一2等级3随机矿4伤害58易伤6挖尘7金币生成9a核
18	23628 47144	   	275.11	橙橙2易伤1等级1伤害	1加一2掉矿3随机矿4伤害5等级6雷电减费78易伤9a核
19	28623 17144	   	275.11	橙橙2易伤1等级1伤害	1加一2等级3随机矿4伤害5雷电减费6掉矿78易伤9a核
20	28822 47344	   	275.11	橙橙2易伤1等级1伤害	1加一2等级3暴雪减费49易伤5伤害6雷电减费7a核8敌人爆炸
21	21328 23344	 * 	271.14	橙橙2伤害2等级2时间	1加一29时间3立即金币49伤害59等级6挖青7随机矿8a核9序列升级
22	23317 78144	 * 	271.04	橙橙3易伤1伤害	1加一25掉矿3双倍秒伤458易伤5序列升级6立即金币7伤害9a核
23	21837 21483	 * 	270.94	橙3易伤3伤害3时间1技能	1加一289时间3雷电489伤害589易伤6核7立即金币89序列升级a技能
24	28343 42714	   	270.55	橙橙2易伤1等级1矿等1核弹	1加一2等级3双倍秒伤4赏金邻近57易伤6a核8矿等9核弹
25	52232 33463	   	269.84	橙橙2伤害1易伤1矿等1暴击	15雷电2易伤3低血量敌人45伤害5序列升级6暴击7a核8矿等9技能点
26	52536 23233	 * 	269.17	橙橙2易伤1伤害2暴击	1雷电26易伤3最后敌人4伤害56暴击6序列升级7a核8暴雪减费9敌人爆炸
27	13372 41244	   	268.89	橙橙2易伤1等级1时间	17敌人爆炸2加一3时间4策反56易伤8等级9a核
28	13732 61244	   	268.89	橙橙2易伤1等级1时间	17敌人爆炸2加一3策反45易伤6时间8等级9a核
29	13752 41244	   	268.89	橙橙2易伤1等级1时间	17敌人爆炸2加一3策反4时间56易伤8等级9a核
30	21735 41244	   	268.89	橙橙2易伤1等级1时间	1加一2时间3策反46易伤57敌人爆炸8等级9a核
31	21738 37344	   	268.89	橙橙2易伤1等级1时间	1加一2时间3策反49易伤5等级6立即金币7a核8敌人爆炸
32	21742 41244	   	268.89	橙橙2易伤1等级1时间	1加一2时间3策反47敌人爆炸56易伤8等级9a核
33	43622 45342	   	268.79	橙橙2易伤1等级1暴击	1烈焰减费2暴击3加一49易伤5等级6随机技能78核a雷电
34	43622 45344	   	268.79	橙橙2易伤1等级1暴击	1烈焰减费2暴击3加一49易伤5等级6随机技能78核a最后敌人
35	21672 43244	   	268.69	橙橙2易伤1等级1时间	1加一2时间37挖尘4策反56易伤8等级9a核
36	21732 23244	   	268.69	橙橙2易伤1等级1时间	1加一2时间3策反45易伤67挖尘8等级9a核
37	21732 37244	   	268.69	橙橙2易伤1等级1时间	1加一2时间3策反45易伤6风暴减费7挖尘8等级9a核
38	21732 57244	   	268.69	橙橙2易伤1等级1时间	1加一2时间3策反45易伤6毒气减费7挖尘8等级9a核
39	43622 45341	   	268.69	橙橙2易伤1等级1暴击	1烈焰减费2暴击3加一49易伤5等级6随机技能78核a挖尘
40	43624 45312	   	268.69	橙橙2易伤1等级1暴击	1烈焰减费2暴击3加一4a易伤5技能点6随机技能78核9等级
41	28423 32438	   	267.10	橙橙2等级2时间1伤害1全技能	1加一28等级3全技能4策反58时间6a核78技能点8序列升级9伤害
42	28483 32438	   	267.00	橙橙2等级2时间1伤害1全技能1核弹	1加一28等级3全技能48时间5核弹6a核78技能点8序列升级9伤害
43	23624 37544	   	266.69	橙橙2易伤2伤害	1加一28掉矿3随机矿48伤害5敌人爆炸6金币生成78易伤8序列升级9a核
44	43622 45313	 * 	266.57	橙橙2等级1易伤1暴击1技能	1烈焰减费2暴击3加一4易伤59等级6随机技能78核a技能
