0	Index      	 *	Score 	Summary	Detail	
1	53212 46213	 * 	268.89	橙橙2易伤1等级1全技能	1等级2立即金币35易伤4暴雪减费6金币生成7a核8全技能9双倍矿
2	11251 25111	 * 	262.65	橙橙2易伤2暴击1时间	14暴击2时间3平台56易伤7头目8a核9双倍秒伤
3	11141 12422	 * 	259.65	橙橙2矿等2暴击1时间2攻速1全技能	18暴击2时间3赏金塔48攻速58矿等6平台7a核8序列升级9全技能
4	15121 54123	   	258.29	橙橙2易伤1矿等1暴击	1暴击2双倍秒伤3矿等4敌人爆炸5随机矿68易伤7a核9金币生成
5	15231 34163	   	258.29	橙橙2易伤1矿等1暴击	1暴击2双倍秒伤3敌人爆炸4双倍矿58易伤6最后敌人7a核9矿等
6	15121 54113	   	258.19	橙橙2易伤1矿等1暴击	1暴击2双倍秒伤3矿等4敌人爆炸5随机矿68易伤7a核9掉矿
7	15131 54113	   	258.19	橙橙2易伤1矿等1暴击	1暴击2双倍秒伤3矿等4金币生成58易伤6敌人爆炸7a核9掉矿
8	15132 54113	   	258.19	橙橙2易伤1矿等1暴击	1暴击2双倍秒伤3矿等4金币生成5敌人爆炸68易伤7a核9掉矿
9	15222 34163	   	258.19	橙橙2易伤1矿等1暴击	1暴击2双倍秒伤3敌人爆炸48易伤5火球减费6最后敌人7a核9矿等
10	42312 12111	   	258.19	橙橙1易伤1等级1矿等1暴击	1暴雪减费2平台3雷电4易伤5等级6矿等7暴击8a核9双倍秒伤
11	15131 24113	   	258.09	橙橙2易伤1矿等1暴击	1暴击2双倍秒伤3矿等4金币生成58易伤6挖尘7a核9掉矿
12	52131 63111	 * 	255.94	橙橙1易伤1等级1伤害1技能	1等级2技能3伤害4技能点5攻速6雷电7易伤8a核9双倍秒伤
13	52151 63111	   	255.94	橙橙1易伤1等级1伤害1技能	1等级2技能3伤害4掉矿5攻速6雷电7易伤8a核9双倍秒伤
14	11633 31263	 * 	253.55	橙橙2等级2时间2暴击	19暴击29时间3敌人爆炸4双倍矿5低血量敌人69等级7双倍秒伤8a核9序列升级
15	53122 31263	   	253.55	橙橙2等级2时间2暴击	19等级2立即金币39时间4敌人爆炸5低血量敌人69暴击7双倍秒伤8a核9序列升级
16	11361 42111	   	252.31	橙橙2时间1等级1矿等1暴击	1暴击26时间3雷电4等级5矿等7平台8a核9双倍秒伤
17	12563 51311	   	250.10	橙橙1易伤1伤害1全技能1暴击	1暴击2全技能3易伤4双倍秒伤5敌人爆炸6赏金邻近7双倍矿8a核9伤害
18	52143 43111	   	249.00	橙橙1易伤1等级1伤害1技能	1等级2技能3伤害4策反5头目6掉矿7易伤8a核9双倍秒伤
19	12236 36331	   	247.16	橙橙1伤害1矿等1时间1全技能1暴击	1暴击2全技能3矿等4掉矿5时间6伤害7双倍秒伤8赏金邻近9a核
20	51622 31253	   	247.03	橙橙2等级2时间1暴击	14等级2基地爆炸39时间5低血量敌人6暴击7双倍秒伤8a核
21	55322 31253	   	247.03	橙橙2等级2时间1暴击	14等级29时间3基地爆炸5低血量敌人6暴击7双倍秒伤8a核
22	11141 12622	   	246.69	橙橙2时间1矿等1全技能1暴击	1暴击28时间3赏金塔4攻速5矿等6平台7a核9全技能
23	11141 12522	   	246.53	橙橙2矿等1时间1全技能1暴击	1暴击2时间3赏金塔4攻速58矿等6平台7a核9全技能
24	32165 15111	   	245.34	橙橙1易伤1伤害1矿等1技能	1掉矿2技能3伤害4易伤5攻速6矿等7头目8a核9双倍秒伤
25	43141 63111	   	243.39	橙橙1易伤1伤害1时间	1暴雪减费2时间3伤害4策反5攻速6雷电7易伤8a核9双倍秒伤
26	43161 63111	   	243.39	橙橙1易伤1伤害1时间1技能	1暴雪减费2时间3伤害4技能5攻速6雷电7易伤8a核9双倍秒伤
27	15231 24123	   	242.69	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸4双倍矿58易伤6低血量敌人7a核9金币生成
28	15231 34123	   	242.69	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸4双倍矿58易伤6最后敌人7a核9金币生成
29	15231 34153	   	242.69	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸4双倍矿58易伤6最后敌人7a核9随机矿
30	15222 24123	   	242.59	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸48易伤5火球减费6低血量敌人7a核9金币生成
31	15222 34123	   	242.59	橙橙2易伤1暴击	1暴击2双倍秒伤3敌人爆炸48易伤5火球减费6最后敌人7a核9金币生成
