0	Index      	 *	Score 	Summary	Detail	
1	11113 35144	 * 	277.79	橙橙2易伤1等级1矿等1技能	18易伤2赏金塔3矿等4低血量敌人5时间69核7技能a等级
2	15322 43216	 * 	270.32	橙橙2易伤2雷电2暴击	13易伤29暴击4随机技能57雷电6a核8头目
3	11313 35144	   	262.08	橙橙2易伤1等级1技能	18易伤2赏金塔3掉矿4低血量敌人5时间69核7技能a等级
4	11113 35244	   	258.19	橙橙1易伤1等级1矿等2时间1技能	1易伤2赏金塔3矿等4低血量敌人58时间69核7技能a等级
5	11521 33144	   	256.14	橙橙1易伤1等级2时间1攻速	1易伤2赏金塔37时间4基地爆炸5攻速69核8掉矿a等级
6	11531 33144	   	256.14	橙橙1易伤1等级2时间1攻速	1易伤2赏金塔37时间4低血量敌人5攻速69核8掉矿a等级
7	15322 21213	 * 	252.66	橙3易伤1等级1伤害1矿等1暴击1雷电	137易伤2暴击4随机技能5雷电6矿等8等级9核a伤害
8	11113 35143	   	251.58	橙橙2易伤1矿等1技能	18易伤2赏金塔3矿等4低血量敌人5时间69核7技能a金币生成
9	11113 35145	   	251.58	橙橙2易伤1矿等1技能	18易伤2赏金塔3矿等4低血量敌人5时间69核7技能a随机矿
10	11163 35143	   	251.58	橙橙2易伤1矿等1技能	18易伤2赏金塔3矿等4敌人爆炸5时间69核7技能a金币生成
11	52113 35143	   	251.58	橙橙2易伤1矿等1技能	1赏金邻近28易伤3矿等4低血量敌人5时间69核7技能a金币生成
12	11113 35141	   	251.48	橙橙2易伤1矿等1技能	18易伤2赏金塔3矿等4低血量敌人5时间69核7技能a毒气减费
13	11113 35142	   	251.48	橙橙2易伤1矿等1技能	18易伤2赏金塔3矿等4低血量敌人5时间69核7技能a挖尘
14	11113 35146	   	251.48	橙橙2易伤1矿等1技能	18易伤2赏金塔3矿等4低血量敌人5时间69核7技能a掉矿
15	11163 35141	   	251.48	橙橙2易伤1矿等1技能	18易伤2赏金塔3矿等4敌人爆炸5时间69核7技能a毒气减费
16	11163 35142	   	251.48	橙橙2易伤1矿等1技能	18易伤2赏金塔3矿等4敌人爆炸5时间69核7技能a挖尘
17	52113 35141	   	251.48	橙橙2易伤1矿等1技能	1赏金邻近28易伤3矿等4低血量敌人5时间69核7技能a毒气减费
18	52113 35142	   	251.48	橙橙2易伤1矿等1技能	1赏金邻近28易伤3矿等4低血量敌人5时间69核7技能a挖尘
19	11113 35344	   	251.48	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3矿等4低血量敌人5时间69核7技能8暴雪减费a等级
20	15222 21316	 * 	251.30	橙3易伤2矿等3暴击1伤害1雷电	178易伤238暴击4随机技能5雷电68矿等8序列升级9伤害a核
21	13246 31162	 * 	251.15	橙橙1易伤2雷电1伤害	1易伤2基地爆炸3随机矿46雷电5时间7a核8平台9伤害
22	11521 34141	   	249.53	橙橙2易伤1攻速	18易伤2赏金塔3时间4基地爆炸5攻速69核7金币生成a烈焰减费
23	11521 34142	   	249.53	橙橙2易伤1攻速	18易伤2赏金塔3时间4基地爆炸5攻速69核7金币生成a挖尘
24	11521 34143	   	249.53	橙橙2易伤1攻速	18易伤2赏金塔3时间4基地爆炸5攻速69核7金币生成a掉矿
25	11531 34141	   	249.53	橙橙2易伤1攻速	18易伤2赏金塔3时间4低血量敌人5攻速69核7金币生成a烈焰减费
26	11531 34142	   	249.53	橙橙2易伤1攻速	18易伤2赏金塔3时间4低血量敌人5攻速69核7金币生成a挖尘
27	11531 34143	   	249.53	橙橙2易伤1攻速	18易伤2赏金塔3时间4低血量敌人5攻速69核7金币生成a掉矿
