0	Index      	 *	Score 	Summary	Detail	
1	26341 13324	 * 	304.14	DCR|3VULN|2TLV|1DMG|1AEPOI	1AEPOI|2DMG|34aVULN|5DMSP|67TLV|8DUR|9RCR
2	25111 21135	 * 	284.43	DCR|2VULN|1TLV|3DUR|1DMG|1AEPOI|2RAT	1AEPOI|245DUR|34RAT|4BPWR|69VULN|7TLV|8DMG|aRCR
3	26341 13613	   	283.67	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5DMSP|67TLV|8ZMB|9RAT|aRCR
4	26413 22144	 * 	281.91	DCR|DCR|1TLV|1DMG|1AEPOI|1ASPD|1CDMG	1AEPOI|2DMG|3ASPD|4TLV|5AIRARM|6ZMB|7MBVNT|89RCR|aCDMG
5	26341 13321	   	279.45	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5DMSP|67TLV|8DUR|9RCR|aCGEN
6	26341 13323	   	279.45	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5DMSP|67TLV|8DUR|9RCR|aMLV
7	26341 13325	   	279.45	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5DMSP|67TLV|8DUR|9RCR|aAME
8	26341 13322	   	279.35	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5DMSP|67TLV|8DUR|9RCR|aERES
9	26341 13326	   	279.35	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5DMSP|67TLV|8DUR|9RCR|aAETHUN
10	26346 13321	   	279.35	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5AEWIND|67TLV|8DUR|9RCR|aCGEN
11	26346 13323	   	279.35	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5AEWIND|67TLV|8DUR|9RCR|aMLV
12	26346 13322	   	279.25	DCR|2TLV|2VULN|1AEPOI|1DMG	1AEPOI|2DMG|34VULN|5AEWIND|67TLV|8DUR|9RCR|aERES
13	25141 21135	   	277.72	DCR|2VULN|1TLV|3DUR|1DMG|1AEPOI	1AEPOI|245DUR|3RAT|69VULN|7TLV|8DMG|aRCR
14	26341 13413	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5DMSP|67TLV|8AAC|9RAT|aRCR
15	26341 13113	   	276.63	DCR|2TLV|2VULN|1DMG|1AEPOI	1AEPOI|2DMG|34VULN|5DMSP|67TLV|8ERES|9RAT|aRCR
16	26346 13113	   	276.53	DCR|2TLV|2VULN|1AEPOI|1DMG	1AEPOI|2DMG|34VULN|5AEWIND|67TLV|8ERES|9RAT|aRCR
17	35171 15434	 * 	275.64	ACR|DCR|1TLV|1VULN|1CDMG	1LWND|2MBVNT|3RAT|4aRCR|5DUR|6CDMG|7TLV|8BELT|9VULN
18	26413 22141	   	275.19	DCR|DCR|1TLV|1DMG|1AEPOI|1ASPD	1AEPOI|2DMG|3ASPD|4TLV|5AIRARM|6ZMB|7MBVNT|89RCR|aRAT
19	22222 54215	   	274.32	DCR|3VULN|2TLV|1AEPOI	1AEPOI|2LWND|3DUST|4FEWX|589VULN|6aTLV|7RCR
20	26411 23353	 * 	274.17	DCR|3TLV|1VULN|1DMG|1AEPOI|1ASPD	1AEPOI|2DMG|3ASPD|489TLV|5DMSP|6VULN|7RAT|aRCR
