0	Index      	 *	Score 	Summary	Detail	
1	21452 16233	 * 	292.26	ACR|DCR|2TLV|1VULN|1AART|1DUR	1LHND|2DUR|39RCR|4VULN|5LEGI|67TLV|8RPLT|aAART
2	22452 16333	   	282.60	ACR|DCR|2TLV|1VULN|1AART	1LHND|2BEXP|39RCR|4VULN|5LEGI|67TLV|8RPLT|aAART
3	24522 23421	 * 	282.34	ACR|4VULN|2TLV	1LHND|2RAT|379aVULN|46TLV|5RCR|8BEXP
4	22456 11321	 * 	282.29	ACR|DCR|2VULN|1TLV	1LHND|2BEXP|36RCR|47VULN|5RAT|8MLV|9TLV|aBELT
5	22456 11322	   	282.29	ACR|DCR|2VULN|1TLV	1LHND|2aBEXP|36RCR|47VULN|5RAT|8MLV|9TLV
6	22456 11323	   	282.29	ACR|DCR|2VULN|1TLV	1LHND|2BEXP|36RCR|47VULN|5RAT|8MLV|9TLV|aFEWX
7	24522 23321	   	282.24	ACR|4VULN|2TLV	1LHND|2RAT|379aVULN|46TLV|5RCR|8LEGI
8	22456 11221	   	282.19	ACR|DCR|2VULN|1TLV	1LHND|2BEXP|36RCR|47VULN|5RAT|8ERES|9TLV|aBELT
9	22456 11222	   	282.19	ACR|DCR|2VULN|1TLV	1LHND|2aBEXP|36RCR|47VULN|5RAT|8ERES|9TLV
10	22456 11223	   	282.19	ACR|DCR|2VULN|1TLV	1LHND|2BEXP|36RCR|47VULN|5RAT|8ERES|9TLV|aFEWX
11	24522 23261	   	281.88	ACR|3VULN|2TLV|1ASPD	1LHND|2RAT|37aVULN|46TLV|5RCR|8ZMB|9ASPD
12	21452 16231	   	281.25	ACR|DCR|2TLV|1VULN|1DUR	1LHND|2DUR|39RCR|4VULN|5LEGI|67TLV|8RPLT|aCGEN
13	21452 16232	   	281.25	ACR|DCR|2TLV|1VULN|1DUR	1LHND|2DUR|39RCR|4VULN|5LEGI|67TLV|8RPLT|aBEXP
14	53512 23126	 * 	281.06	DCR|2TLV|2VULN|2DMG|1ASPD	1DMSP|29DMG|35LHND|49VULN|6LSRREG|7ASPD|89TLV|9BPWR|aRCR
15	24522 11153	 * 	276.10	ACR|4VULN|1TLV|1AEBURN	1LHND|2RAT|3789VULN|4TLV|5RCR|6LSRICY|aAEBURN
16	21222 41652	 * 	275.82	ACR|3VULN|1TLV|1DMG|1AART|1DUR	1LHND|2DUR|3RAT|4TLV|5RCR|67aVULN|8AART|9DMG
17	24522 43321	 * 	274.38	ACR|5VULN|1TLV	1LHND|2RAT|3679aVULN|4TLV|5RCR|8LEGI
18	53452 31213	 * 	274.32	DCR|3VULN|2TLV|1DMG	1DMSP|2DMG|3AEFRZ|47TLV|568VULN|9BEXP|aRCR
19	66113 12132	   	274.28	DCR|2TLV|2VULN|1DMG|1ASPD|1AART	1ERES|2AART|3DMG|49TLV|5LHND|6ASPD|7RCR|8aVULN
20	31332 31324	   	273.86	DCR|3VULN|1TLV|1DMG|2DUR	12DUR|37aVULN|4VENTOX|5RAT|6DMG|8TLV|9RCR
21	31513 31324	   	273.76	DCR|3VULN|1TLV|1DMG|2DUR	12DUR|3RAT|4LSRHEA|57aVULN|6DMG|8TLV|9RCR
