0	Index      	 *	Score 	Summary	Detail	
1	45331 11612	 * 	306.57	DCR|4VULN|2TLV|2CDMG|1AART	1AART|2BELT|369aVULN|4AME|59TLV|79CDMG|8RCR|9BPWR
2	13353 26141	 * 	305.51	ACR|3TLV|3VULN|2ASPD|1AART	18AAC|2AART|3RCR|47aVULN|57LIT|67aTLV|7aBPWR|9aASPD
3	43313 14211	 * 	294.64	DCR|3TLV|2VULN|1DMG|1AEPOI|1AART	1AART|27TSLARM|37VULN|4AEPOI|5DMG|679TLV|7BPWR|8FEWX|aRCR
4	43323 14211	   	294.64	DCR|3TLV|2VULN|1DMG|1AEBURN|1AART	1AART|27TSLARM|37VULN|4AEBURN|5DMG|679TLV|7BPWR|8FEWX|aRCR
5	43313 14311	   	294.54	DCR|3TLV|2VULN|1DMG|1AEPOI|1AART	1AART|27TSLARM|37VULN|4AEPOI|5DMG|679TLV|7BPWR|8DUST|aRCR
6	43323 14311	   	294.54	DCR|3TLV|2VULN|1DMG|1AEBURN|1AART	1AART|27TSLARM|37VULN|4AEBURN|5DMG|679TLV|7BPWR|8DUST|aRCR
7	42313 14211	   	294.44	DCR|3TLV|2VULN|1DMG|1AEPOI|1AART	1AART|27BASFIG|37VULN|4AEPOI|5DMG|679TLV|7BPWR|8FEWX|aRCR
8	42323 14211	   	294.44	DCR|3TLV|2VULN|1DMG|1AEBURN|1AART	1AART|27BASFIG|37VULN|4AEBURN|5DMG|679TLV|7BPWR|8FEWX|aRCR
9	42313 14311	   	294.34	DCR|3TLV|2VULN|1DMG|1AEPOI|1AART	1AART|27BASFIG|37VULN|4AEPOI|5DMG|679TLV|7BPWR|8DUST|aRCR
10	42323 14311	   	294.34	DCR|3TLV|2VULN|1DMG|1AEBURN|1AART	1AART|27BASFIG|37VULN|4AEBURN|5DMG|679TLV|7BPWR|8DUST|aRCR
11	13351 11526	 * 	293.29	ACR|DCR|2VULN|1TLV|1AART	1AAC|2AART|3aRCR|45VULN|5BPWR|6FEWX|7TLV|8FLTARM|9RPLT
12	43316 14211	   	288.23	DCR|3TLV|2VULN|1AEPOI|1ASPD|1AART	1AART|27TSLARM|37VULN|4AEPOI|5ASPD|679TLV|7BPWR|8FEWX|aRCR
13	43326 14211	   	288.23	DCR|3TLV|2VULN|1AEBURN|1ASPD|1AART	1AART|27TSLARM|37VULN|4AEBURN|5ASPD|679TLV|7BPWR|8FEWX|aRCR
14	43316 14311	   	288.13	DCR|3TLV|2VULN|1AEPOI|1ASPD|1AART	1AART|27TSLARM|37VULN|4AEPOI|5ASPD|679TLV|7BPWR|8DUST|aRCR
15	43326 14311	   	288.13	DCR|3TLV|2VULN|1AEBURN|1ASPD|1AART	1AART|27TSLARM|37VULN|4AEBURN|5ASPD|679TLV|7BPWR|8DUST|aRCR
16	42316 14211	   	288.03	DCR|3TLV|2VULN|1AEPOI|1ASPD|1AART	1AART|27BASFIG|37VULN|4AEPOI|5ASPD|679TLV|7BPWR|8FEWX|aRCR
17	42326 14211	   	288.03	DCR|3TLV|2VULN|1AEBURN|1ASPD|1AART	1AART|27BASFIG|37VULN|4AEBURN|5ASPD|679TLV|7BPWR|8FEWX|aRCR
18	42316 14311	   	287.93	DCR|3TLV|2VULN|1AEPOI|1ASPD|1AART	1AART|27BASFIG|37VULN|4AEPOI|5ASPD|679TLV|7BPWR|8DUST|aRCR
19	42326 14311	   	287.93	DCR|3TLV|2VULN|1AEBURN|1ASPD|1AART	1AART|27BASFIG|37VULN|4AEBURN|5ASPD|679TLV|7BPWR|8DUST|aRCR
20	13351 11426	   	286.25	ACR|DCR|2VULN|1TLV|1AART	1AAC|2AART|3aRCR|45VULN|5BPWR|6FEWX|7TLV|8SPLREG|9RPLT
21	45331 11611	   	285.52	DCR|3VULN|2TLV|2CDMG|1AART	1AART|2BELT|369VULN|4AME|59TLV|79CDMG|8RCR|9BPWR|aBEXP
22	45331 11613	   	285.52	DCR|3VULN|2TLV|2CDMG|1AART	1AART|2BELT|369VULN|4AME|59TLV|79CDMG|8RCR|9BPWR|aLWND
23	64132 15332	 * 	285.26	ACR|4VULN|2TLV	1aBEXP|236aVULN|4RCR|5CGEN|7RMIN|8DUR|9aTLV|aBPWR
24	12324 32266	   	284.18	DCR|3VULN|2TLV|2AEFBLL	1AAC|2aAEFBLL|3DUR|47aVULN|5LIT|6RCR|8FEWX|9aTLV|aBPWR
25	13353 22543	   	284.16	ACR|3VULN|2TLV|2DUR|1AART	1AAC|2AART|3RCR|48aVULN|5LIT|6aTLV|7aDUR|9MDPS|aBPWR
26	13351 31332	   	279.43	ACR|2TLV|2VULN|1AEBURN|2DUR|1AART	1AAC|2AART|3RCR|45VULN|5BPWR|6AEBURN|79DUR|8aTLV
27	45311 11612	   	279.38	DCR|3VULN|1TLV|1AEFBLL|2CDMG|1AART	1AART|2BELT|39aVULN|49CGEN|5TLV|6AEFBLL|79CDMG|8RCR|9BPWR
28	13353 26243	   	279.31	ACR|3TLV|3VULN|1AART	1AAC|2AART|3RCR|47aVULN|57LIT|67aTLV|7aBPWR|8aLHND|9MDPS
29	13353 26131	   	279.21	ACR|3VULN|2TLV|1CDMG|1AART	18AAC|2AART|3RCR|47aVULN|57LIT|67TLV|7BPWR|9CDMG
30	45321 11612	   	279.18	DCR|3VULN|1TLV|1AEFBLL|2CDMG|1AART	1AART|2BELT|39aVULN|49ERES|5TLV|6AEFBLL|79CDMG|8RCR|9BPWR
