0	Index      	 *	Score 	Summary	Detail	
1	16222 11615	 * 	321.09	ACR|DCR|4VULN|1TLV	1CGEN|28RCR|3BEXP|467aVULN|5RCVC|9TLV
2	16222 11612	   	300.04	ACR|DCR|3VULN|1TLV	1CGEN|28RCR|3BEXP|467VULN|5RCVC|9TLV|aLWND
3	16222 11616	   	300.04	ACR|DCR|3VULN|1TLV	1CGEN|28RCR|3BEXP|467VULN|5RCVC|9TLV|aFEWX
4	16224 11612	   	300.04	ACR|DCR|3VULN|1TLV	15CGEN|28RCR|3BEXP|467VULN|9TLV|aLWND
5	16222 12615	   	300.04	ACR|DCR|3VULN|1TLV	17CGEN|28RCR|3BEXP|46aVULN|5RCVC|9TLV
6	16222 11611	   	299.94	ACR|DCR|3VULN|1TLV	1CGEN|28RCR|3BEXP|467VULN|5RCVC|9TLV|aMDPS
7	16222 11613	   	299.94	ACR|DCR|3VULN|1TLV	1CGEN|28RCR|3BEXP|467VULN|5RCVC|9TLV|aERES
8	16224 11611	   	299.94	ACR|DCR|3VULN|1TLV	15CGEN|28RCR|3BEXP|467VULN|9TLV|aMDPS
9	16224 11613	   	299.94	ACR|DCR|3VULN|1TLV	15CGEN|28RCR|3BEXP|467VULN|9TLV|aERES
10	16264 21223	   	299.27	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN|1ASPD	1CGEN|29RCR|36BEXP|4ASPD|5TLV|7VULN|8AEBURN|aDMG
11	42432 33334	 * 	293.20	DCR|2TLV|2VULN|1DMG|1AEBURN|2RAT	13RAT|29FEWX|4DMG|5AEBURN|69VULN|7DUR|89TLV|9BPWR|aRCR
12	43561 22221	 * 	292.98	DCR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1RAT|2CDMG|3AEBURN|4RPLT|5TLV|6ZMB|7MBVNT|8aRCR|9VULN
13	16234 21223	   	292.56	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1CGEN|29RCR|36BEXP|4ZMB|5TLV|7VULN|8AEBURN|aDMG
14	16366 31223	   	292.56	ACR|DCR|1TLV|1VULN|1AEBURN|1DMG|1AEFBLL	1CGEN|29RCR|3AEFBLL|4BEXP|5TLV|6ZMB|7VULN|8AEBURN|aDMG
15	16366 31323	   	292.56	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG	1CGEN|29RCR|3AEFBLL|48BEXP|5TLV|6ZMB|7VULN|aDMG
16	16166 31223	   	292.56	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1CGEN|29RCR|3DMSP|4BEXP|5TLV|6ZMB|7VULN|8AEBURN|aDMG
