0	Index      	 *	Score 	Summary	Detail	
1	52613 22324	 * 	311.92	ACR|DCR|2TLV|1VULN|1DMG|2AEBURN	19AEBURN|2FEWX|3aRCR|459MLV|6DMG|7VULN|89TLV|9BPWR
2	52613 32324	   	305.51	ACR|DCR|2TLV|1VULN|2AEBURN|1ASPD	19AEBURN|2FEWX|3aRCR|459MLV|6ASPD|7VULN|89TLV|9BPWR
3	23223 15256	 * 	302.67	ACR|DCR|2VULN|1TLV|1CDMG	1AEWIND|2RAT|39RCR|4CDMG|5ZMB|6TLV|7aVULN|8ERES
4	46511 11332	 * 	296.27	ACR|4VULN|1TLV|1DMG|1AEPOI	1LHND|2DMG|369aVULN|4AEPOI|5RCR|7ZMB|8TLV
5	11141 11164	   	295.28	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1FEWX|2RMIN|3DMG|4TLV|5aRCR|6VULN|7DUR|8BEXP|9AEBURN
6	11141 11534	   	295.28	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1FEWX|2RMIN|3DMG|4TLV|5aRCR|6VULN|7DUR|8AEBURN|9BEXP
7	11141 11524	   	295.18	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1FEWX|2RMIN|3DMG|4TLV|5aRCR|6VULN|7DUR|8AEBURN|9LEGI
8	35223 11256	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1RAT|2AEBURN|39RCR|4CDMG|5ZMB|6TLV|7FEWX|8ERES|aVULN
9	35223 15251	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1RAT|2AEBURN|39RCR|4CDMG|5ZMB|6TLV|7VULN|8ERES|aLWND
10	35223 15253	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1RAT|2AEBURN|39RCR|4CDMG|5ZMB|6TLV|7VULN|8ERES|aLHND
11	53223 11256	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2RAT|39RCR|4CDMG|5ZMB|6TLV|7FEWX|8ERES|aVULN
12	53223 15251	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2RAT|39RCR|4CDMG|5ZMB|6TLV|7VULN|8ERES|aLWND
13	53223 15253	   	292.98	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2RAT|39RCR|4CDMG|5ZMB|6TLV|7VULN|8ERES|aLHND
14	35223 15252	   	292.88	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1RAT|2AEBURN|39RCR|4CDMG|5ZMB|6TLV|7VULN|8ERES|aDUST
15	53223 15252	   	292.88	ACR|DCR|1TLV|1VULN|1AEBURN|1CDMG	1AEBURN|2RAT|39RCR|4CDMG|5ZMB|6TLV|7VULN|8ERES|aDUST
16	12613 22324	   	291.96	ACR|DCR|2TLV|1VULN|1DMG	19FEWX|2RCVC|3aRCR|459MLV|6DMG|7VULN|89TLV|9BPWR
17	22614 22322	 * 	287.47	ACR|2TLV|2VULN|2DMG|1AEBURN	1AEWIND|29FEWX|3RCR|4MLV|5AEBURN|69DMG|7aVULN|89TLV|9BPWR
18	26611 15431	   	286.15	ACR|DCR|2VULN|1TLV|1AART	1AEWIND|2TLV|36VULN|4MBVNT|59RCR|7AART|8RMIN|aLWND
19	26611 15432	   	286.15	ACR|DCR|2VULN|1TLV|1AART	1AEWIND|2TLV|36VULN|4MBVNT|59RCR|7AART|8RMIN|aLHND
20	26611 15433	   	286.15	ACR|DCR|2VULN|1TLV|1AART	1AEWIND|2TLV|36VULN|4MBVNT|59RCR|7AART|8RMIN|aAME
21	36112 14136	   	286.14	ACR|DCR|1TLV|1VULN|1AEPOI|1ASPD	1RAT|2LHND|3VULN|4aRCR|5ASPD|6AME|7TLV|8AEPOI|9RCVC
22	26611 15434	   	286.05	ACR|DCR|2VULN|1TLV|1AART	1AEWIND|2TLV|36VULN|4MBVNT|59RCR|7AART|8RMIN|aDUST
23	12613 32324	   	285.54	ACR|DCR|2TLV|1VULN|1ASPD	19FEWX|2RCVC|3aRCR|459MLV|6ASPD|7VULN|89TLV|9BPWR
24	35224 32132	   	284.16	ACR|DCR|2TLV|1AEBURN|1CDMG	1RAT|2AEBURN|3aRCR|4CDMG|5DUR|6DLOT|79TLV|8LWND
25	35224 32432	   	284.16	ACR|DCR|2TLV|1AEBURN|1CDMG	1RAT|2AEBURN|3aRCR|4CDMG|5DUR|6DLOT|79TLV|8LHND
26	53224 32132	   	284.16	ACR|DCR|2TLV|1AEBURN|1CDMG	1AEBURN|2RAT|3aRCR|4CDMG|5DUR|6DLOT|79TLV|8LWND
27	53224 32432	   	284.16	ACR|DCR|2TLV|1AEBURN|1CDMG	1AEBURN|2RAT|3aRCR|4CDMG|5DUR|6DLOT|79TLV|8LHND
28	35223 15422	   	282.35	ACR|3VULN|1TLV|1AEBURN|1CDMG|2RAT	18RAT|2AEBURN|3RCR|4CDMG|5ZMB|6TLV|79aVULN
29	53223 15422	   	282.35	ACR|3VULN|1TLV|1AEBURN|1CDMG|2RAT	1AEBURN|28RAT|3RCR|4CDMG|5ZMB|6TLV|79aVULN
30	33724 36147	 * 	282.14	DCR|4VULN|2TLV	1RAT|2MBVNT|37TLV|468aVULN|5DUST|9RCR
31	34231 51131	   	282.05	ACR|DCR|1TLV|1VULN|1DMG	1RAT|2MDPS|3DMG|4AME|5aRCR|6TLV|7DUR|8VULN|9LIT
