0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36133 13613	7	 * 	300.71	橙4易伤3等级3时间2攻速	1689易伤29攻速389等级458时间7随机矿89序列升级a核
2	36132 14216	6	 * 	299.61	橙4易伤2等级2时间1伤害	1569易伤2攻速39等级49时间7核8平台9序列升级a伤害
3	36132 24216	5	   	299.61	橙4易伤2等级2时间1伤害	1569易伤2攻速39等级49时间7核8平台9序列升级a伤害
4	52112 13216	8	 * 	294.91	橙3易伤3伤害3时间1暴击	19a时间2立即金币3全技能49a易伤5暴击6掉矿7核89a伤害9a序列升级
5	36133 14211	6	   	292.77	橙4易伤2等级3时间	169a易伤2攻速39等级459时间7核8平台9序列升级
6	36133 24211	5	   	292.77	橙4易伤2等级3时间	169a易伤2攻速39等级459时间7核8平台9序列升级
7	36163 11115	6	   	287.85	橙4易伤2等级2时间	149a易伤2攻速3a等级5雷电6金币生成7核8a时间a序列升级
8	33363 16236	10	 * 	282.23	橙3易伤2伤害2时间1等级1暴击1卖塔	17a易伤2卖塔3低血量敌人4a伤害5等级6暴击8核9a时间a序列升级
9	33563 12236	10	 * 	282.23	橙3易伤2伤害2时间1等级1暴击1卖塔	17a易伤2卖塔3基地爆炸4a伤害5等级6暴击8核9a时间a序列升级
10	31336 62225	3	 * 	282.22	橙3易伤3伤害2等级	159易伤2平台3全技能4赏金塔69a伤害79等级8核9序列升级
11	33163 16236	10	 * 	282.13	橙3易伤2伤害2时间1等级1暴击1卖塔	17a易伤2卖塔3挖尘4a伤害5等级6暴击8核9a时间a序列升级
12	36132 47331	5	   	281.46	橙3易伤2等级2伤害1时间	15a易伤2攻速3a等级4时间6加一7核8低血量敌人9a伤害a序列升级
13	36222 22345	5	   	280.96	橙3易伤3伤害2等级	158易伤2攻速3额外掉落48等级6双倍矿78a伤害8序列升级9核
14	36163 11135	6	   	280.03	橙3易伤2等级3时间	14a易伤2攻速3a等级5雷电6金币生成7核89a时间a序列升级
15	36133 13613	5	   	279.66	橙3易伤3等级3时间2攻速	189易伤29攻速389等级458时间6随机矿7双倍矿89序列升级a核
16	36132 14212	6	   	279.54	橙4易伤2等级2时间	1569易伤2攻速39等级49时间7核8平台9序列升级a矿等
17	36132 14215	6	   	279.54	橙4易伤2等级2时间	1569易伤2攻速39等级49时间7核8平台9序列升级a立即金币
18	36132 24212	5	   	279.54	橙4易伤2等级2时间	1569易伤2攻速39等级49时间7核8平台9序列升级a矿等
19	36132 24215	5	   	279.54	橙4易伤2等级2时间	1569易伤2攻速39等级49时间7核8平台9序列升级a立即金币
20	36134 24212	4	   	279.54	橙4易伤2等级2时间	1569易伤2攻速39等级49时间7核8平台9序列升级a矿等
21	36132 14213	6	   	279.44	橙4易伤2等级2时间	1569易伤2攻速39等级49时间7核8平台9序列升级a加一
22	36132 24213	5	   	279.44	橙4易伤2等级2时间	1569易伤2攻速39等级49时间7核8平台9序列升级a加一
23	36134 24213	4	   	279.44	橙4易伤2等级2时间	1569易伤2攻速39等级49时间7核8平台9序列升级a加一
24	36132 14211	6	   	279.30	橙4易伤2等级2时间1卖塔	1569易伤2攻速39等级49时间7核8平台9序列升级a卖塔
25	36132 24211	5	   	279.30	橙4易伤2等级2时间1卖塔	1569易伤2攻速39等级49时间7核8平台9序列升级a卖塔
26	36134 24211	4	   	279.30	橙4易伤2等级2时间1卖塔	1569易伤2攻速39等级49时间7核8平台9序列升级a卖塔
27	36222 22344	5	   	278.96	橙3易伤2等级2伤害1暴击	158易伤2攻速3额外掉落48等级6双倍矿78伤害8序列升级9核a暴击
28	36131 14216	6	   	278.56	橙3易伤2等级2时间1伤害	169易伤2攻速39等级49时间5立即金币7核8平台9序列升级a伤害
29	36131 24216	5	   	278.56	橙3易伤2等级2时间1伤害	169易伤2攻速39等级49时间5立即金币7核8平台9序列升级a伤害
30	34341 11115	1	   	276.58	橙4易伤2时间1等级2攻速	149a易伤2掉矿3a攻速5雷电6等级7核8a时间a序列升级
31	36116 51133	7	   	276.42	橙4易伤2等级1伤害2攻速	1567易伤24攻速34等级4序列升级8核9赏金邻近a伤害
32	36113 63613	4	 * 	275.36	橙2易伤3等级2时间1伤害2攻速1暴击	19易伤24攻速349等级49序列升级5暴击6核7最后敌人89时间a伤害
33	36113 11115	6	   	274.64	橙3易伤3等级2时间2攻速	19a易伤24攻速34a等级4a序列升级5雷电6金币生成7核8a时间
34	36333 35226	4	 * 	274.14	橙3易伤2等级3攻速1时间2雷电	17a易伤27a攻速3挖青4额外掉落57雷电6核7a序列升级8时间9a等级
35	36115 31623	4	 * 	273.54	橙4易伤3等级3攻速	168a易伤245攻速348等级48序列升级7全技能9核
36	52126 33361	5	   	273.07	橙3易伤2等级3时间	19a时间2立即金币3全技能4低血量敌人59等级679易伤8核9序列升级
37	36132 14242	7	 * 	272.39	橙5易伤1等级1时间	15689易伤2攻速3等级4时间7雷电a核
38	32543 31133	1	 * 	272.27	橙4易伤3伤害3攻速	1789易伤279攻速346基地爆炸579伤害79序列升级a核
39	36543 31133	2	   	272.27	橙4易伤3伤害3攻速	1789易伤279攻速346基地爆炸579伤害79序列升级a核
40	36133 14212	6	   	271.72	橙3易伤2等级3时间	169易伤2攻速39等级459时间7核8平台9序列升级a最后敌人
41	36133 14213	6	   	271.72	橙3易伤2等级3时间	169易伤2攻速39等级459时间7核8平台9序列升级a金币生成
42	36133 14214	6	   	271.72	橙3易伤2等级3时间	169易伤2攻速39等级459时间7核8平台9序列升级a低血量敌人
