0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21136 43421	9	 * 	302.81	橙5易伤2等级3时间	12458易伤389时间6平台78等级8序列升级a核
2	31121 64363	2	   	299.34	橙5易伤2等级2时间	19等级24时间34689易伤49序列升级59金币生成7核a全技能
3	31126 24361	2	   	291.40	橙4易伤2等级2时间1伤害	19等级24时间3489易伤49序列升级5双倍矿69金币生成7核a伤害
4	21331 64361	3	   	291.30	橙4易伤2等级2时间1伤害	1289易伤35金币生成49时间69等级7核9序列升级a伤害
5	31121 64362	2	   	289.68	橙5易伤2等级2时间	19等级24时间34689易伤49序列升级59a金币生成7核
6	21133 35363	5	   	289.58	橙5易伤2等级2时间	12489易伤39时间5金币生成6基地爆炸79等级9序列升级a核
7	31143 52363	2	   	289.58	橙5易伤2等级2时间	19等级25时间35789易伤4挖青59序列升级69金币生成a核
8	31153 52363	3	   	289.58	橙5易伤2等级2时间	19等级25时间3挖青45789易伤59序列升级69金币生成a核
9	31121 64361	2	   	289.58	橙5易伤2等级2时间	19等级24时间34689易伤49序列升级59金币生成7核a挖尘
10	21112 45363	3	   	289.48	橙5易伤2等级2时间	12689易伤39时间4掉矿5基地爆炸79等级9序列升级a核
11	21134 25363	4	   	289.48	橙5易伤2等级2时间	12489易伤39时间5基地爆炸6掉矿79等级9序列升级a核
12	21212 45363	2	   	289.48	橙5易伤2等级2时间	12689易伤39时间4掉矿5基地爆炸79等级9序列升级a核
13	22212 45363	1	   	289.48	橙5易伤2等级2时间	12689易伤39时间4掉矿5基地爆炸79等级9序列升级a核
14	31143 42363	2	   	289.38	橙5易伤2等级2时间	19等级25时间35689易伤4挖青59序列升级79掉矿a核
15	31153 42363	3	   	289.38	橙5易伤2等级2时间	19等级25时间3挖青45689易伤59序列升级79掉矿a核
16	31126 24362	2	   	284.99	橙4易伤2等级2时间1暴击	19等级24时间3489易伤49序列升级5双倍矿69金币生成7核a暴击
17	36323 12411	2	   	284.92	橙4易伤2等级2暴击1时间	18等级2雷电38暴击4策反5时间689a易伤7核8序列升级
18	21331 64362	3	   	284.89	橙4易伤2等级2时间1暴击	1289易伤35金币生成49时间69等级7核9序列升级a暴击
19	21133 64363	5	   	284.66	橙5易伤2等级1时间	12489易伤3时间59金币生成69等级7核9序列升级a全技能
20	31121 61463	2	   	284.56	橙4易伤2等级3时间	19等级249时间3468易伤49序列升级5金币生成79低血量敌人a核
21	31122 52363	2	   	284.56	橙4易伤2等级3时间	19等级249时间3478易伤49序列升级5基地爆炸69金币生成a核
22	31123 52463	2	   	284.56	橙4易伤2等级3时间	19等级249时间3478易伤49序列升级5低血量敌人69金币生成a核
23	31421 62363	4	   	284.56	橙4易伤2等级3时间	19等级249时间34基地爆炸49序列升级5金币生成6789易伤a核
24	31121 64161	2	   	284.56	橙4易伤2等级3时间	19等级249时间346a易伤49序列升级5金币生成7核89低血量敌人
25	31122 42363	2	   	284.36	橙4易伤2等级3时间	19等级249时间3468易伤49序列升级5基地爆炸79掉矿a核
26	31123 42463	2	   	284.36	橙4易伤2等级3时间	19等级249时间3468易伤49序列升级5低血量敌人79掉矿a核
27	31321 62463	4	   	284.36	橙4易伤2等级3时间	19等级249时间34挖尘49序列升级5金币生成6789易伤a核
28	36323 12413	2	   	283.94	橙3易伤2等级1伤害2暴击1时间	18等级2雷电38暴击4策反5时间689易伤7核8序列升级a伤害
29	23621 14252	5	   	283.69	橙5易伤3时间1等级	15789易伤2额外掉落379时间4挖青6核79序列升级a等级
30	23623 12252	5	   	283.69	橙5易伤3时间1等级	15789易伤2额外掉落359时间4挖青59序列升级6核a等级
31	21122 61265	6	 * 	282.82	橙3易伤2等级2伤害1时间1核弹	129易伤3时间4平台59伤害69等级7核弹8核9序列升级a全技能
32	21584 27313	1	   	282.72	橙3易伤2等级2伤害1时间	14a易伤2全技能3加一5时间6a等级7a伤害8赏金邻近9核a序列升级
33	21122 61263	6	   	281.46	橙3易伤2等级2伤害1时间1核弹	129易伤3时间4平台59伤害69等级7核弹8核9序列升级a雷电
34	21131 26336	10	   	280.73	橙4易伤2时间1等级2雷电1暴击	1247易伤37时间57雷电6平台7序列升级8等级9暴击a核
35	31125 24321	2	   	279.44	橙4易伤2等级2时间	15等级24时间348a易伤4序列升级6金币生成7核9雷电
36	31125 54321	2	   	279.34	橙4易伤2等级2时间	15等级24时间348a易伤4序列升级6掉矿7核9雷电
37	36133 12536	7	   	279.22	橙3易伤3时间1等级1伤害2雷电	1等级24雷电348时间4序列升级569易伤7伤害a核
38	31121 64321	2	   	278.77	橙5易伤2时间1等级	1等级24时间3468a易伤4序列升级5金币生成7核9雷电
39	21142 14251	3	   	277.85	橙5易伤3时间1伤害	12789易伤379时间479低血量敌人5额外掉落6核79序列升级a伤害
40	21242 14251	2	   	277.85	橙5易伤3时间1伤害	12789易伤379时间479低血量敌人5额外掉落6核79序列升级a伤害
41	22242 14251	1	   	277.85	橙5易伤3时间1伤害	12789易伤379时间479低血量敌人5额外掉落6核79序列升级a伤害
42	23611 14251	5	   	277.85	橙5易伤3时间1伤害	15789易伤2额外掉落379时间479低血量敌人6核79序列升级a伤害
43	21533 35333	3	   	277.56	橙5易伤1等级1伤害	12368易伤3序列升级4雷电5全技能7等级9核a伤害
44	23344 12111	5	   	277.06	橙3易伤2等级3时间1暴击	178易伤2额外掉落3矿等48等级589时间6核8序列升级a暴击
45	22131 64361	4	   	276.72	橙4易伤2等级1伤害1时间	1489易伤2双倍矿3时间59矿等69等级7核9序列升级a伤害
46	22133 64361	5	   	276.72	橙4易伤2等级1伤害1时间	1489易伤2双倍矿3时间59金币生成69等级7核9序列升级a伤害
47	21122 33251	10	 * 	276.65	橙4易伤3时间2伤害1卖塔	126a易伤39a时间4平台5a伤害7卖塔8核a序列升级
