0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31515 31513	7	 * 	277.85	橙4易伤2等级2伤害	1金币生成237a易伤46伤害59等级8核
2	31515 31511	7	   	273.05	橙3易伤2等级2伤害1时间	1金币生成237易伤46伤害59等级8核a时间
3	31525 33631	6	   	267.35	橙4易伤2伤害1等级	17金币生成2379易伤4攻速5等级67伤害7序列升级8核a矿等
4	31525 33632	6	   	267.35	橙4易伤2伤害1等级	17金币生成2379易伤4攻速5等级67伤害7序列升级8核a最后敌人
5	31525 33633	6	   	267.25	橙4易伤2伤害1等级	17金币生成2379易伤4攻速5等级67伤害7序列升级8核a掉矿
6	14113 54122	7	 * 	264.54	橙4易伤3伤害1时间	1低血量敌人2加一3689易伤456伤害6序列升级7时间a核
7	14113 54622	8	   	264.54	橙4易伤3伤害1时间	1低血量敌人2加一3689易伤456伤害6序列升级7时间a核
8	14113 54642	9	   	264.54	橙4易伤3伤害1时间	1低血量敌人2加一3689易伤456伤害6序列升级7时间a核
9	24113 52122	7	   	264.54	橙4易伤3伤害1时间	1基地爆炸2加一3689易伤456伤害6序列升级7时间a核
10	24113 52622	8	   	264.54	橙4易伤3伤害1时间	1基地爆炸2加一3689易伤456伤害6序列升级7时间a核
11	14124 37271	10	 * 	263.41	橙3易伤3等级3时间	18a低血量敌人2加一347易伤58a等级68a时间8a序列升级9核
12	14124 37273	9	   	263.31	橙3易伤2等级3时间	18低血量敌人2加一347易伤58等级68a时间8序列升级9核
13	11123 26244	5	   	262.74	橙4易伤2伤害1时间1暴击	19低血量敌人2最后敌人349a易伤5时间6暴击7核89伤害9序列升级
14	43325 15322	1	   	262.73	橙3易伤1等级1伤害1时间1全技能	1全技能2攻速3时间48a易伤5等级6雷电7伤害9核
15	43333 21322	1	   	262.73	橙3易伤1等级1伤害1时间1全技能	1全技能2攻速3时间4等级5雷电6伤害78a易伤9核
16	46214 21322	2	   	262.73	橙3易伤1等级1伤害1时间1全技能	1全技能2等级3雷电4时间5攻速6伤害78a易伤9核
17	14158 23142	7	   	262.26	橙4易伤2等级1暴击	1a低血量敌人2加一359a易伤4暴击6核7攻速8a等级a序列升级
18	21122 12264	4	   	261.37	橙3易伤2等级1伤害1暴击	18基地爆炸2最后敌人348易伤5暴击6雷电78等级8序列升级9核a伤害
19	11125 12166	4	   	260.27	橙4易伤2等级1伤害	1低血量敌人2最后敌人3457易伤6伤害89等级a核
20	31515 12513	5	   	260.27	橙4易伤2等级1伤害	17金币生成236a易伤4伤害59等级8核
21	31515 21513	7	   	260.27	橙4易伤2等级1伤害	1金币生成237a易伤4伤害59等级6立即金币8核
22	24122 81543	9	 * 	258.65	橙5易伤2等级	1a基地爆炸2加一3456a易伤7a等级8核9平台a序列升级
23	22122 21446	7	   	258.55	橙5易伤2等级	1基地爆炸2敌人爆炸34569易伤7a等级8核
24	31216 16261	10	 * 	257.69	橙5易伤3时间	18a金币生成2678a易伤3挖尘4基地爆炸58a时间8a序列升级9核
25	35244 37271	10	   	257.59	橙5易伤3时间	18a金币生成2加一3挖尘4568a易伤78a时间8a序列升级9核
26	31515 12136	6	   	257.50	橙4易伤1等级1伤害1时间	1金币生成2379易伤4伤害5等级6随机矿8时间a核
27	31515 13136	5	   	257.50	橙4易伤1等级1伤害1时间	1金币生成2369易伤4伤害5等级7时间8矿等a核
28	31515 13136	4	   	257.50	橙4易伤1等级1伤害1时间	1金币生成2369易伤4伤害5随机矿7时间8等级a核
29	43325 15321	1	   	257.05	橙2易伤2等级1伤害1时间1全技能	1全技能2攻速3时间48易伤5a等级6雷电7伤害9核
30	43333 21321	1	   	257.05	橙2易伤2等级1伤害1时间1全技能	1全技能2攻速3时间4a等级5雷电6伤害78易伤9核
31	43333 21422	1	   	257.05	橙2易伤2等级1伤害1时间1全技能	1全技能2攻速3时间48等级5雷电6伤害7a易伤9核
32	43333 25422	1	   	257.05	橙2易伤2等级1伤害1时间1全技能	1全技能2攻速3时间47等级5雷电6伤害8a易伤9核
33	46214 21321	2	   	257.05	橙2易伤2等级1伤害1时间1全技能	1全技能2a等级3雷电4时间5攻速6伤害78易伤9核
34	31515 32513	6	   	256.80	橙3易伤2等级2伤害	17金币生成23a易伤46伤害59等级8核
35	34315 31513	7	   	256.80	橙3易伤2等级2伤害	12金币生成2序列升级37a易伤46伤害59等级8核
36	31515 31512	7	   	256.70	橙3易伤2等级2伤害	1金币生成237易伤46伤害59等级8核a加一
37	14138 24282	8	   	256.66	橙3易伤2等级2伤害1卖塔	1a低血量敌人2加一358易伤4卖塔6核7a等级9a伤害a序列升级
38	22122 21443	7	   	255.78	橙5易伤1等级1时间	1基地爆炸2敌人爆炸34569易伤7等级8核a时间
39	35644 32731	6	   	255.68	橙5易伤1等级1时间	1金币生成2加一34579易伤6等级8核a时间
40	24122 84417	7	   	255.68	橙5易伤1等级1时间	1基地爆炸2加一34569易伤7核8时间a等级
41	43333 21324	1	   	255.62	橙2易伤2伤害1等级1时间1全技能	1全技能2攻速3时间4等级5雷电6a伤害78易伤9核
42	31516 11411	10	   	255.57	橙3易伤2等级1伤害1时间	19金币生成239易伤4伤害5掉矿6随机矿79等级8核9序列升级a时间
43	31515 12511	5	   	255.47	橙3易伤2等级1伤害1时间	17金币生成236易伤4伤害59等级8核a时间
44	31515 11136	7	   	255.47	橙3易伤2等级1伤害1时间	1金币生成239易伤4伤害57等级6随机矿8时间a核
45	31515 21511	7	   	255.47	橙3易伤2等级1伤害1时间	1金币生成237易伤4伤害59等级6立即金币8核a时间
46	31244 42311	8	   	255.06	橙4易伤2等级2雷电	1金币生成2689易伤3挖尘47雷电56等级6序列升级a核
47	65643 42241	10	 * 	254.88	橙4易伤3攻速1伤害1时间	18a掉矿2加一348a易伤5时间6伤害78a攻速8a序列升级9核
48	14113 54224	8	 * 	254.66	橙2易伤3伤害1等级1时间1全技能	1低血量敌人2加一36易伤456伤害6序列升级7时间8全技能9核a等级
49	14113 54524	7	   	254.66	橙2易伤3伤害1等级1时间1全技能	1低血量敌人2加一36易伤456伤害6序列升级7时间8全技能9核a等级
50	24113 52524	7	   	254.66	橙2易伤3伤害1等级1时间1全技能	1基地爆炸2加一36易伤456伤害6序列升级7时间8全技能9核a等级
51	31441 13136	2	   	254.14	橙3易伤2伤害1等级1时间	15金币生成269易伤3矿等45伤害5序列升级7时间8等级a核
52	31244 42332	10	   	254.07	橙3易伤2等级1伤害2雷电	1金币生成268易伤3挖尘47雷电56等级6序列升级9核a伤害
53	31515 33136	6	   	254.04	橙3易伤2伤害1等级1时间	1金币生成239易伤46伤害5等级7时间8矿等a核
54	31515 35132	7	   	254.04	橙3易伤2伤害1等级1时间	1金币生成239易伤46伤害5等级7核8矿等a时间
55	31513 12661	5	   	254.04	橙3易伤2伤害1等级1时间	1金币生成237易伤46伤害5时间8核9等级a敌人爆炸
56	31513 12662	5	   	254.04	橙3易伤2伤害1等级1时间	1金币生成237易伤46伤害5时间8核9等级a低血量敌人
57	31513 12663	5	   	254.04	橙3易伤2伤害1等级1时间	1金币生成237易伤46伤害5时间8核9等级a平台
58	31513 16136	5	   	254.04	橙3易伤2伤害1等级1时间	1金币生成239易伤46伤害5时间7随机矿8等级a核
59	14158 21142	7	   	253.95	橙4易伤2等级1暴击	1a低血量敌人2加一359a易伤4暴击6核7策反8a等级a序列升级
60	61513 12216	5	   	253.94	橙3易伤2伤害1等级1时间	1掉矿237易伤46伤害5时间8金币生成9等级a核
61	61513 12316	5	   	253.94	橙3易伤2伤害1等级1时间	1掉矿237易伤46伤害5时间8随机矿9等级a核
62	44232 11143	1	   	253.92	橙5易伤2时间1全技能	1全技能2678a易伤38基地爆炸48时间5赏金塔8序列升级9核
63	13115 25261	10	 * 	253.84	橙3易伤3伤害1等级	138a低血量敌人2策反48a伤害5等级6最后敌人78a易伤8a序列升级9核
64	13115 15261	10	   	253.74	橙3易伤3伤害1等级	138a低血量敌人2策反48a伤害5等级6挖尘78a易伤8a序列升级9核
65	46213 11143	1	   	253.72	橙5易伤2时间1全技能	1全技能2赏金邻近38时间48挖尘5678a易伤8序列升级9核
66	46252 12322	1	 * 	253.59	橙2易伤2伤害2时间1等级1全技能	1全技能2赏金邻近38时间4最后敌人5加一68易伤78伤害8序列升级9核a等级
67	11113 45123	6	   	253.54	橙3易伤3伤害1等级	16低血量敌人2最后敌人389易伤456伤害6序列升级7核a等级
68	12113 45123	6	   	253.54	橙3易伤3伤害1等级	16低血量敌人2敌人爆炸389易伤456伤害6序列升级7核a等级
69	14174 74222	8	   	253.54	橙3易伤3伤害1等级	18低血量敌人2加一389易伤4等级5矿等678伤害8序列升级a核
70	14174 74242	9	   	253.54	橙3易伤3伤害1等级	18低血量敌人2加一389易伤4等级5矿等678伤害8序列升级a核
71	21113 45123	6	   	253.54	橙3易伤3伤害1等级	16基地爆炸2最后敌人389易伤456伤害6序列升级7核a等级
72	22113 45123	6	   	253.54	橙3易伤3伤害1等级	16基地爆炸2敌人爆炸389易伤456伤害6序列升级7核a等级
73	46212 12322	1	   	253.49	橙2易伤2伤害2时间1等级1全技能	1全技能2赏金邻近38时间4挖尘5加一68易伤78伤害8序列升级9核a等级
74	46213 52322	1	   	253.49	橙2易伤2伤害2时间1等级1全技能	1全技能2赏金邻近38时间4挖尘58易伤6加一78伤害8序列升级9核a等级
75	14171 73242	9	   	253.44	橙3易伤3伤害1等级	18低血量敌人2加一389易伤4等级5掉矿678伤害8序列升级a核
76	14171 73242	8	   	253.44	橙3易伤3伤害1等级	18低血量敌人2加一389易伤4等级5掉矿678伤害8序列升级a核
77	43325 15323	1	   	252.62	橙2易伤2时间1等级1伤害1全技能	1全技能2攻速3a时间48易伤5等级6雷电7伤害9核
78	43333 21323	1	   	252.62	橙2易伤2时间1等级1伤害1全技能	1全技能2攻速3a时间4等级5雷电6伤害78易伤9核
79	43333 21522	1	   	252.62	橙2易伤2时间1等级1伤害1全技能	1全技能2攻速38时间4等级5雷电6伤害7a易伤9核
80	46214 21323	2	   	252.62	橙2易伤2时间1等级1伤害1全技能	1全技能2等级3雷电4a时间5攻速6伤害78易伤9核
81	46252 12321	1	 * 	252.08	橙3易伤2伤害2时间1全技能	1全技能2赏金邻近38时间4最后敌人5加一68a易伤78伤害8序列升级9核
82	31155 13216	5	 * 	252.02	橙4易伤2时间1等级	1金币生成2456易伤3低血量敌人78时间9等级a核
83	31355 13216	5	   	252.02	橙4易伤2时间1等级	1金币生成2456易伤3最后敌人78时间9等级a核
84	13355 32216	5	   	252.02	橙4易伤2时间1等级	1低血量敌人2策反3457易伤68时间9等级a核
85	46212 12321	1	   	251.98	橙3易伤2伤害2时间1全技能	1全技能2赏金邻近38时间4挖尘5加一68a易伤78伤害8序列升级9核
86	46213 52321	1	   	251.98	橙3易伤2伤害2时间1全技能	1全技能2赏金邻近38时间4挖尘58a易伤6加一78伤害8序列升级9核
87	31525 13136	6	   	251.75	橙3易伤2等级2攻速1时间	17金币生成239易伤47攻速57等级6随机矿7序列升级8时间a核
88	22122 45234	7	   	251.09	橙4易伤1等级1时间1暴击	1基地爆炸2敌人爆炸345a易伤6暴击7时间8等级9核
89	22141 23234	8	   	251.09	橙4易伤1等级1时间1暴击	1基地爆炸2敌人爆炸378a易伤4暴击5等级6时间9核
90	22361 23234	8	   	251.09	橙4易伤1等级1时间1暴击	1基地爆炸2敌人爆炸3暴击478a易伤5等级6时间9核
91	14158 24442	8	   	251.09	橙4易伤1等级2攻速1暴击	1a低血量敌人2加一359a易伤4暴击6核7等级8a攻速a序列升级
92	14158 24442	9	   	251.09	橙4易伤1等级2攻速1暴击	1a低血量敌人2加一359a易伤4暴击6核7等级8a攻速a序列升级
93	25122 43132	7	   	250.99	橙4易伤1等级1时间1暴击	1基地爆炸2挖尘3458易伤6暴击7等级9核a时间
94	31513 35216	7	 * 	250.94	橙3易伤2时间1等级1伤害	1金币生成237易伤4伤害58时间6掉矿9等级a核
95	31516 13216	5	   	250.94	橙3易伤2时间1等级1伤害	1金币生成236易伤4伤害5掉矿78时间9等级a核
96	61511 13216	4	   	250.94	橙3易伤2时间1等级1伤害	1掉矿236易伤4伤害5金币生成78时间9等级a核
97	31516 31533	7	 * 	250.88	橙5易伤2伤害	1金币生成2379a易伤46伤害5掉矿8核
98	31513 42632	10	   	250.10	橙3易伤1等级1伤害1时间1暴击	1金币生成239易伤4伤害5时间6暴击7策反8等级a核
99	31513 43234	7	   	250.10	橙3易伤1等级1伤害1时间1暴击	1金币生成23a易伤4伤害5时间6暴击7敌人爆炸8等级9核
100	14124 37272	10	   	250.09	橙3易伤2等级2时间	18低血量敌人2加一347易伤58等级68时间8序列升级9核a基地爆炸
101	14124 37273	10	   	250.09	橙3易伤2等级2时间	18低血量敌人2加一347易伤58等级68时间8序列升级9核a额外掉落
102	14124 37274	10	   	250.09	橙3易伤2等级2时间	18低血量敌人2加一347易伤58等级68时间8序列升级9核a最后敌人
103	11123 26246	5	   	249.99	橙3易伤2伤害1时间1暴击	19低血量敌人2最后敌人349易伤5时间6暴击7核89伤害9序列升级a雷电
104	14124 37272	9	   	249.99	橙3易伤2等级2时间	18低血量敌人2加一347易伤58等级68时间8序列升级9核a赏金邻近
105	14124 37271	9	   	249.84	橙3易伤2等级2时间1卖塔	18低血量敌人2加一347易伤58等级68时间8序列升级9核a卖塔
106	24126 13334	9	   	249.82	橙4易伤2等级1全技能1卖塔	16a基地爆炸2加一346a易伤5全技能6a序列升级7a等级8卖塔9核
107	24124 38334	9	   	249.72	橙4易伤2等级1全技能1卖塔	1a基地爆炸2加一347a易伤5a等级6全技能8卖塔9核a序列升级
108	24126 48334	9	   	249.72	橙4易伤2等级1全技能1卖塔	1a基地爆炸2加一347a易伤5全技能6a等级8卖塔9核a序列升级
109	13355 32631	6	   	249.64	橙5易伤1伤害1时间	1低血量敌人2策反34579易伤6伤害8核a时间
110	31515 12211	6	   	249.56	橙4易伤1等级1伤害	1金币生成2379易伤4伤害5等级6随机矿8雷电a核
111	31515 16211	5	   	249.56	橙4易伤1等级1伤害	1金币生成2369易伤4伤害5等级7随机矿8雷电a核
112	22122 21623	10	   	249.56	橙4易伤1等级1伤害	1基地爆炸2敌人爆炸3456易伤7等级8雷电9核a伤害
113	22122 21623	9	   	249.56	橙4易伤1等级1伤害	1基地爆炸2敌人爆炸3456易伤7等级8雷电9核a伤害
114	31516 42211	6	   	249.46	橙4易伤1等级1伤害	1金币生成2379易伤4伤害5掉矿6等级8雷电a核
115	35424 36624	10	   	249.46	橙4易伤1等级1伤害	1金币生成2加一3攻速4伤害5678易伤9等级a核
116	61515 12211	5	   	249.46	橙4易伤1等级1伤害	1掉矿2369易伤4伤害5等级7金币生成8雷电a核
117	61515 12211	6	   	249.46	橙4易伤1等级1伤害	1掉矿2379易伤4伤害5等级6随机矿8雷电a核
118	31561 33251	4	   	249.25	橙4易伤2伤害	1金币生成2389易伤4雷电5攻速6a伤害7核
119	42126 14312	8	 * 	249.18	橙3易伤2伤害2暴击2全技能	12全技能3平台48伤害58a易伤68暴击7核8序列升级9额外掉落
120	42126 14331	10	   	249.18	橙3易伤2伤害2暴击2全技能	12全技能3平台48伤害58a易伤68暴击7核8序列升级9额外掉落
121	42126 14332	9	   	249.18	橙3易伤2伤害2暴击2全技能	12全技能3平台48伤害58a易伤68暴击7核8序列升级9额外掉落
122	22141 23134	7	   	249.05	橙3易伤2等级1时间1暴击	1基地爆炸2敌人爆炸37a易伤4暴击58等级6时间9核
123	22361 23134	7	   	249.05	橙3易伤2等级1时间1暴击	1基地爆炸2敌人爆炸3暴击47a易伤58等级6时间9核
124	25122 43632	8	   	248.95	橙3易伤2等级1时间1暴击	1基地爆炸2挖尘345易伤6暴击78等级9核a时间
125	21163 11264	4	   	248.91	橙3易伤1等级1伤害2雷电1暴击	18基地爆炸2最后敌人358易伤4等级6暴击78雷电8序列升级9核a伤害
126	22163 11264	4	   	248.91	橙3易伤1等级1伤害2雷电1暴击	18基地爆炸2敌人爆炸358易伤4等级6暴击78雷电8序列升级9核a伤害
127	31513 12631	5	   	248.89	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5时间8核a矿等
128	31513 12632	5	   	248.89	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5时间8核a最后敌人
129	31513 12634	5	   	248.89	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5时间8核a敌人爆炸
130	31513 12636	5	   	248.89	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5时间8核a随机矿
131	31511 12136	5	   	248.89	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5低血量敌人8时间a核
132	31513 12536	5	   	248.89	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5时间8基地爆炸a核
133	31514 12136	5	   	248.89	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5最后敌人8时间a核
134	14262 43334	5	 * 	248.88	橙3易伤2等级2暴击1全技能	1a低血量敌人2加一3全技能47等级59a易伤6a暴击8核a序列升级
135	14262 53334	6	   	248.88	橙3易伤2等级2暴击1全技能	1a低血量敌人2加一3全技能47等级59a易伤6a暴击8核a序列升级
136	14268 43334	4	   	248.88	橙3易伤2等级2暴击1全技能	1a低血量敌人2加一3全技能47等级59a易伤6a暴击8核a序列升级
137	24122 84634	9	   	248.79	橙4易伤2伤害1时间	1基地爆炸2加一3456易伤7核8a伤害9时间
138	31513 12633	5	   	248.79	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5时间8核a掉矿
139	31516 31531	7	   	248.79	橙4易伤2伤害1时间	1金币生成2379易伤46伤害5掉矿8核a时间
140	61513 12631	5	   	248.79	橙4易伤2伤害1时间	1掉矿2379易伤46伤害5时间8核a矿等
