0	Index      	 *	Score 	Summary	Detail	
1	23426 33422	 * 	331.14	橙橙2易伤2等级1矿等1攻速	149雷电29易伤3攻速5低血量敌人68核79等级9序列升级a矿等
2	23434 33421	 * 	324.69	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4低血量敌人68核79等级9序列升级a敌人爆炸
3	23434 33422	   	324.69	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4低血量敌人68核79等级9序列升级a赏金邻近
4	23434 33423	   	324.69	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4低血量敌人68核79等级9序列升级a赏金塔
5	23414 33421	   	324.59	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4挖尘68核79等级9序列升级a敌人爆炸
6	23414 33422	   	324.59	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4挖尘68核79等级9序列升级a赏金邻近
7	23414 33423	   	324.59	橙橙3易伤2等级1攻速	19雷电259易伤3攻速4挖尘68核79等级9序列升级a赏金塔
8	53662 12231	 * 	320.92	橙橙2矿等2伤害1易伤	1随机技能27伤害36矿等4低血量敌人5时间89核a易伤
9	51233 14263	   	315.76	橙橙2易伤1等级1矿等	1随机技能23易伤4时间5最后敌人6矿等7等级8散射对甲9a核
10	53333 22222	 * 	311.88	橙橙2伤害1易伤1等级2时间2随机技能	15随机技能27伤害3等级45时间5序列升级6易伤8a核9雷电
11	23534 33411	   	310.96	橙橙3易伤1等级1技能	1雷电25a易伤3技能4低血量敌人68核7等级9随机矿
12	23514 33411	   	310.86	橙橙3易伤1等级1技能	1雷电25a易伤3技能4挖尘68核7等级9随机矿
13	23434 33411	   	310.31	橙橙3易伤1等级1攻速	1雷电25a易伤3攻速4低血量敌人68核7等级9随机矿
14	23414 33411	   	310.21	橙橙3易伤1等级1攻速	1雷电25a易伤3攻速4挖尘68核7等级9随机矿
15	23624 33411	   	310.21	橙橙3易伤1等级1攻速	1雷电25a易伤3雷电减费4攻速68核7等级9随机矿
16	53613 52331	   	309.62	橙橙1易伤1等级1矿等1伤害	1随机技能2伤害3矿等4金币生成5双倍矿69核7时间8等级a易伤
17	53621 52331	   	309.42	橙橙1易伤1等级1矿等1伤害	1随机技能2伤害3矿等4火球减费5掉矿69核7时间8等级a易伤
18	53633 22222	   	308.37	橙橙2伤害1易伤1矿等2时间2随机技能	15随机技能27伤害3矿等45时间5序列升级6易伤8a核9雷电
19	51225 52322	   	307.13	橙橙2易伤1等级1伤害	1随机技能23易伤4暴雪减费5伤害6a核7时间8等级9雷电
20	23526 33422	   	305.58	橙橙2等级1易伤1矿等1技能	149雷电2易伤3技能59低血量敌人68核79等级9序列升级a矿等
21	53332 22222	   	305.17	橙橙2伤害1易伤1等级2时间	1随机技能27伤害3等级45时间6易伤8a核9雷电
22	53363 22222	 * 	304.49	橙橙2等级2伤害1易伤	1随机技能27伤害36等级4低血量敌人5易伤8a核9雷电
23	53662 12232	 * 	304.48	橙橙2矿等3伤害	1随机技能27a伤害36矿等4低血量敌人5时间89核
24	53563 22222	   	304.39	橙橙2等级2伤害1易伤	1随机技能27伤害3挖青46等级5易伤8a核9雷电
25	23534 33421	   	303.19	橙橙2易伤2等级1技能	19雷电25易伤3技能49低血量敌人68核79等级9序列升级a敌人爆炸
26	23534 33422	   	303.19	橙橙2易伤2等级1技能	19雷电25易伤3技能49低血量敌人68核79等级9序列升级a赏金邻近
27	23534 33423	   	303.19	橙橙2易伤2等级1技能	19雷电25易伤3技能49低血量敌人68核79等级9序列升级a赏金塔
28	23514 33421	   	302.99	橙橙2易伤2等级1技能	19雷电25易伤3技能49挖尘68核79等级9序列升级a敌人爆炸
29	23514 33422	   	302.99	橙橙2易伤2等级1技能	19雷电25易伤3技能49挖尘68核79等级9序列升级a赏金邻近
30	23514 33423	   	302.99	橙橙2易伤2等级1技能	19雷电25易伤3技能49挖尘68核79等级9序列升级a赏金塔
31	23426 33321	   	302.55	橙橙2易伤2等级1攻速	148雷电28易伤3攻速5低血量敌人6a核78等级8序列升级9敌人爆炸
32	23426 33351	   	302.55	橙橙2易伤2等级1攻速	148雷电28易伤3攻速5低血量敌人6a核78等级8序列升级9最后敌人
33	23426 33311	   	302.45	橙橙2易伤2等级1攻速	148雷电28易伤3攻速5低血量敌人6a核78等级8序列升级9基地爆炸
34	23426 33421	   	302.45	橙橙2易伤2等级1攻速	149雷电29易伤3攻速5低血量敌人68核79等级9序列升级a基地爆炸
35	23426 33423	   	302.45	橙橙2易伤2等级1攻速1挖怪	149雷电29易伤3攻速5低血量敌人68核79等级9序列升级a挖怪
36	23364 33411	   	302.27	橙橙3易伤1等级	1雷电25a易伤3时间4核弹68核7等级9随机矿
37	53632 22222	   	301.66	橙橙2伤害1易伤1矿等2时间	1随机技能27伤害3矿等45时间6易伤8a核9雷电
38	53313 66231	   	301.21	橙橙1易伤1等级1矿等1伤害	1随机技能2伤害3等级4金币生成5双倍矿6雷电减费7矿等89核a易伤
