0	Index      	 *	Score 	Summary	Detail	
1	22553 26312	 * 	286.00	橙橙3易伤1伤害	1防空对愈2技能35基地爆炸49a易伤68核7伤害
2	53342 32613	 * 	280.61	紫橙3易伤1伤害1暴击1平台	137敌人爆炸237易伤37序列升级48核57掉矿6平台9暴击a伤害
3	22334 26341	   	277.51	橙橙2易伤1伤害1暴击	1防空对愈2技能35最后敌人4a易伤68核7伤害9暴击
4	23324 26341	   	273.26	橙橙1易伤1伤害1暴击1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9暴击a易伤
5	22334 26314	   	272.17	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a时间
6	23324 26313	 * 	272.07	橙橙1易伤2攻速1伤害	1防空对愈2立即金币3a攻速4基地爆炸5时间68核7伤害9易伤
7	23354 26313	   	272.07	橙橙1易伤2攻速1伤害	1防空对愈2立即金币3a攻速4低血量敌人5时间68核7伤害9易伤
8	22334 26316	   	270.80	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a核弹
9	23324 26314	   	269.27	橙橙1易伤1伤害1攻速1平台	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9易伤a平台
10	53242 11433	   	268.74	橙橙1易伤1伤害1矿等1暴击	1敌人爆炸2易伤3赏金邻近4矿等5伤害6加一7a核8爆破对壮9暴击
11	23323 26341	   	264.96	橙橙1易伤1伤害1暴击1攻速	1防空对愈2立即金币3攻速4基地爆炸5最后敌人68核7伤害9暴击a易伤
12	23353 26341	   	264.96	橙橙1易伤1伤害1暴击1攻速	1防空对愈2立即金币3攻速4低血量敌人5最后敌人68核7伤害9暴击a易伤
13	22334 26311	   	263.86	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a敌人爆炸
14	22553 26311	   	263.86	橙橙2易伤1伤害	1防空对愈2技能35基地爆炸49易伤68核7伤害a额外掉落
15	22553 26313	   	263.86	橙橙2易伤1伤害	1防空对愈2技能35基地爆炸49易伤68核7伤害a雷电
16	22334 26312	   	263.76	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a掉矿
17	22334 26313	   	263.76	橙橙2易伤1伤害	1防空对愈2技能35最后敌人49易伤68核7伤害a双倍秒伤
18	23323 26313	   	263.76	橙橙1易伤2攻速1伤害	1防空对愈2立即金币3a攻速4基地爆炸5最后敌人68核7伤害9易伤
19	23353 26313	   	263.76	橙橙1易伤2攻速1伤害	1防空对愈2立即金币3a攻速4低血量敌人5最后敌人68核7伤害9易伤
20	23324 26331	 * 	262.64	橙橙2伤害1矿等1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7a伤害9矿等
21	23354 26331	   	262.64	橙橙2伤害1矿等1攻速	1防空对愈2立即金币3攻速4低血量敌人5时间68核7a伤害9矿等
22	14215 11483	   	262.33	橙橙1易伤1矿等1暴击1攻速	1赏金塔2攻速3矿等4基地爆炸5易伤6加一7a核8爆破对壮9暴击
23	23323 26314	   	260.97	橙橙1易伤1伤害1攻速1平台	1防空对愈2立即金币3攻速4基地爆炸5最后敌人68核7伤害9易伤a平台
24	23353 26314	   	260.97	橙橙1易伤1伤害1攻速1平台	1防空对愈2立即金币3攻速4低血量敌人5最后敌人68核7伤害9易伤a平台
25	22334 26342	   	260.97	橙橙1易伤1伤害1暴击1平台	1防空对愈2技能35最后敌人4易伤68核7伤害9暴击a平台
26	22553 26322	   	260.97	橙橙1易伤1伤害1暴击1全技能	1防空对愈2技能35基地爆炸4易伤68核7伤害9全技能a暴击
27	53342 32612	   	260.54	紫橙3易伤1暴击1平台	137敌人爆炸237易伤37序列升级48核57掉矿6平台9暴击a基地爆炸
28	53342 32611	   	260.44	紫橙3易伤1暴击1平台	137敌人爆炸237易伤37序列升级48核57a掉矿6平台9暴击
29	22334 26323	   	259.61	橙橙1易伤1伤害1攻速	1防空对愈2技能35最后敌人4易伤68核7伤害9时间a攻速
30	22514 26313	   	259.61	橙橙1易伤1伤害1攻速	1防空对愈2技能34基地爆炸5时间68核7伤害9易伤a攻速
31	23324 26311	   	259.61	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9易伤a金币生成
32	23324 26312	   	259.61	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9易伤a雷电
33	23324 26315	   	259.61	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4基地爆炸5时间68核7伤害9易伤a赏金塔
34	23324 26316	   	259.61	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4a基地爆炸5时间68核7伤害9易伤
35	23354 26311	   	259.61	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4低血量敌人5时间68核7伤害9易伤a金币生成
36	23354 26312	   	259.61	橙橙1易伤1伤害1攻速	1防空对愈2立即金币3攻速4低血量敌人5时间68核7伤害9易伤a雷电
37	53313 31154	 * 	257.91	橙4易伤2伤害1暴击1平台	13敌人爆炸2368易伤3序列升级45伤害7核9平台a暴击
