0	Index      	 *	Score 	Summary	Detail	
1	43351 11142	 * 	277.16	紫橙2易伤2伤害2时间1全技能	1全技能2a时间38核4a伤害5最后敌人6防空对愈7双倍秒伤9a易伤a序列升级
2	31543 35231	 * 	261.23	橙橙2易伤1矿等	12挖尘2序列升级3低血量敌人45易伤6基地爆炸7最后敌人8矿等9a核
3	31543 62231	   	261.23	橙橙2易伤1矿等	12挖尘2序列升级3低血量敌人45易伤6矿等7最后敌人8敌人爆炸9a核
4	42361 13623	 * 	260.97	橙橙1易伤1伤害1攻速1全技能	1全技能2攻速3雷电4伤害57金币生成6易伤8a核9双倍秒伤
5	15123 23131	   	258.65	橙橙2易伤2时间	1双倍秒伤28易伤3双倍矿4最后敌人56时间7随机矿9a核
6	15123 25131	   	258.65	橙橙2易伤2时间	1双倍秒伤28易伤3双倍矿4最后敌人56时间7等级9a核
7	15163 23131	   	258.65	橙橙2易伤2时间	1双倍秒伤28易伤3双倍矿4低血量敌人56时间7随机矿9a核
8	15163 25131	   	258.65	橙橙2易伤2时间	1双倍秒伤28易伤3双倍矿4低血量敌人56时间7等级9a核
9	15323 23131	   	258.65	橙橙2易伤2时间	1双倍秒伤28易伤34最后敌人56时间7随机矿9a核
10	15323 25131	   	258.65	橙橙2易伤2时间	1双倍秒伤28易伤34最后敌人56时间7等级9a核
11	15363 23131	   	258.65	橙橙2易伤2时间	1双倍秒伤28易伤3最后敌人4双倍矿56时间7随机矿9a核
12	15363 25131	   	258.65	橙橙2易伤2时间	1双倍秒伤28易伤3最后敌人4双倍矿56时间7等级9a核
13	15523 23131	   	258.55	橙橙2易伤2时间	13双倍秒伤28易伤4最后敌人56时间7随机矿9a核
14	15523 25131	   	258.55	橙橙2易伤2时间	13双倍秒伤28易伤4最后敌人56时间7等级9a核
15	15563 23131	   	258.55	橙橙2易伤2时间	13双倍秒伤28易伤4低血量敌人56时间7随机矿9a核
16	21413 32245	 * 	254.20	橙2易伤2伤害2暴击1矿等1攻速1平台	19暴击25伤害39低血量敌人4攻速6矿等7平台89易伤9序列升级a核
17	22152 48453	   	253.10	橙橙1易伤1暴击1攻速	1暴击2最后敌人3时间4加一5双倍秒伤6攻速7a核8基地爆炸9易伤
18	22152 48643	   	253.00	橙橙1易伤1暴击1攻速	1暴击2最后敌人3时间4加一5双倍秒伤6攻速7a核8易伤9挖青
19	15123 56131	   	252.10	橙橙2易伤	1双倍秒伤28易伤3双倍矿47最后敌人5时间6金币生成9a核
20	15123 63131	   	252.10	橙橙2易伤	1双倍秒伤28易伤3双倍矿4最后敌人5时间67等级9a核
21	15123 66131	   	252.10	橙橙2易伤	1双倍秒伤28易伤3双倍矿47最后敌人5时间6等级9a核
22	15163 63131	   	252.10	橙橙2易伤	1双倍秒伤28易伤3双倍矿4低血量敌人5时间67等级9a核
23	15323 63131	   	252.10	橙橙2易伤	1双倍秒伤28易伤34最后敌人5时间67等级9a核
24	15363 63131	   	252.10	橙橙2易伤	1双倍秒伤28易伤3最后敌人4双倍矿5时间67等级9a核
25	15523 63131	   	252.00	橙橙2易伤	13双倍秒伤28易伤4最后敌人5时间67等级9a核
26	21155 33226	   	250.86	橙橙1易伤1伤害1暴击1卖塔	1暴击2伤害3加一4电塔对黄5易伤6卖塔7a核8额外掉落9散射对甲
27	21174 27454	 * 	250.79	橙3易伤1伤害1矿等1暴击1攻速	1暴击2伤害3加一4时间579易伤6矿等8核a攻速
28	14221 11231	   	249.98	橙橙1易伤1矿等2时间	1双倍秒伤25立即金币34时间4序列升级6最后敌人7易伤8矿等9a核
29	14221 21231	   	249.98	橙橙1易伤1矿等2时间	1双倍秒伤25立即金币34时间4序列升级6低血量敌人7易伤8矿等9a核
30	14222 41231	   	249.98	橙橙1易伤1矿等2时间	1双倍秒伤2立即金币34时间4序列升级5等级6金币生成7易伤8矿等9a核
31	14222 11231	   	249.88	橙橙1易伤1矿等2时间	1双倍秒伤2立即金币34时间4序列升级5等级6技能点7易伤8矿等9a核
32	14224 41231	   	249.88	橙橙1易伤1矿等2时间	1双倍秒伤2立即金币34时间4序列升级5掉矿6金币生成7易伤8矿等9a核
33	14224 11231	   	249.78	橙橙1易伤1矿等2时间	1双倍秒伤2立即金币34时间4序列升级5掉矿6技能点7易伤8矿等9a核
34	32513 21364	   	249.60	紫橙1易伤1伤害1矿等1暴击1平台	1挖尘2平台39核4赏金塔5暴击6伤害7矿等8敌人爆炸a易伤
35	46321 11623	   	247.32	橙橙1易伤1伤害1全技能	1全技能2伤害3雷电45金币生成6技能7易伤8a核9双倍秒伤
36	61243 13125	   	247.22	橙橙1易伤1伤害1平台	123基地爆炸2序列升级4双倍秒伤5平台6易伤7伤害8a核9毒液对毒
